,,,,,,,,,,
编号,名称,类型,属性,HP,攻击,防御,特攻,特防,速度,图片链接
43,Oddish,Grass,Poison,45,50,55,75,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png
44,Gloom,Grass,Poison,60,65,70,85,75,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png
45,Vileplume,Grass,Poison,75,80,85,110,90,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png
46,Paras,Bug,Grass,35,70,55,45,55,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png
47,Parasect,Bug,Grass,60,95,80,60,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png
48,Venonat,Bug,Poison,60,55,50,40,55,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png
49,Venomoth,Bug,Poison,70,65,60,90,75,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png
50,Diglett,Ground, ,10,55,25,35,45,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png
51,Dugtrio,Ground, ,35,100,50,50,70,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png
52,Meowth,Normal, ,40,45,35,40,40,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png
53,Persian,Normal, ,65,70,60,65,65,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png
54,Psyduck,Water, ,50,52,48,65,50,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png
55,Golduck,Water, ,80,82,78,95,80,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png
56,Mankey,Fighting, ,40,80,35,35,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png
57,Primeape,Fighting, ,65,105,60,60,70,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png
58,Growlithe,Fire, ,55,70,45,70,50,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png
59,Arcanine,Fire, ,90,110,80,100,80,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png
60,Poliwag,Water, ,40,50,40,40,40,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png
61,Poliwhirl,Water, ,65,65,65,50,50,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png
63,Abra,Psychic, ,25,20,15,105,55,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png
64,Kadabra,Psychic, ,40,35,30,120,70,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png
65,Alakazam,Psychic, ,55,50,45,135,95,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png
66,Machop,Fighting, ,70,80,50,35,35,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png
67,Machoke,Fighting, ,80,100,70,50,60,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png
68,Machamp,Fighting, ,90,130,80,65,85,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png
71,Victreebel,Grass,Poison,80,105,65,100,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png
72,Tentacool,Water,Poison,40,40,35,50,100,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png
73,Tentacruel,Water,Poison,80,70,65,80,120,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png
74,Geodude,Rock,Ground,40,80,100,30,30,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png
75,Graveler,Rock,Ground,55,95,115,45,45,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png
76,Golem,Rock,Ground,80,120,130,55,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png
77,Ponyta,Fire, ,50,85,55,65,65,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png
78,Rapidash,Fire, ,65,100,70,80,80,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png
80,Slowbro,Water,Psychic,95,75,110,100,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png
81,Magnemite,Electric,Steel,25,35,70,95,55,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png
82,Magneton,Electric,Steel,50,60,95,120,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png
83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetch-d.png
84,Doduo,Normal,Flying,35,85,45,35,35,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png
85,Dodrio,Normal,Flying,60,110,70,60,60,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png
86,Seel,Water, ,65,45,55,45,70,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png
87,Dewgong,Water,Ice,90,70,80,70,95,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png
88,Grimer,Poison, ,80,80,50,40,50,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png
89,Muk,Poison, ,105,105,75,65,100,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png
90,Shellder,Water, ,30,65,100,45,25,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png
91,Cloyster,Water,Ice,50,95,180,85,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png
92,Gastly,Ghost,Poison,30,35,30,100,35,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png
93,Haunter,Ghost,Poison,45,50,45,115,55,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png
94,Gengar,Ghost,Poison,60,65,60,130,75,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png
95,Onix,Rock,Ground,35,45,160,30,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png
96,Drowzee,Psychic, ,60,48,45,43,90,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png
97,Hypno,Psychic, ,85,73,70,73,115,67,https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png
98,Krabby,Water, ,30,105,90,25,25,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png
99,Kingler,Water, ,55,130,115,50,50,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png
100,Voltorb,Electric, ,40,30,50,55,55,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png
101,Electrode,Electric, ,60,50,70,80,80,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png
104,Cubone,Ground, ,50,50,95,40,50,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png
105,Marowak,Ground, ,60,80,110,50,80,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak.png
106,Hitmonlee,Fighting, ,50,120,53,35,110,87,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonlee.png
107,Hitmonchan,Fighting, ,50,105,79,35,110,76,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonchan.png
108,Lickitung,Normal, ,90,55,75,60,75,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/lickitung.png
109,Koffing,Poison, ,40,65,95,60,45,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/koffing.png
110,Weezing,Poison, ,65,90,120,85,70,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing.png
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyhorn.png
112,Rhydon,Ground,Rock,105,130,120,45,45,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhydon.png
113,Chansey,Normal, ,250,5,5,35,105,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/chansey.png
114,Tangela,Grass, ,65,55,115,100,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/tangela.png
115,Kangaskhan,Normal, ,105,95,80,40,80,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan.png
116,Horsea,Water, ,30,40,70,70,25,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/horsea.png
117,Seadra,Water, ,55,65,95,95,45,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/seadra.png
118,Goldeen,Water, ,45,67,60,35,50,63,https://img.pokemondb.net/sprites/scarlet-violet/icon/goldeen.png
119,Seaking,Water, ,80,92,65,65,80,68,https://img.pokemondb.net/sprites/scarlet-violet/icon/seaking.png
120,Staryu,Water, ,30,45,55,70,55,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/staryu.png
121,Starmie,Water,Psychic,60,75,85,100,85,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/starmie.png
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime.png
123,Scyther,Bug,Flying,70,110,80,55,80,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/scyther.png
124,Jynx,Ice,Psychic,65,50,35,115,95,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/jynx.png
125,Electabuzz,Electric, ,65,83,57,95,85,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/electabuzz.png
126,Magmar,Fire, ,65,95,57,100,85,93,https://img.pokemondb.net/sprites/scarlet-violet/icon/magmar.png
127,Pinsir,Bug, ,65,125,100,55,70,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir.png
128,Tauros,Normal, ,75,100,95,40,70,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros.png
129,Magikarp,Water, ,20,10,55,15,20,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/magikarp.png
130,Gyarados,Water,Flying,95,125,79,60,100,81,https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados.png
131,Lapras,Water,Ice,130,85,80,85,95,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/lapras.png
132,Ditto,Normal, ,48,48,48,48,48,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/ditto.png
133,Eevee,Normal, ,55,55,50,45,65,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee.png
134,Vaporeon,Water, ,130,65,60,110,95,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/vaporeon.png
135,Jolteon,Electric, ,65,65,60,110,95,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/jolteon.png
136,Flareon,Fire, ,65,130,60,95,110,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/flareon.png
137,Porygon,Normal, ,65,60,70,85,75,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon.png
138,Omanyte,Rock,Water,35,40,100,90,55,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/omanyte.png
139,Omastar,Rock,Water,70,60,125,115,70,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/omastar.png
140,Kabuto,Rock,Water,30,80,90,55,45,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/kabuto.png
141,Kabutops,Rock,Water,60,115,105,65,70,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/kabutops.png
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl.png
143,Snorlax,Normal, ,160,110,65,65,110,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/snorlax.png
144,Articuno,Ice,Flying,90,85,100,95,125,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno.png
145,Zapdos,Electric,Flying,90,90,85,125,90,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos.png
146,Moltres,Fire,Flying,90,100,90,125,85,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres.png
147,Dratini,Dragon, ,41,64,45,50,50,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/dratini.png
148,Dragonair,Dragon, ,61,84,65,70,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonair.png
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonite.png
150,Mewtwo,Psychic, ,106,110,90,154,90,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo.png
151,Mew,Psychic, ,100,100,100,100,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/mew.png
152,Chikorita,Grass, ,45,49,65,49,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/chikorita.png
153,Bayleef,Grass, ,60,62,80,63,80,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/bayleef.png
154,Meganium,Grass, ,80,82,100,83,100,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/meganium.png
155,Cyndaquil,Fire, ,39,52,43,60,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/cyndaquil.png
156,Quilava,Fire, ,58,64,58,80,65,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/quilava.png
157,Typhlosion,Fire, ,78,84,78,109,85,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion.png
158,Totodile,Water, ,50,65,64,44,48,43,https://img.pokemondb.net/sprites/scarlet-violet/icon/totodile.png
159,Croconaw,Water, ,65,80,80,59,63,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/croconaw.png
160,Feraligatr,Water, ,85,105,100,79,83,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/feraligatr.png
161,Sentret,Normal, ,35,46,34,35,45,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/sentret.png
162,Furret,Normal, ,85,76,64,45,55,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/furret.png
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/hoothoot.png
164,Noctowl,Normal,Flying,100,50,50,86,96,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/noctowl.png
165,Ledyba,Bug,Flying,40,20,30,40,80,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ledyba.png
166,Ledian,Bug,Flying,55,35,50,55,110,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/ledian.png
167,Spinarak,Bug,Poison,40,60,40,40,40,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/spinarak.png
168,Ariados,Bug,Poison,70,90,70,60,70,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/ariados.png
169,Crobat,Poison,Flying,85,90,80,70,80,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/crobat.png
170,Chinchou,Water,Electric,75,38,38,56,56,67,https://img.pokemondb.net/sprites/scarlet-violet/icon/chinchou.png
171,Lanturn,Water,Electric,125,58,58,76,76,67,https://img.pokemondb.net/sprites/scarlet-violet/icon/lanturn.png
172,Pichu,Electric, ,20,40,15,35,35,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/pichu.png
173,Cleffa,Fairy, ,50,25,28,45,55,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/cleffa.png
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/igglybuff.png
175,Togepi,Fairy, ,35,20,65,40,65,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/togepi.png
176,Togetic,Fairy,Flying,55,40,85,80,105,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/togetic.png
177,Natu,Psychic,Flying,40,50,45,70,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/natu.png
178,Xatu,Psychic,Flying,65,75,70,95,70,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/xatu.png
179,Mareep,Electric, ,55,40,40,65,45,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/mareep.png
180,Flaaffy,Electric, ,70,55,55,80,60,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/flaaffy.png
181,Ampharos,Electric, ,90,75,85,115,90,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ampharos.png
182,Bellossom,Grass, ,75,80,95,90,100,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellossom.png
183,Marill,Water,Fairy,70,20,50,20,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/marill.png
184,Azumarill,Water,Fairy,100,50,80,60,80,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/azumarill.png
185,Sudowoodo,Rock, ,70,100,115,30,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/sudowoodo.png
186,Politoed,Water, ,90,75,75,90,100,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/politoed.png
187,Hoppip,Grass,Flying,35,35,40,35,55,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/hoppip.png
188,Skiploom,Grass,Flying,55,45,50,45,65,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/skiploom.png
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/jumpluff.png
190,Aipom,Normal, ,55,70,55,40,55,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/aipom.png
191,Sunkern,Grass, ,30,30,30,30,30,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunkern.png
192,Sunflora,Grass, ,75,75,55,105,85,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunflora.png
193,Yanma,Bug,Flying,65,65,45,75,45,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/yanma.png
194,Wooper,Water,Ground,55,45,45,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper.png
195,Quagsire,Water,Ground,95,85,85,65,65,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/quagsire.png
196,Espeon,Psychic, ,65,65,60,130,95,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/espeon.png
197,Umbreon,Dark, ,95,65,110,60,130,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/umbreon.png
198,Murkrow,Dark,Flying,60,85,42,85,42,91,https://img.pokemondb.net/sprites/scarlet-violet/icon/murkrow.png
199,Slowking,Water,Psychic,95,75,80,100,110,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowking.png
200,Misdreavus,Ghost, ,60,60,60,85,85,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/misdreavus.png
201,Unown,Psychic, ,48,72,48,72,48,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/unown.png
202,Wobbuffet,Psychic, ,190,33,58,33,58,33,https://img.pokemondb.net/sprites/scarlet-violet/icon/wobbuffet.png
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/girafarig.png
204,Pineco,Bug, ,50,65,90,35,35,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/pineco.png
205,Forretress,Bug,Steel,75,90,140,60,60,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/forretress.png
206,Dunsparce,Normal, ,100,70,70,65,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/dunsparce.png
207,Gligar,Ground,Flying,65,75,105,35,65,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/gligar.png
208,Steelix,Steel,Ground,75,85,200,55,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/steelix.png
209,Snubbull,Fairy, ,60,80,50,40,40,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/snubbull.png
210,Granbull,Fairy, ,90,120,75,60,60,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/granbull.png
211,Qwilfish,Water,Poison,65,95,85,55,55,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish.png
212,Scizor,Bug,Steel,70,130,100,55,80,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/scizor.png
213,Shuckle,Bug,Rock,20,10,230,10,230,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/shuckle.png
214,Heracross,Bug,Fighting,80,125,75,40,95,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross.png
215,Sneasel,Dark,Ice,55,95,55,35,75,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel.png
216,Teddiursa,Normal, ,60,80,50,50,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/teddiursa.png
217,Ursaring,Normal, ,90,130,75,75,75,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ursaring.png
218,Slugma,Fire, ,40,40,40,70,40,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/slugma.png
219,Magcargo,Fire,Rock,60,50,120,90,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/magcargo.png
220,Swinub,Ice,Ground,50,50,40,30,30,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/swinub.png
221,Piloswine,Ice,Ground,100,100,80,60,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/piloswine.png
222,Corsola,Water,Rock,65,55,95,65,95,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola.png
223,Remoraid,Water, ,35,65,35,65,35,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/remoraid.png
224,Octillery,Water, ,75,105,75,105,75,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/octillery.png
225,Delibird,Ice,Flying,45,55,45,65,45,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/delibird.png
226,Mantine,Water,Flying,85,40,70,80,140,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/mantine.png
227,Skarmory,Steel,Flying,65,80,140,40,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/skarmory.png
228,Houndour,Dark,Fire,45,60,30,80,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndour.png
229,Houndoom,Dark,Fire,75,90,50,110,80,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom.png
230,Kingdra,Water,Dragon,75,95,95,95,95,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingdra.png
