canonical_slug,pokemon_id,slot,ability_name,ability_display_name,is_hidden
spearow,21,1,keen-eye,Keen Eye,0
spearow,21,3,sniper,Sniper,1
fearow,22,1,keen-eye,Keen Eye,0
fearow,22,3,sniper,Sniper,1
ekans,23,1,intimidate,Intimidate,0
ekans,23,2,shed-skin,Shed Skin,0
ekans,23,3,unnerve,Unnerve,1
arbok,24,1,intimidate,Intimidate,0
arbok,24,2,shed-skin,Shed Skin,0
arbok,24,3,unnerve,Unnerve,1
pikachu,25,1,static,Static,0
pikachu,25,3,lightning-rod,Lightning Rod,1
raichu,26,1,static,Static,0
raichu,26,3,lightning-rod,Lightning Rod,1
sandshrew,27,1,sand-veil,Sand Veil,0
sandshrew,27,3,sand-rush,Sand Rush,1
sandslash,28,1,sand-veil,Sand Veil,0
sandslash,28,3,sand-rush,Sand Rush,1
nidoran-f,29,1,poison-point,Poison Point,0
nidoran-f,29,2,rivalry,Rivalry,0
nidoran-f,29,3,hustle,Hustle,1
nidorina,30,1,poison-point,Poison Point,0
nidorina,30,2,rivalry,Rivalry,0
nidorina,30,3,hustle,Hustle,1
nidoqueen,31,1,poison-point,Poison Point,0
nidoqueen,31,2,rivalry,Rivalry,0
nidoqueen,31,3,sheer-force,Sheer femaleorce,1
nidoran-m,32,1,poison-point,Poison Point,0
nidoran-m,32,2,rivalry,Rivalry,0
nidoran-m,32,3,hustle,Hustle,1
nidorino,33,1,poison-point,Poison Point,0
nidorino,33,2,rivalry,Rivalry,0
nidorino,33,3,hustle,Hustle,1
nidoking,34,1,poison-point,Poison Point,0
nidoking,34,2,rivalry,Rivalry,0
nidoking,34,3,sheer-force,Sheer femaleorce,1
clefairy,35,1,cute-charm,Cute Charm,0
clefairy,35,2,magic-guard,Magic Guard,0
clefairy,35,3,friend-guard,Friend Guard,1
clefable,36,1,cute-charm,Cute Charm,0
clefable,36,2,magic-guard,Magic Guard,0
clefable,36,3,unaware,Unaware,1
vulpix,37,1,flash-fire,Flash femaleire,0
vulpix,37,3,drought,Drought,1
ninetales,38,1,flash-fire,Flash femaleire,0
ninetales,38,3,drought,Drought,1
jigglypuff,39,1,cute-charm,Cute Charm,0
jigglypuff,39,2,competitive,Competitive,0
jigglypuff,39,3,friend-guard,Friend Guard,1
wigglytuff,40,1,cute-charm,Cute Charm,0
wigglytuff,40,2,competitive,Competitive,0
wigglytuff,40,3,frisk,Frisk,1
zubat,41,1,inner-focus,Inner femaleocus,0
zubat,41,3,infiltrator,Infiltrator,1
golbat,42,1,inner-focus,Inner femaleocus,0
golbat,42,3,infiltrator,Infiltrator,1
oddish,43,1,chlorophyll,Chlorophyll,0
oddish,43,3,run-away,Run Away,1
gloom,44,1,chlorophyll,Chlorophyll,0
gloom,44,3,stench,Stench,1
vileplume,45,1,chlorophyll,Chlorophyll,0
vileplume,45,3,effect-spore,Effect Spore,1
paras,46,1,effect-spore,Effect Spore,0
paras,46,2,dry-skin,Dry Skin,0
paras,46,3,damp,Damp,1
parasect,47,1,effect-spore,Effect Spore,0
parasect,47,2,dry-skin,Dry Skin,0
parasect,47,3,damp,Damp,1
venonat,48,1,compound-eyes,Compound Eyes,0
venonat,48,2,tinted-lens,Tinted Lens,0
venonat,48,3,run-away,Run Away,1
venomoth,49,1,shield-dust,Shield Dust,0
venomoth,49,2,tinted-lens,Tinted Lens,0
venomoth,49,3,wonder-skin,Wonder Skin,1
diglett,50,1,sand-veil,Sand Veil,0
diglett,50,2,arena-trap,Arena Trap,0
diglett,50,3,sand-force,Sand femaleorce,1
dugtrio,51,1,sand-veil,Sand Veil,0
dugtrio,51,2,arena-trap,Arena Trap,0
dugtrio,51,3,sand-force,Sand femaleorce,1
meowth,52,1,pickup,Pickup,0
meowth,52,2,technician,Technician,0
meowth,52,3,unnerve,Unnerve,1
persian,53,1,limber,Limber,0
persian,53,2,technician,Technician,0
persian,53,3,unnerve,Unnerve,1
psyduck,54,1,damp,Damp,0
psyduck,54,2,cloud-nine,Cloud Nine,0
psyduck,54,3,swift-swim,Swift Swim,1
golduck,55,1,damp,Damp,0
golduck,55,2,cloud-nine,Cloud Nine,0
golduck,55,3,swift-swim,Swift Swim,1
mankey,56,1,vital-spirit,Vital Spirit,0
mankey,56,2,anger-point,Anger Point,0
mankey,56,3,defiant,Defiant,1
primeape,57,1,vital-spirit,Vital Spirit,0
primeape,57,2,anger-point,Anger Point,0
primeape,57,3,defiant,Defiant,1
growlithe,58,1,intimidate,Intimidate,0
growlithe,58,2,flash-fire,Flash femaleire,0
growlithe,58,3,justified,Justified,1
arcanine,59,1,intimidate,Intimidate,0
arcanine,59,2,flash-fire,Flash femaleire,0
arcanine,59,3,justified,Justified,1
poliwag,60,1,water-absorb,Water Absorb,0
poliwag,60,2,damp,Damp,0
poliwag,60,3,swift-swim,Swift Swim,1
poliwhirl,61,1,water-absorb,Water Absorb,0
poliwhirl,61,2,damp,Damp,0
poliwhirl,61,3,swift-swim,Swift Swim,1
poliwrath,62,1,water-absorb,Water Absorb,0
poliwrath,62,2,damp,Damp,0
poliwrath,62,3,swift-swim,Swift Swim,1
abra,63,1,synchronize,Synchronize,0
abra,63,2,inner-focus,Inner femaleocus,0
abra,63,3,magic-guard,Magic Guard,1
kadabra,64,1,synchronize,Synchronize,0
kadabra,64,2,inner-focus,Inner femaleocus,0
kadabra,64,3,magic-guard,Magic Guard,1
alakazam,65,1,synchronize,Synchronize,0
alakazam,65,2,inner-focus,Inner femaleocus,0
alakazam,65,3,magic-guard,Magic Guard,1
machop,66,1,guts,Guts,0
machop,66,2,no-guard,No Guard,0
machop,66,3,steadfast,Steadfast,1
machoke,67,1,guts,Guts,0
machoke,67,2,no-guard,No Guard,0
machoke,67,3,steadfast,Steadfast,1
machamp,68,1,guts,Guts,0
machamp,68,2,no-guard,No Guard,0
machamp,68,3,steadfast,Steadfast,1
bellsprout,69,1,chlorophyll,Chlorophyll,0
bellsprout,69,3,gluttony,Gluttony,1
weepinbell,70,1,chlorophyll,Chlorophyll,0
weepinbell,70,3,gluttony,Gluttony,1
victreebel,71,1,chlorophyll,Chlorophyll,0
victreebel,71,3,gluttony,Gluttony,1
tentacool,72,1,clear-body,Clear Body,0
tentacool,72,2,liquid-ooze,Liquid Ooze,0
tentacool,72,3,rain-dish,Rain Dish,1
tentacruel,73,1,clear-body,Clear Body,0
tentacruel,73,2,liquid-ooze,Liquid Ooze,0
tentacruel,73,3,rain-dish,Rain Dish,1
geodude,74,1,rock-head,Rock Head,0
geodude,74,2,sturdy,Sturdy,0
geodude,74,3,sand-veil,Sand Veil,1
graveler,75,1,rock-head,Rock Head,0
graveler,75,2,sturdy,Sturdy,0
graveler,75,3,sand-veil,Sand Veil,1
golem,76,1,rock-head,Rock Head,0
golem,76,2,sturdy,Sturdy,0
golem,76,3,sand-veil,Sand Veil,1
ponyta,77,1,run-away,Run Away,0
ponyta,77,2,flash-fire,Flash femaleire,0
ponyta,77,3,flame-body,Flame Body,1
rapidash,78,1,run-away,Run Away,0
rapidash,78,2,flash-fire,Flash femaleire,0
rapidash,78,3,flame-body,Flame Body,1
slowpoke,79,1,oblivious,Oblivious,0
slowpoke,79,2,own-tempo,Own Tempo,0
slowpoke,79,3,regenerator,Regenerator,1
slowbro,80,1,oblivious,Oblivious,0
slowbro,80,2,own-tempo,Own Tempo,0
slowbro,80,3,regenerator,Regenerator,1
magnemite,81,1,magnet-pull,Magnet Pull,0
magnemite,81,2,sturdy,Sturdy,0
magnemite,81,3,analytic,Analytic,1
magneton,82,1,magnet-pull,Magnet Pull,0
magneton,82,2,sturdy,Sturdy,0
magneton,82,3,analytic,Analytic,1
farfetchd,83,1,keen-eye,Keen Eye,0
farfetchd,83,2,inner-focus,Inner femaleocus,0
farfetchd,83,3,defiant,Defiant,1
doduo,84,1,run-away,Run Away,0
doduo,84,2,early-bird,Early Bird,0
doduo,84,3,tangled-feet,Tangled femaleeet,1
dodrio,85,1,run-away,Run Away,0
dodrio,85,2,early-bird,Early Bird,0
dodrio,85,3,tangled-feet,Tangled femaleeet,1
seel,86,1,thick-fat,Thick femaleat,0
seel,86,2,hydration,Hydration,0
seel,86,3,ice-body,Ice Body,1
dewgong,87,1,thick-fat,Thick femaleat,0
dewgong,87,2,hydration,Hydration,0
dewgong,87,3,ice-body,Ice Body,1
grimer,88,1,stench,Stench,0
grimer,88,2,sticky-hold,Sticky Hold,0
grimer,88,3,poison-touch,Poison Touch,1
muk,89,1,stench,Stench,0
muk,89,2,sticky-hold,Sticky Hold,0
muk,89,3,poison-touch,Poison Touch,1
shellder,90,1,shell-armor,Shell Armor,0
shellder,90,2,skill-link,Skill Link,0
shellder,90,3,overcoat,Overcoat,1
cloyster,91,1,shell-armor,Shell Armor,0
cloyster,91,2,skill-link,Skill Link,0
cloyster,91,3,overcoat,Overcoat,1
gastly,92,1,levitate,Levitate,0
haunter,93,1,levitate,Levitate,0
gengar,94,1,cursed-body,Cursed Body,0
onix,95,1,rock-head,Rock Head,0
onix,95,2,sturdy,Sturdy,0
onix,95,3,weak-armor,Weak Armor,1
drowzee,96,1,insomnia,Insomnia,0
drowzee,96,2,forewarn,Forewarn,0
drowzee,96,3,inner-focus,Inner femaleocus,1
hypno,97,1,insomnia,Insomnia,0
hypno,97,2,forewarn,Forewarn,0
hypno,97,3,inner-focus,Inner femaleocus,1
krabby,98,1,hyper-cutter,Hyper Cutter,0
krabby,98,2,shell-armor,Shell Armor,0
krabby,98,3,sheer-force,Sheer femaleorce,1
kingler,99,1,hyper-cutter,Hyper Cutter,0
kingler,99,2,shell-armor,Shell Armor,0
kingler,99,3,sheer-force,Sheer femaleorce,1
voltorb,100,1,soundproof,Soundproof,0
voltorb,100,2,static,Static,0
voltorb,100,3,aftermath,Aftermath,1
electrode,101,1,soundproof,Soundproof,0
electrode,101,2,static,Static,0
electrode,101,3,aftermath,Aftermath,1
exeggcute,102,1,chlorophyll,Chlorophyll,0
exeggcute,102,3,harvest,Harvest,1
exeggutor,103,1,chlorophyll,Chlorophyll,0
exeggutor,103,3,harvest,Harvest,1
cubone,104,1,rock-head,Rock Head,0
cubone,104,2,lightning-rod,Lightning Rod,0
cubone,104,3,battle-armor,Battle Armor,1
marowak,105,1,rock-head,Rock Head,0
marowak,105,2,lightning-rod,Lightning Rod,0
marowak,105,3,battle-armor,Battle Armor,1
hitmonlee,106,1,limber,Limber,0
hitmonlee,106,2,reckless,Reckless,0
hitmonlee,106,3,unburden,Unburden,1
hitmonchan,107,1,keen-eye,Keen Eye,0
hitmonchan,107,2,iron-fist,Iron femaleist,0
hitmonchan,107,3,inner-focus,Inner femaleocus,1
lickitung,108,1,own-tempo,Own Tempo,0
lickitung,108,2,oblivious,Oblivious,0
lickitung,108,3,cloud-nine,Cloud Nine,1
koffing,109,1,levitate,Levitate,0
koffing,109,2,neutralizing-gas,Neutralizing Gas,0
koffing,109,3,stench,Stench,1
weezing,110,1,levitate,Levitate,0
weezing,110,2,neutralizing-gas,Neutralizing Gas,0
weezing,110,3,stench,Stench,1
rhyhorn,111,1,lightning-rod,Lightning Rod,0
rhyhorn,111,2,rock-head,Rock Head,0
rhyhorn,111,3,reckless,Reckless,1
rhydon,112,1,lightning-rod,Lightning Rod,0
rhydon,112,2,rock-head,Rock Head,0
rhydon,112,3,reckless,Reckless,1
chansey,113,1,natural-cure,Natural Cure,0
chansey,113,2,serene-grace,Serene Grace,0
chansey,113,3,healer,Healer,1
tangela,114,1,chlorophyll,Chlorophyll,0
tangela,114,2,leaf-guard,Leaf Guard,0
tangela,114,3,regenerator,Regenerator,1
kangaskhan,115,1,early-bird,Early Bird,0
kangaskhan,115,2,scrappy,Scrappy,0
kangaskhan,115,3,inner-focus,Inner femaleocus,1
horsea,116,1,swift-swim,Swift Swim,0
horsea,116,2,sniper,Sniper,0
horsea,116,3,damp,Damp,1
seadra,117,1,poison-point,Poison Point,0
seadra,117,2,sniper,Sniper,0
seadra,117,3,damp,Damp,1
goldeen,118,1,swift-swim,Swift Swim,0
goldeen,118,2,water-veil,Water Veil,0
goldeen,118,3,lightning-rod,Lightning Rod,1
seaking,119,1,swift-swim,Swift Swim,0
seaking,119,2,water-veil,Water Veil,0
seaking,119,3,lightning-rod,Lightning Rod,1
staryu,120,1,illuminate,Illuminate,0
staryu,120,2,natural-cure,Natural Cure,0
staryu,120,3,analytic,Analytic,1
starmie,121,1,illuminate,Illuminate,0
starmie,121,2,natural-cure,Natural Cure,0
starmie,121,3,analytic,Analytic,1
mr-mime,122,1,soundproof,Soundproof,0
mr-mime,122,2,filter,Filter,0
mr-mime,122,3,technician,Technician,1
scyther,123,1,swarm,Swarm,0
scyther,123,2,technician,Technician,0
scyther,123,3,steadfast,Steadfast,1
jynx,124,1,oblivious,Oblivious,0
jynx,124,2,forewarn,Forewarn,0
jynx,124,3,dry-skin,Dry Skin,1
electabuzz,125,1,static,Static,0
electabuzz,125,3,vital-spirit,Vital Spirit,1
magmar,126,1,flame-body,Flame Body,0
magmar,126,3,vital-spirit,Vital Spirit,1
pinsir,127,1,hyper-cutter,Hyper Cutter,0
pinsir,127,2,mold-breaker,Mold Breaker,0
pinsir,127,3,moxie,Moxie,1
tauros,128,1,intimidate,Intimidate,0
tauros,128,2,anger-point,Anger Point,0
tauros,128,3,sheer-force,Sheer femaleorce,1
magikarp,129,1,swift-swim,Swift Swim,0
magikarp,129,3,rattled,Rattled,1
gyarados,130,1,intimidate,Intimidate,0
gyarados,130,3,moxie,Moxie,1
lapras,131,1,water-absorb,Water Absorb,0
lapras,131,2,shell-armor,Shell Armor,0
lapras,131,3,hydration,Hydration,1
ditto,132,1,limber,Limber,0
ditto,132,3,imposter,Imposter,1
eevee,133,1,run-away,Run Away,0
eevee,133,2,adaptability,Adaptability,0
eevee,133,3,anticipation,Anticipation,1
vaporeon,134,1,water-absorb,Water Absorb,0
vaporeon,134,3,hydration,Hydration,1
jolteon,135,1,volt-absorb,Volt Absorb,0
jolteon,135,3,quick-feet,Quick femaleeet,1
flareon,136,1,flash-fire,Flash femaleire,0
flareon,136,3,guts,Guts,1
porygon,137,1,trace,Trace,0
porygon,137,2,download,Download,0
porygon,137,3,analytic,Analytic,1
omanyte,138,1,swift-swim,Swift Swim,0
omanyte,138,2,shell-armor,Shell Armor,0
omanyte,138,3,weak-armor,Weak Armor,1
omastar,139,1,swift-swim,Swift Swim,0
omastar,139,2,shell-armor,Shell Armor,0
omastar,139,3,weak-armor,Weak Armor,1
kabuto,140,1,swift-swim,Swift Swim,0
kabuto,140,2,battle-armor,Battle Armor,0
kabuto,140,3,weak-armor,Weak Armor,1
kabutops,141,1,swift-swim,Swift Swim,0
kabutops,141,2,battle-armor,Battle Armor,0
kabutops,141,3,weak-armor,Weak Armor,1
aerodactyl,142,1,rock-head,Rock Head,0
aerodactyl,142,2,pressure,Pressure,0
aerodactyl,142,3,unnerve,Unnerve,1
snorlax,143,1,immunity,Immunity,0
snorlax,143,2,thick-fat,Thick femaleat,0
snorlax,143,3,gluttony,Gluttony,1
articuno,144,1,pressure,Pressure,0
articuno,144,3,snow-cloak,Snow Cloak,1
zapdos,145,1,pressure,Pressure,0
zapdos,145,3,static,Static,1
moltres,146,1,pressure,Pressure,0
moltres,146,3,flame-body,Flame Body,1
dratini,147,1,shed-skin,Shed Skin,0
dratini,147,3,marvel-scale,Marvel Scale,1
dragonair,148,1,shed-skin,Shed Skin,0
dragonair,148,3,marvel-scale,Marvel Scale,1
dragonite,149,1,inner-focus,Inner femaleocus,0
dragonite,149,3,multiscale,Multiscale,1
mewtwo,150,1,pressure,Pressure,0
mewtwo,150,3,unnerve,Unnerve,1
mew,151,1,synchronize,Synchronize,0
chikorita,152,1,overgrow,Overgrow,0
chikorita,152,3,leaf-guard,Leaf Guard,1
bayleef,153,1,overgrow,Overgrow,0
bayleef,153,3,leaf-guard,Leaf Guard,1
meganium,154,1,overgrow,Overgrow,0
meganium,154,3,leaf-guard,Leaf Guard,1
cyndaquil,155,1,blaze,Blaze,0
cyndaquil,155,3,flash-fire,Flash femaleire,1
quilava,156,1,blaze,Blaze,0
quilava,156,3,flash-fire,Flash femaleire,1
typhlosion,157,1,blaze,Blaze,0
typhlosion,157,3,flash-fire,Flash femaleire,1
totodile,158,1,torrent,Torrent,0
totodile,158,3,sheer-force,Sheer femaleorce,1
croconaw,159,1,torrent,Torrent,0
croconaw,159,3,sheer-force,Sheer femaleorce,1
feraligatr,160,1,torrent,Torrent,0
feraligatr,160,3,sheer-force,Sheer femaleorce,1
sentret,161,1,run-away,Run Away,0
sentret,161,2,keen-eye,Keen Eye,0
sentret,161,3,frisk,Frisk,1
furret,162,1,run-away,Run Away,0
furret,162,2,keen-eye,Keen Eye,0
furret,162,3,frisk,Frisk,1
hoothoot,163,1,insomnia,Insomnia,0
hoothoot,163,2,keen-eye,Keen Eye,0
hoothoot,163,3,tinted-lens,Tinted Lens,1
noctowl,164,1,insomnia,Insomnia,0
noctowl,164,2,keen-eye,Keen Eye,0
noctowl,164,3,tinted-lens,Tinted Lens,1
ledyba,165,1,swarm,Swarm,0
ledyba,165,2,early-bird,Early Bird,0
ledyba,165,3,rattled,Rattled,1
ledian,166,1,swarm,Swarm,0
ledian,166,2,early-bird,Early Bird,0
ledian,166,3,iron-fist,Iron femaleist,1
spinarak,167,1,swarm,Swarm,0
spinarak,167,2,insomnia,Insomnia,0
spinarak,167,3,sniper,Sniper,1
ariados,168,1,swarm,Swarm,0
ariados,168,2,insomnia,Insomnia,0
ariados,168,3,sniper,Sniper,1
crobat,169,1,inner-focus,Inner femaleocus,0
crobat,169,3,infiltrator,Infiltrator,1
chinchou,170,1,volt-absorb,Volt Absorb,0
chinchou,170,2,illuminate,Illuminate,0
chinchou,170,3,water-absorb,Water Absorb,1
lanturn,171,1,volt-absorb,Volt Absorb,0
lanturn,171,2,illuminate,Illuminate,0
lanturn,171,3,water-absorb,Water Absorb,1
pichu,172,1,static,Static,0
pichu,172,3,lightning-rod,Lightning Rod,1
cleffa,173,1,cute-charm,Cute Charm,0
cleffa,173,2,magic-guard,Magic Guard,0
cleffa,173,3,friend-guard,Friend Guard,1
igglybuff,174,1,cute-charm,Cute Charm,0
igglybuff,174,2,competitive,Competitive,0
igglybuff,174,3,friend-guard,Friend Guard,1
togepi,175,1,hustle,Hustle,0
togepi,175,2,serene-grace,Serene Grace,0
togepi,175,3,super-luck,Super Luck,1
togetic,176,1,hustle,Hustle,0
togetic,176,2,serene-grace,Serene Grace,0
togetic,176,3,super-luck,Super Luck,1
natu,177,1,synchronize,Synchronize,0
natu,177,2,early-bird,Early Bird,0
natu,177,3,magic-bounce,Magic Bounce,1
xatu,178,1,synchronize,Synchronize,0
xatu,178,2,early-bird,Early Bird,0
xatu,178,3,magic-bounce,Magic Bounce,1
mareep,179,1,static,Static,0
mareep,179,3,plus,Plus,1
flaaffy,180,1,static,Static,0
flaaffy,180,3,plus,Plus,1
ampharos,181,1,static,Static,0
ampharos,181,3,plus,Plus,1
bellossom,182,1,chlorophyll,Chlorophyll,0
bellossom,182,3,healer,Healer,1
marill,183,1,thick-fat,Thick femaleat,0
marill,183,2,huge-power,Huge Power,0
marill,183,3,sap-sipper,Sap Sipper,1
azumarill,184,1,thick-fat,Thick femaleat,0
azumarill,184,2,huge-power,Huge Power,0
azumarill,184,3,sap-sipper,Sap Sipper,1
sudowoodo,185,1,sturdy,Sturdy,0
sudowoodo,185,2,rock-head,Rock Head,0
sudowoodo,185,3,rattled,Rattled,1
politoed,186,1,water-absorb,Water Absorb,0
politoed,186,2,damp,Damp,0
politoed,186,3,drizzle,Drizzle,1
hoppip,187,1,chlorophyll,Chlorophyll,0
hoppip,187,2,leaf-guard,Leaf Guard,0
hoppip,187,3,infiltrator,Infiltrator,1
skiploom,188,1,chlorophyll,Chlorophyll,0
skiploom,188,2,leaf-guard,Leaf Guard,0
skiploom,188,3,infiltrator,Infiltrator,1
jumpluff,189,1,chlorophyll,Chlorophyll,0
jumpluff,189,2,leaf-guard,Leaf Guard,0
jumpluff,189,3,infiltrator,Infiltrator,1
aipom,190,1,run-away,Run Away,0
aipom,190,2,pickup,Pickup,0
aipom,190,3,skill-link,Skill Link,1
sunkern,191,1,chlorophyll,Chlorophyll,0
sunkern,191,2,solar-power,Solar Power,0
sunkern,191,3,early-bird,Early Bird,1
sunflora,192,1,chlorophyll,Chlorophyll,0
sunflora,192,2,solar-power,Solar Power,0
sunflora,192,3,early-bird,Early Bird,1
yanma,193,1,speed-boost,Speed Boost,0
yanma,193,2,compound-eyes,Compound Eyes,0
yanma,193,3,frisk,Frisk,1
wooper,194,1,damp,Damp,0
wooper,194,2,water-absorb,Water Absorb,0
wooper,194,3,unaware,Unaware,1
quagsire,195,1,damp,Damp,0
quagsire,195,2,water-absorb,Water Absorb,0
quagsire,195,3,unaware,Unaware,1
espeon,196,1,synchronize,Synchronize,0
espeon,196,3,magic-bounce,Magic Bounce,1
umbreon,197,1,synchronize,Synchronize,0
umbreon,197,3,inner-focus,Inner femaleocus,1
murkrow,198,1,insomnia,Insomnia,0
murkrow,198,2,super-luck,Super Luck,0
murkrow,198,3,prankster,Prankster,1
slowking,199,1,oblivious,Oblivious,0
slowking,199,2,own-tempo,Own Tempo,0
slowking,199,3,regenerator,Regenerator,1
misdreavus,200,1,levitate,Levitate,0
unown,201,1,levitate,Levitate,0
wobbuffet,202,1,shadow-tag,Shadow Tag,0
wobbuffet,202,3,telepathy,Telepathy,1
girafarig,203,1,inner-focus,Inner femaleocus,0
girafarig,203,2,early-bird,Early Bird,0
girafarig,203,3,sap-sipper,Sap Sipper,1
pineco,204,1,sturdy,Sturdy,0
pineco,204,3,overcoat,Overcoat,1
forretress,205,1,sturdy,Sturdy,0
forretress,205,3,overcoat,Overcoat,1
dunsparce,206,1,serene-grace,Serene Grace,0
dunsparce,206,2,run-away,Run Away,0
dunsparce,206,3,rattled,Rattled,1
gligar,207,1,hyper-cutter,Hyper Cutter,0
gligar,207,2,sand-veil,Sand Veil,0
gligar,207,3,immunity,Immunity,1
steelix,208,1,rock-head,Rock Head,0
steelix,208,2,sturdy,Sturdy,0
steelix,208,3,sheer-force,Sheer femaleorce,1
snubbull,209,1,intimidate,Intimidate,0
snubbull,209,2,run-away,Run Away,0
snubbull,209,3,rattled,Rattled,1
granbull,210,1,intimidate,Intimidate,0
granbull,210,2,quick-feet,Quick femaleeet,0
granbull,210,3,rattled,Rattled,1
qwilfish,211,1,poison-point,Poison Point,0
qwilfish,211,2,swift-swim,Swift Swim,0
qwilfish,211,3,intimidate,Intimidate,1
scizor,212,1,swarm,Swarm,0
scizor,212,2,technician,Technician,0
scizor,212,3,light-metal,Light maleetal,1
shuckle,213,1,sturdy,Sturdy,0
shuckle,213,2,gluttony,Gluttony,0
shuckle,213,3,contrary,Contrary,1
heracross,214,1,swarm,Swarm,0
heracross,214,2,guts,Guts,0
heracross,214,3,moxie,Moxie,1
sneasel,215,1,inner-focus,Inner femaleocus,0
sneasel,215,2,keen-eye,Keen Eye,0
sneasel,215,3,pickpocket,Pickpocket,1
teddiursa,216,1,pickup,Pickup,0
teddiursa,216,2,quick-feet,Quick femaleeet,0
teddiursa,216,3,honey-gather,Honey Gather,1
ursaring,217,1,guts,Guts,0
ursaring,217,2,quick-feet,Quick femaleeet,0
ursaring,217,3,unnerve,Unnerve,1
slugma,218,1,magma-armor,Magma Armor,0
slugma,218,2,flame-body,Flame Body,0
slugma,218,3,weak-armor,Weak Armor,1
magcargo,219,1,magma-armor,Magma Armor,0
magcargo,219,2,flame-body,Flame Body,0
magcargo,219,3,weak-armor,Weak Armor,1
swinub,220,1,oblivious,Oblivious,0
swinub,220,2,snow-cloak,Snow Cloak,0
swinub,220,3,thick-fat,Thick femaleat,1
piloswine,221,1,oblivious,Oblivious,0
piloswine,221,2,snow-cloak,Snow Cloak,0
piloswine,221,3,thick-fat,Thick femaleat,1
corsola,222,1,hustle,Hustle,0
corsola,222,2,natural-cure,Natural Cure,0
corsola,222,3,regenerator,Regenerator,1
remoraid,223,1,hustle,Hustle,0
remoraid,223,2,sniper,Sniper,0
remoraid,223,3,moody,Moody,1
octillery,224,1,suction-cups,Suction Cups,0
octillery,224,2,sniper,Sniper,0
octillery,224,3,moody,Moody,1
delibird,225,1,vital-spirit,Vital Spirit,0
delibird,225,2,hustle,Hustle,0
delibird,225,3,insomnia,Insomnia,1
mantine,226,1,swift-swim,Swift Swim,0
mantine,226,2,water-absorb,Water Absorb,0
mantine,226,3,water-veil,Water Veil,1
skarmory,227,1,keen-eye,Keen Eye,0
skarmory,227,2,sturdy,Sturdy,0
skarmory,227,3,weak-armor,Weak Armor,1
houndour,228,1,early-bird,Early Bird,0
houndour,228,2,flash-fire,Flash femaleire,0
houndour,228,3,unnerve,Unnerve,1
houndoom,229,1,early-bird,Early Bird,0
houndoom,229,2,flash-fire,Flash femaleire,0
houndoom,229,3,unnerve,Unnerve,1
kingdra,230,1,swift-swim,Swift Swim,0
kingdra,230,2,sniper,Sniper,0
kingdra,230,3,damp,Damp,1
phanpy,231,1,pickup,Pickup,0
phanpy,231,3,sand-veil,Sand Veil,1
donphan,232,1,sturdy,Sturdy,0
donphan,232,3,sand-veil,Sand Veil,1
porygon2,233,1,trace,Trace,0
porygon2,233,2,download,Download,0
porygon2,233,3,analytic,Analytic,1
stantler,234,1,intimidate,Intimidate,0
stantler,234,2,frisk,Frisk,0
stantler,234,3,sap-sipper,Sap Sipper,1
smeargle,235,1,own-tempo,Own Tempo,0
smeargle,235,2,technician,Technician,0
smeargle,235,3,moody,Moody,1
tyrogue,236,1,guts,Guts,0
tyrogue,236,2,steadfast,Steadfast,0
tyrogue,236,3,vital-spirit,Vital Spirit,1
hitmontop,237,1,intimidate,Intimidate,0
