canonical_slug,pokemon_id,move_name,move_display_name,move_type,damage_class,power,accuracy,pp
bulbasaur,1,poison-powder,Poison Powder,Poison,status,,75.0,35
bulbasaur,1,power-whip,Power Whip,Grass,physical,120.0,85.0,10
bulbasaur,1,protect,Protect,Normal,status,,,10
bulbasaur,1,rage,Rage,Normal,physical,20.0,100.0,20
bulbasaur,1,razor-leaf,Razor Leaf,Grass,physical,55.0,95.0,25
bulbasaur,1,razor-wind,Razor Wind,Normal,special,80.0,100.0,10
bulbasaur,1,reflect,Reflect,Psychic,status,,,20
bulbasaur,1,rest,Rest,Psychic,status,,,5
bulbasaur,1,return,Return,Normal,physical,,100.0,20
bulbasaur,1,rock-smash,Rock Smash,Fighting,physical,40.0,100.0,15
bulbasaur,1,round,Round,Normal,special,60.0,100.0,15
bulbasaur,1,safeguard,Safeguard,Normal,status,,,25
bulbasaur,1,secret-power,Secret Power,Normal,physical,70.0,100.0,20
bulbasaur,1,seed-bomb,Seed Bomb,Grass,physical,80.0,100.0,15
bulbasaur,1,skull-bash,Skull Bash,Normal,physical,130.0,100.0,10
bulbasaur,1,sleep-powder,Sleep Powder,Grass,status,,75.0,15
bulbasaur,1,sleep-talk,Sleep Talk,Normal,status,,,10
bulbasaur,1,sludge,Sludge,Poison,special,65.0,100.0,20
bulbasaur,1,sludge-bomb,Sludge Bomb,Poison,special,90.0,100.0,10
bulbasaur,1,snore,Snore,Normal,special,50.0,100.0,15
bulbasaur,1,solar-beam,Solar Beam,Grass,special,120.0,100.0,10
bulbasaur,1,strength,Strength,Normal,physical,80.0,100.0,15
bulbasaur,1,string-shot,String Shot,Bug,status,,95.0,40
bulbasaur,1,substitute,Substitute,Normal,status,,,10
bulbasaur,1,sunny-day,Sunny Day,Fire,status,,,5
bulbasaur,1,swagger,Swagger,Normal,status,,85.0,15
bulbasaur,1,sweet-scent,Sweet Scent,Normal,status,,100.0,20
bulbasaur,1,swords-dance,Swords Dance,Normal,status,,,20
bulbasaur,1,synthesis,Synthesis,Grass,status,,,5
bulbasaur,1,tackle,Tackle,Normal,physical,40.0,100.0,35
bulbasaur,1,take-down,Take Down,Normal,physical,90.0,85.0,20
bulbasaur,1,tera-blast,Tera Blast,Normal,special,80.0,100.0,10
bulbasaur,1,toxic,Toxic,Poison,status,,90.0,10
bulbasaur,1,trailblaze,Trailblaze,Grass,physical,50.0,100.0,20
bulbasaur,1,venoshock,Venoshock,Poison,special,65.0,100.0,10
bulbasaur,1,vine-whip,Vine Whip,Grass,physical,45.0,100.0,25
bulbasaur,1,weather-ball,Weather Ball,Normal,special,50.0,100.0,10
bulbasaur,1,work-up,Work Up,Normal,status,,,30
bulbasaur,1,worry-seed,Worry Seed,Grass,status,,100.0,10
ivysaur,2,acid-spray,Acid Spray,Poison,special,40.0,100.0,20
ivysaur,2,amnesia,Amnesia,Psychic,status,,,20
ivysaur,2,attract,Attract,Normal,status,,100.0,15
ivysaur,2,bide,Bide,Normal,physical,,,10
ivysaur,2,bind,Bind,Normal,physical,15.0,85.0,20
ivysaur,2,body-slam,Body Slam,Normal,physical,85.0,100.0,15
ivysaur,2,bullet-seed,Bullet Seed,Grass,physical,25.0,100.0,30
ivysaur,2,captivate,Captivate,Normal,status,,100.0,20
ivysaur,2,charm,Charm,Fairy,status,,100.0,20
ivysaur,2,confide,Confide,Normal,status,,,20
ivysaur,2,curse,Curse,Ghost,status,,,10
ivysaur,2,cut,Cut,Normal,physical,50.0,95.0,30
ivysaur,2,defense-curl,Defense Curl,Normal,status,,,40
ivysaur,2,double-edge,Double Edge,Normal,physical,120.0,100.0,15
ivysaur,2,double-team,Double Team,Normal,status,,,15
ivysaur,2,echoed-voice,Echoed Voice,Normal,special,40.0,100.0,15
ivysaur,2,endure,Endure,Normal,status,,,10
ivysaur,2,energy-ball,Energy Ball,Grass,special,90.0,100.0,10
ivysaur,2,facade,Facade,Normal,physical,70.0,100.0,20
ivysaur,2,false-swipe,False Swipe,Normal,physical,40.0,100.0,40
ivysaur,2,flash,Flash,Normal,status,,100.0,20
ivysaur,2,frustration,Frustration,Normal,physical,,100.0,20
ivysaur,2,fury-cutter,Fury Cutter,Bug,physical,40.0,95.0,20
ivysaur,2,giga-drain,Giga Drain,Grass,special,75.0,100.0,10
ivysaur,2,grass-knot,Grass Knot,Grass,special,,100.0,20
ivysaur,2,grass-pledge,Grass Pledge,Grass,special,80.0,100.0,10
ivysaur,2,grassy-glide,Grassy Glide,Grass,physical,55.0,100.0,20
ivysaur,2,grassy-terrain,Grassy Terrain,Grass,status,,,10
ivysaur,2,growl,Growl,Normal,status,,100.0,40
ivysaur,2,growth,Growth,Normal,status,,,20
ivysaur,2,headbutt,Headbutt,Normal,physical,70.0,100.0,15
ivysaur,2,helping-hand,Helping Hand,Normal,status,,,20
ivysaur,2,hidden-power,Hidden Power,Normal,special,60.0,100.0,15
ivysaur,2,ingrain,Ingrain,Grass,status,,,20
ivysaur,2,knock-off,Knock Off,Dark,physical,65.0,100.0,20
ivysaur,2,leaf-storm,Leaf Storm,Grass,special,130.0,90.0,5
ivysaur,2,leech-seed,Leech Seed,Grass,status,,90.0,10
ivysaur,2,light-screen,Light Screen,Psychic,status,,,30
ivysaur,2,magical-leaf,Magical Leaf,Grass,special,60.0,,20
ivysaur,2,mega-drain,Mega Drain,Grass,special,40.0,100.0,15
ivysaur,2,mimic,Mimic,Normal,status,,,10
ivysaur,2,mud-slap,Mud Slap,Ground,special,20.0,100.0,10
ivysaur,2,natural-gift,Natural Gift,Normal,physical,,100.0,15
ivysaur,2,nature-power,Nature Power,Normal,status,,,20
ivysaur,2,outrage,Outrage,Dragon,physical,120.0,100.0,10
ivysaur,2,petal-dance,Petal Dance,Grass,special,120.0,100.0,10
ivysaur,2,poison-powder,Poison Powder,Poison,status,,75.0,35
ivysaur,2,power-whip,Power Whip,Grass,physical,120.0,85.0,10
ivysaur,2,protect,Protect,Normal,status,,,10
ivysaur,2,rage,Rage,Normal,physical,20.0,100.0,20
ivysaur,2,razor-leaf,Razor Leaf,Grass,physical,55.0,95.0,25
ivysaur,2,reflect,Reflect,Psychic,status,,,20
ivysaur,2,rest,Rest,Psychic,status,,,5
ivysaur,2,return,Return,Normal,physical,,100.0,20
ivysaur,2,roar,Roar,Normal,status,,,20
ivysaur,2,rock-smash,Rock Smash,Fighting,physical,40.0,100.0,15
ivysaur,2,round,Round,Normal,special,60.0,100.0,15
ivysaur,2,safeguard,Safeguard,Normal,status,,,25
ivysaur,2,secret-power,Secret Power,Normal,physical,70.0,100.0,20
ivysaur,2,seed-bomb,Seed Bomb,Grass,physical,80.0,100.0,15
ivysaur,2,sleep-powder,Sleep Powder,Grass,status,,75.0,15
ivysaur,2,sleep-talk,Sleep Talk,Normal,status,,,10
ivysaur,2,sludge-bomb,Sludge Bomb,Poison,special,90.0,100.0,10
ivysaur,2,snore,Snore,Normal,special,50.0,100.0,15
ivysaur,2,solar-beam,Solar Beam,Grass,special,120.0,100.0,10
ivysaur,2,strength,Strength,Normal,physical,80.0,100.0,15
ivysaur,2,string-shot,String Shot,Bug,status,,95.0,40
ivysaur,2,substitute,Substitute,Normal,status,,,10
ivysaur,2,sunny-day,Sunny Day,Fire,status,,,5
ivysaur,2,swagger,Swagger,Normal,status,,85.0,15
ivysaur,2,sweet-scent,Sweet Scent,Normal,status,,100.0,20
ivysaur,2,swords-dance,Swords Dance,Normal,status,,,20
ivysaur,2,synthesis,Synthesis,Grass,status,,,5
ivysaur,2,tackle,Tackle,Normal,physical,40.0,100.0,35
ivysaur,2,take-down,Take Down,Normal,physical,90.0,85.0,20
ivysaur,2,tera-blast,Tera Blast,Normal,special,80.0,100.0,10
ivysaur,2,toxic,Toxic,Poison,status,,90.0,10
ivysaur,2,trailblaze,Trailblaze,Grass,physical,50.0,100.0,20
ivysaur,2,venoshock,Venoshock,Poison,special,65.0,100.0,10
ivysaur,2,vine-whip,Vine Whip,Grass,physical,45.0,100.0,25
ivysaur,2,weather-ball,Weather Ball,Normal,special,50.0,100.0,10
ivysaur,2,work-up,Work Up,Normal,status,,,30
ivysaur,2,worry-seed,Worry Seed,Grass,status,,100.0,10
venusaur,3,acid-spray,Acid Spray,Poison,special,40.0,100.0,20
venusaur,3,amnesia,Amnesia,Psychic,status,,,20
venusaur,3,attract,Attract,Normal,status,,100.0,15
venusaur,3,bide,Bide,Normal,physical,,,10
venusaur,3,bind,Bind,Normal,physical,15.0,85.0,20
venusaur,3,block,Block,Normal,status,,,5
venusaur,3,body-slam,Body Slam,Normal,physical,85.0,100.0,15
venusaur,3,bulldoze,Bulldoze,Ground,physical,60.0,100.0,20
venusaur,3,bullet-seed,Bullet Seed,Grass,physical,25.0,100.0,30
venusaur,3,captivate,Captivate,Normal,status,,100.0,20
venusaur,3,charm,Charm,Fairy,status,,100.0,20
venusaur,3,confide,Confide,Normal,status,,,20
venusaur,3,curse,Curse,Ghost,status,,,10
venusaur,3,cut,Cut,Normal,physical,50.0,95.0,30
venusaur,3,defense-curl,Defense Curl,Normal,status,,,40
venusaur,3,double-edge,Double Edge,Normal,physical,120.0,100.0,15
venusaur,3,double-team,Double Team,Normal,status,,,15
venusaur,3,earth-power,Earth Power,Ground,special,90.0,100.0,10
venusaur,3,earthquake,Earthquake,Ground,physical,100.0,100.0,10
venusaur,3,echoed-voice,Echoed Voice,Normal,special,40.0,100.0,15
venusaur,3,endure,Endure,Normal,status,,,10
venusaur,3,energy-ball,Energy Ball,Grass,special,90.0,100.0,10
venusaur,3,facade,Facade,Normal,physical,70.0,100.0,20
venusaur,3,false-swipe,False Swipe,Normal,physical,40.0,100.0,40
venusaur,3,flash,Flash,Normal,status,,100.0,20
venusaur,3,frenzy-plant,Frenzy Plant,Grass,special,150.0,90.0,5
venusaur,3,frustration,Frustration,Normal,physical,,100.0,20
venusaur,3,fury-cutter,Fury Cutter,Bug,physical,40.0,95.0,20
venusaur,3,giga-drain,Giga Drain,Grass,special,75.0,100.0,10
venusaur,3,giga-impact,Giga Impact,Normal,physical,150.0,90.0,5
venusaur,3,grass-knot,Grass Knot,Grass,special,,100.0,20
venusaur,3,grass-pledge,Grass Pledge,Grass,special,80.0,100.0,10
venusaur,3,grassy-glide,Grassy Glide,Grass,physical,55.0,100.0,20
venusaur,3,grassy-terrain,Grassy Terrain,Grass,status,,,10
venusaur,3,growl,Growl,Normal,status,,100.0,40
venusaur,3,growth,Growth,Normal,status,,,20
venusaur,3,headbutt,Headbutt,Normal,physical,70.0,100.0,15
venusaur,3,helping-hand,Helping Hand,Normal,status,,,20
venusaur,3,hidden-power,Hidden Power,Normal,special,60.0,100.0,15
venusaur,3,hyper-beam,Hyper Beam,Normal,special,150.0,90.0,5
venusaur,3,ingrain,Ingrain,Grass,status,,,20
venusaur,3,knock-off,Knock Off,Dark,physical,65.0,100.0,20
venusaur,3,leaf-storm,Leaf Storm,Grass,special,130.0,90.0,5
venusaur,3,leech-seed,Leech Seed,Grass,status,,90.0,10
venusaur,3,light-screen,Light Screen,Psychic,status,,,30
venusaur,3,magical-leaf,Magical Leaf,Grass,special,60.0,,20
venusaur,3,mega-drain,Mega Drain,Grass,special,40.0,100.0,15
venusaur,3,mimic,Mimic,Normal,status,,,10
venusaur,3,mud-slap,Mud Slap,Ground,special,20.0,100.0,10
venusaur,3,natural-gift,Natural Gift,Normal,physical,,100.0,15
venusaur,3,nature-power,Nature Power,Normal,status,,,20
venusaur,3,outrage,Outrage,Dragon,physical,120.0,100.0,10
venusaur,3,petal-blizzard,Petal Blizzard,Grass,physical,90.0,100.0,15
venusaur,3,petal-dance,Petal Dance,Grass,special,120.0,100.0,10
venusaur,3,poison-jab,Poison Jab,Poison,physical,80.0,100.0,20
venusaur,3,poison-powder,Poison Powder,Poison,status,,75.0,35
venusaur,3,power-whip,Power Whip,Grass,physical,120.0,85.0,10
venusaur,3,protect,Protect,Normal,status,,,10
venusaur,3,rage,Rage,Normal,physical,20.0,100.0,20
venusaur,3,razor-leaf,Razor Leaf,Grass,physical,55.0,95.0,25
venusaur,3,reflect,Reflect,Psychic,status,,,20
venusaur,3,rest,Rest,Psychic,status,,,5
venusaur,3,return,Return,Normal,physical,,100.0,20
venusaur,3,roar,Roar,Normal,status,,,20
venusaur,3,rock-climb,Rock Climb,Normal,physical,90.0,85.0,20
venusaur,3,rock-smash,Rock Smash,Fighting,physical,40.0,100.0,15
venusaur,3,round,Round,Normal,special,60.0,100.0,15
venusaur,3,safeguard,Safeguard,Normal,status,,,25
venusaur,3,scary-face,Scary femaleace,Normal,status,,100.0,10
venusaur,3,secret-power,Secret Power,Normal,physical,70.0,100.0,20
venusaur,3,seed-bomb,Seed Bomb,Grass,physical,80.0,100.0,15
venusaur,3,sleep-powder,Sleep Powder,Grass,status,,75.0,15
venusaur,3,sleep-talk,Sleep Talk,Normal,status,,,10
venusaur,3,sludge-bomb,Sludge Bomb,Poison,special,90.0,100.0,10
venusaur,3,snore,Snore,Normal,special,50.0,100.0,15
venusaur,3,solar-beam,Solar Beam,Grass,special,120.0,100.0,10
venusaur,3,stomping-tantrum,Stomping Tantrum,Ground,physical,75.0,100.0,10
venusaur,3,strength,Strength,Normal,physical,80.0,100.0,15
venusaur,3,string-shot,String Shot,Bug,status,,95.0,40
venusaur,3,substitute,Substitute,Normal,status,,,10
venusaur,3,sunny-day,Sunny Day,Fire,status,,,5
venusaur,3,swagger,Swagger,Normal,status,,85.0,15
venusaur,3,sweet-scent,Sweet Scent,Normal,status,,100.0,20
venusaur,3,swords-dance,Swords Dance,Normal,status,,,20
venusaur,3,synthesis,Synthesis,Grass,status,,,5
venusaur,3,tackle,Tackle,Normal,physical,40.0,100.0,35
venusaur,3,take-down,Take Down,Normal,physical,90.0,85.0,20
venusaur,3,tera-blast,Tera Blast,Normal,special,80.0,100.0,10
venusaur,3,terrain-pulse,Terrain Pulse,Normal,special,50.0,100.0,10
venusaur,3,toxic,Toxic,Poison,status,,90.0,10
venusaur,3,trailblaze,Trailblaze,Grass,physical,50.0,100.0,20
venusaur,3,venoshock,Venoshock,Poison,special,65.0,100.0,10
venusaur,3,vine-whip,Vine Whip,Grass,physical,45.0,100.0,25
venusaur,3,weather-ball,Weather Ball,Normal,special,50.0,100.0,10
venusaur,3,work-up,Work Up,Normal,status,,,30
venusaur,3,worry-seed,Worry Seed,Grass,status,,100.0,10
charmander,4,acrobatics,Acrobatics,Flying,physical,55.0,100.0,15
charmander,4,aerial-ace,Aerial Ace,Flying,physical,60.0,,20
charmander,4,air-cutter,Air Cutter,Flying,special,60.0,95.0,25
charmander,4,ancient-power,Ancient Power,Rock,special,60.0,100.0,5
charmander,4,attract,Attract,Normal,status,,100.0,15
charmander,4,beat-up,Beat Up,Dark,physical,,100.0,10
charmander,4,belly-drum,Belly Drum,Normal,status,,,10
charmander,4,bide,Bide,Normal,physical,,,10
charmander,4,bite,Bite,Dark,physical,60.0,100.0,25
charmander,4,body-slam,Body Slam,Normal,physical,85.0,100.0,15
charmander,4,breaking-swipe,Breaking Swipe,Dragon,physical,60.0,100.0,15
charmander,4,brick-break,Brick Break,Fighting,physical,75.0,100.0,15
charmander,4,captivate,Captivate,Normal,status,,100.0,20
charmander,4,confide,Confide,Normal,status,,,20
charmander,4,counter,Counter,Fighting,physical,,100.0,20
charmander,4,crunch,Crunch,Dark,physical,80.0,100.0,15
charmander,4,curse,Curse,Ghost,status,,,10
charmander,4,cut,Cut,Normal,physical,50.0,95.0,30
charmander,4,defense-curl,Defense Curl,Normal,status,,,40
charmander,4,dig,Dig,Ground,physical,80.0,100.0,10
charmander,4,double-edge,Double Edge,Normal,physical,120.0,100.0,15
charmander,4,double-team,Double Team,Normal,status,,,15
charmander,4,dragon-breath,Dragon Breath,Dragon,special,60.0,100.0,20
charmander,4,dragon-claw,Dragon Claw,Dragon,physical,80.0,100.0,15
charmander,4,dragon-dance,Dragon Dance,Dragon,status,,,20
charmander,4,dragon-pulse,Dragon Pulse,Dragon,special,85.0,100.0,10
charmander,4,dragon-rage,Dragon Rage,Dragon,special,,100.0,10
charmander,4,dragon-rush,Dragon Rush,Dragon,physical,100.0,75.0,10
charmander,4,dragon-tail,Dragon Tail,Dragon,physical,60.0,90.0,10
charmander,4,dynamic-punch,Dynamic Punch,Fighting,physical,100.0,50.0,5
charmander,4,echoed-voice,Echoed Voice,Normal,special,40.0,100.0,15
charmander,4,ember,Ember,Fire,special,40.0,100.0,25
charmander,4,endure,Endure,Normal,status,,,10
charmander,4,facade,Facade,Normal,physical,70.0,100.0,20
charmander,4,false-swipe,False Swipe,Normal,physical,40.0,100.0,40
charmander,4,fire-blast,Fire Blast,Fire,special,110.0,85.0,5
charmander,4,fire-fang,Fire femaleang,Fire,physical,65.0,95.0,15
charmander,4,fire-pledge,Fire Pledge,Fire,special,80.0,100.0,10
charmander,4,fire-punch,Fire Punch,Fire,physical,75.0,100.0,15
charmander,4,fire-spin,Fire Spin,Fire,special,35.0,85.0,15
charmander,4,flame-burst,Flame Burst,Fire,special,70.0,100.0,15
charmander,4,flame-charge,Flame Charge,Fire,physical,50.0,100.0,20
charmander,4,flamethrower,Flamethrower,Fire,special,90.0,100.0,15
charmander,4,flare-blitz,Flare Blitz,Fire,physical,120.0,100.0,15
charmander,4,fling,Fling,Dark,physical,,100.0,10
charmander,4,focus-blast,Focus Blast,Fighting,special,120.0,70.0,5
charmander,4,focus-punch,Focus Punch,Fighting,physical,150.0,100.0,20
charmander,4,frustration,Frustration,Normal,physical,,100.0,20
charmander,4,fury-cutter,Fury Cutter,Bug,physical,40.0,95.0,20
charmander,4,fury-swipes,Fury Swipes,Normal,physical,18.0,80.0,15
charmander,4,growl,Growl,Normal,status,,100.0,40
charmander,4,headbutt,Headbutt,Normal,physical,70.0,100.0,15
charmander,4,heat-wave,Heat Wave,Fire,special,95.0,90.0,10
charmander,4,helping-hand,Helping Hand,Normal,status,,,20
charmander,4,hidden-power,Hidden Power,Normal,special,60.0,100.0,15
charmander,4,hone-claws,Hone Claws,Dark,status,,,15
charmander,4,incinerate,Incinerate,Fire,special,60.0,100.0,15
charmander,4,inferno,Inferno,Fire,special,100.0,50.0,5
charmander,4,iron-tail,Iron Tail,Steel,physical,100.0,75.0,15
charmander,4,leer,Leer,Normal,status,,100.0,30
charmander,4,mega-kick,Mega Kick,Normal,physical,120.0,75.0,5
charmander,4,mega-punch,Mega Punch,Normal,physical,80.0,85.0,20
charmander,4,metal-claw,Metal Claw,Steel,physical,50.0,95.0,35
charmander,4,mimic,Mimic,Normal,status,,,10
charmander,4,mud-slap,Mud Slap,Ground,special,20.0,100.0,10
charmander,4,natural-gift,Natural Gift,Normal,physical,,100.0,15
charmander,4,outrage,Outrage,Dragon,physical,120.0,100.0,10
charmander,4,overheat,Overheat,Fire,special,130.0,90.0,5
charmander,4,power-up-punch,Power Up Punch,Fighting,physical,40.0,100.0,20
charmander,4,protect,Protect,Normal,status,,,10
charmander,4,rage,Rage,Normal,physical,20.0,100.0,20
charmander,4,reflect,Reflect,Psychic,status,,,20
charmander,4,rest,Rest,Psychic,status,,,5
charmander,4,return,Return,Normal,physical,,100.0,20
charmander,4,roar,Roar,Normal,status,,,20
charmander,4,rock-slide,Rock Slide,Rock,physical,75.0,90.0,10
charmander,4,rock-smash,Rock Smash,Fighting,physical,40.0,100.0,15
charmander,4,rock-tomb,Rock Tomb,Rock,physical,60.0,95.0,15
charmander,4,round,Round,Normal,special,60.0,100.0,15
charmander,4,scary-face,Scary femaleace,Normal,status,,100.0,10
charmander,4,scratch,Scratch,Normal,physical,40.0,100.0,35
charmander,4,secret-power,Secret Power,Normal,physical,70.0,100.0,20
charmander,4,seismic-toss,Seismic Toss,Fighting,physical,,100.0,20
charmander,4,shadow-claw,Shadow Claw,Ghost,physical,70.0,100.0,15
charmander,4,skull-bash,Skull Bash,Normal,physical,130.0,100.0,10
charmander,4,slash,Slash,Normal,physical,70.0,100.0,20
charmander,4,sleep-talk,Sleep Talk,Normal,status,,,10
charmander,4,smokescreen,Smokescreen,Normal,status,,100.0,20
charmander,4,snore,Snore,Normal,special,50.0,100.0,15
charmander,4,strength,Strength,Normal,physical,80.0,100.0,15
charmander,4,submission,Submission,Fighting,physical,80.0,80.0,20
charmander,4,substitute,Substitute,Normal,status,,,10
charmander,4,sunny-day,Sunny Day,Fire,status,,,5
charmander,4,swagger,Swagger,Normal,status,,85.0,15
charmander,4,swift,Swift,Normal,special,60.0,,20
charmander,4,swords-dance,Swords Dance,Normal,status,,,20
charmander,4,take-down,Take Down,Normal,physical,90.0,85.0,20
charmander,4,temper-flare,Temper femalelare,Fire,physical,75.0,100.0,10
charmander,4,tera-blast,Tera Blast,Normal,special,80.0,100.0,10
charmander,4,thunder-punch,Thunder Punch,Electric,physical,75.0,100.0,15
charmander,4,toxic,Toxic,Poison,status,,90.0,10
charmander,4,weather-ball,Weather Ball,Normal,special,50.0,100.0,10
charmander,4,will-o-wisp,Will O Wisp,Fire,status,,85.0,15
charmander,4,wing-attack,Wing Attack,Flying,physical,60.0,100.0,35
charmander,4,work-up,Work Up,Normal,status,,,30
charmeleon,5,acrobatics,Acrobatics,Flying,physical,55.0,100.0,15
charmeleon,5,aerial-ace,Aerial Ace,Flying,physical,60.0,,20
charmeleon,5,ancient-power,Ancient Power,Rock,special,60.0,100.0,5
charmeleon,5,attract,Attract,Normal,status,,100.0,15
charmeleon,5,beat-up,Beat Up,Dark,physical,,100.0,10
charmeleon,5,belly-drum,Belly Drum,Normal,status,,,10
charmeleon,5,bide,Bide,Normal,physical,,,10
charmeleon,5,bite,Bite,Dark,physical,60.0,100.0,25
charmeleon,5,body-slam,Body Slam,Normal,physical,85.0,100.0,15
charmeleon,5,breaking-swipe,Breaking Swipe,Dragon,physical,60.0,100.0,15
charmeleon,5,brick-break,Brick Break,Fighting,physical,75.0,100.0,15
charmeleon,5,captivate,Captivate,Normal,status,,100.0,20
charmeleon,5,confide,Confide,Normal,status,,,20
charmeleon,5,counter,Counter,Fighting,physical,,100.0,20
charmeleon,5,crunch,Crunch,Dark,physical,80.0,100.0,15
charmeleon,5,curse,Curse,Ghost,status,,,10
charmeleon,5,cut,Cut,Normal,physical,50.0,95.0,30
charmeleon,5,defense-curl,Defense Curl,Normal,status,,,40
charmeleon,5,dig,Dig,Ground,physical,80.0,100.0,10
charmeleon,5,double-edge,Double Edge,Normal,physical,120.0,100.0,15
charmeleon,5,double-team,Double Team,Normal,status,,,15
charmeleon,5,dragon-breath,Dragon Breath,Dragon,special,60.0,100.0,20
charmeleon,5,dragon-claw,Dragon Claw,Dragon,physical,80.0,100.0,15
charmeleon,5,dragon-dance,Dragon Dance,Dragon,status,,,20
charmeleon,5,dragon-pulse,Dragon Pulse,Dragon,special,85.0,100.0,10
charmeleon,5,dragon-rage,Dragon Rage,Dragon,special,,100.0,10
charmeleon,5,dragon-rush,Dragon Rush,Dragon,physical,100.0,75.0,10
charmeleon,5,dragon-tail,Dragon Tail,Dragon,physical,60.0,90.0,10
charmeleon,5,dynamic-punch,Dynamic Punch,Fighting,physical,100.0,50.0,5
charmeleon,5,echoed-voice,Echoed Voice,Normal,special,40.0,100.0,15
charmeleon,5,ember,Ember,Fire,special,40.0,100.0,25
charmeleon,5,endure,Endure,Normal,status,,,10
charmeleon,5,facade,Facade,Normal,physical,70.0,100.0,20
charmeleon,5,false-swipe,False Swipe,Normal,physical,40.0,100.0,40
charmeleon,5,fire-blast,Fire Blast,Fire,special,110.0,85.0,5
charmeleon,5,fire-fang,Fire femaleang,Fire,physical,65.0,95.0,15
charmeleon,5,fire-pledge,Fire Pledge,Fire,special,80.0,100.0,10
charmeleon,5,fire-punch,Fire Punch,Fire,physical,75.0,100.0,15
charmeleon,5,fire-spin,Fire Spin,Fire,special,35.0,85.0,15
charmeleon,5,flame-burst,Flame Burst,Fire,special,70.0,100.0,15
charmeleon,5,flame-charge,Flame Charge,Fire,physical,50.0,100.0,20
charmeleon,5,flamethrower,Flamethrower,Fire,special,90.0,100.0,15
charmeleon,5,flare-blitz,Flare Blitz,Fire,physical,120.0,100.0,15
charmeleon,5,fling,Fling,Dark,physical,,100.0,10
charmeleon,5,focus-blast,Focus Blast,Fighting,special,120.0,70.0,5
charmeleon,5,focus-punch,Focus Punch,Fighting,physical,150.0,100.0,20
charmeleon,5,frustration,Frustration,Normal,physical,,100.0,20
charmeleon,5,fury-cutter,Fury Cutter,Bug,physical,40.0,95.0,20
charmeleon,5,fury-swipes,Fury Swipes,Normal,physical,18.0,80.0,15
