canonical_slug,pokemon_id,slot,type_name
kabutops,141,1,Rock
kabutops,141,2,Water
aerodactyl,142,1,Rock
aerodactyl,142,2,Flying
snorlax,143,1,Normal
articuno,144,1,Ice
articuno,144,2,Flying
zapdos,145,1,Electric
zapdos,145,2,Flying
moltres,146,1,Fire
moltres,146,2,Flying
dratini,147,1,Dragon
dragonair,148,1,Dragon
dragonite,149,1,Dragon
dragonite,149,2,Flying
mewtwo,150,1,Psychic
mew,151,1,Psychic
chikorita,152,1,Grass
bayleef,153,1,Grass
meganium,154,1,Grass
cyndaquil,155,1,Fire
quilava,156,1,Fire
typhlosion,157,1,Fire
totodile,158,1,Water
croconaw,159,1,Water
feraligatr,160,1,Water
sentret,161,1,Normal
furret,162,1,Normal
hoothoot,163,1,Normal
hoothoot,163,2,Flying
noctowl,164,1,Normal
noctowl,164,2,Flying
ledyba,165,1,Bug
ledyba,165,2,Flying
ledian,166,1,Bug
ledian,166,2,Flying
spinarak,167,1,Bug
spinarak,167,2,Poison
ariados,168,1,Bug
ariados,168,2,Poison
crobat,169,1,Poison
crobat,169,2,Flying
chinchou,170,1,Water
chinchou,170,2,Electric
lanturn,171,1,Water
lanturn,171,2,Electric
pichu,172,1,Electric
cleffa,173,1,Fairy
igglybuff,174,1,Normal
igglybuff,174,2,Fairy
togepi,175,1,Fairy
togetic,176,1,Fairy
togetic,176,2,Flying
natu,177,1,Psychic
natu,177,2,Flying
xatu,178,1,Psychic
xatu,178,2,Flying
mareep,179,1,Electric
flaaffy,180,1,Electric
ampharos,181,1,Electric
bellossom,182,1,Grass
marill,183,1,Water
marill,183,2,Fairy
azumarill,184,1,Water
azumarill,184,2,Fairy
sudowoodo,185,1,Rock
politoed,186,1,Water
hoppip,187,1,Grass
hoppip,187,2,Flying
skiploom,188,1,Grass
skiploom,188,2,Flying
jumpluff,189,1,Grass
jumpluff,189,2,Flying
aipom,190,1,Normal
sunkern,191,1,Grass
sunflora,192,1,Grass
yanma,193,1,Bug
yanma,193,2,Flying
wooper,194,1,Water
wooper,194,2,Ground
quagsire,195,1,Water
quagsire,195,2,Ground
espeon,196,1,Psychic
umbreon,197,1,Dark
murkrow,198,1,Dark
murkrow,198,2,Flying
slowking,199,1,Water
slowking,199,2,Psychic
misdreavus,200,1,Ghost
unown,201,1,Psychic
wobbuffet,202,1,Psychic
girafarig,203,1,Normal
girafarig,203,2,Psychic
pineco,204,1,Bug
forretress,205,1,Bug
forretress,205,2,Steel
dunsparce,206,1,Normal
gligar,207,1,Ground
gligar,207,2,Flying
steelix,208,1,Steel
steelix,208,2,Ground
snubbull,209,1,Fairy
granbull,210,1,Fairy
qwilfish,211,1,Water
qwilfish,211,2,Poison
scizor,212,1,Bug
scizor,212,2,Steel
shuckle,213,1,Bug
shuckle,213,2,Rock
heracross,214,1,Bug
heracross,214,2,Fighting
sneasel,215,1,Dark
sneasel,215,2,Ice
teddiursa,216,1,Normal
ursaring,217,1,Normal
slugma,218,1,Fire
magcargo,219,1,Fire
magcargo,219,2,Rock
swinub,220,1,Ice
swinub,220,2,Ground
piloswine,221,1,Ice
piloswine,221,2,Ground
corsola,222,1,Water
corsola,222,2,Rock
remoraid,223,1,Water
octillery,224,1,Water
delibird,225,1,Ice
delibird,225,2,Flying
mantine,226,1,Water
mantine,226,2,Flying
skarmory,227,1,Steel
skarmory,227,2,Flying
houndour,228,1,Dark
houndour,228,2,Fire
houndoom,229,1,Dark
houndoom,229,2,Fire
kingdra,230,1,Water
kingdra,230,2,Dragon
phanpy,231,1,Ground
donphan,232,1,Ground
porygon2,233,1,Normal
stantler,234,1,Normal
smeargle,235,1,Normal
tyrogue,236,1,Fighting
hitmontop,237,1,Fighting
smoochum,238,1,Ice
smoochum,238,2,Psychic
elekid,239,1,Electric
magby,240,1,Fire
miltank,241,1,Normal
blissey,242,1,Normal
raikou,243,1,Electric
entei,244,1,Fire
suicune,245,1,Water
larvitar,246,1,Rock
larvitar,246,2,Ground
pupitar,247,1,Rock
pupitar,247,2,Ground
tyranitar,248,1,Rock
tyranitar,248,2,Dark
lugia,249,1,Psychic
lugia,249,2,Flying
ho-oh,250,1,Fire
ho-oh,250,2,Flying
celebi,251,1,Psychic
celebi,251,2,Grass
treecko,252,1,Grass
grovyle,253,1,Grass
sceptile,254,1,Grass
torchic,255,1,Fire
combusken,256,1,Fire
combusken,256,2,Fighting
blaziken,257,1,Fire
blaziken,257,2,Fighting
mudkip,258,1,Water
marshtomp,259,1,Water
marshtomp,259,2,Ground
swampert,260,1,Water
swampert,260,2,Ground
poochyena,261,1,Dark
mightyena,262,1,Dark
zigzagoon,263,1,Normal
linoone,264,1,Normal
wurmple,265,1,Bug
silcoon,266,1,Bug
beautifly,267,1,Bug
beautifly,267,2,Flying
cascoon,268,1,Bug
dustox,269,1,Bug
dustox,269,2,Poison
lotad,270,1,Water
lotad,270,2,Grass
lombre,271,1,Water
lombre,271,2,Grass
ludicolo,272,1,Water
ludicolo,272,2,Grass
seedot,273,1,Grass
nuzleaf,274,1,Grass
nuzleaf,274,2,Dark
shiftry,275,1,Grass
shiftry,275,2,Dark
taillow,276,1,Normal
taillow,276,2,Flying
swellow,277,1,Normal
swellow,277,2,Flying
wingull,278,1,Water
wingull,278,2,Flying
pelipper,279,1,Water
pelipper,279,2,Flying
ralts,280,1,Psychic
ralts,280,2,Fairy
kirlia,281,1,Psychic
kirlia,281,2,Fairy
gardevoir,282,1,Psychic
gardevoir,282,2,Fairy
surskit,283,1,Bug
surskit,283,2,Water
masquerain,284,1,Bug
masquerain,284,2,Flying
shroomish,285,1,Grass
breloom,286,1,Grass
breloom,286,2,Fighting
slakoth,287,1,Normal
vigoroth,288,1,Normal
slaking,289,1,Normal
nincada,290,1,Bug
nincada,290,2,Ground
ninjask,291,1,Bug
ninjask,291,2,Flying
shedinja,292,1,Bug
shedinja,292,2,Ghost
whismur,293,1,Normal
loudred,294,1,Normal
exploud,295,1,Normal
makuhita,296,1,Fighting
hariyama,297,1,Fighting
azurill,298,1,Normal
azurill,298,2,Fairy
nosepass,299,1,Rock
skitty,300,1,Normal
delcatty,301,1,Normal
sableye,302,1,Dark
sableye,302,2,Ghost
mawile,303,1,Steel
mawile,303,2,Fairy
aron,304,1,Steel
aron,304,2,Rock
lairon,305,1,Steel
lairon,305,2,Rock
aggron,306,1,Steel
aggron,306,2,Rock
meditite,307,1,Fighting
meditite,307,2,Psychic
medicham,308,1,Fighting
medicham,308,2,Psychic
electrike,309,1,Electric
manectric,310,1,Electric
plusle,311,1,Electric
minun,312,1,Electric
volbeat,313,1,Bug
illumise,314,1,Bug
roselia,315,1,Grass
roselia,315,2,Poison
gulpin,316,1,Poison
swalot,317,1,Poison
carvanha,318,1,Water
carvanha,318,2,Dark
sharpedo,319,1,Water
sharpedo,319,2,Dark
wailmer,320,1,Water
wailord,321,1,Water
numel,322,1,Fire
numel,322,2,Ground
camerupt,323,1,Fire
camerupt,323,2,Ground
torkoal,324,1,Fire
spoink,325,1,Psychic
grumpig,326,1,Psychic
spinda,327,1,Normal
trapinch,328,1,Ground
vibrava,329,1,Ground
vibrava,329,2,Dragon
flygon,330,1,Ground
flygon,330,2,Dragon
cacnea,331,1,Grass
cacturne,332,1,Grass
cacturne,332,2,Dark
swablu,333,1,Normal
swablu,333,2,Flying
altaria,334,1,Dragon
altaria,334,2,Flying
zangoose,335,1,Normal
seviper,336,1,Poison
lunatone,337,1,Rock
lunatone,337,2,Psychic
solrock,338,1,Rock
solrock,338,2,Psychic
barboach,339,1,Water
barboach,339,2,Ground
whiscash,340,1,Water
whiscash,340,2,Ground
corphish,341,1,Water
crawdaunt,342,1,Water
crawdaunt,342,2,Dark
baltoy,343,1,Ground
baltoy,343,2,Psychic
claydol,344,1,Ground
claydol,344,2,Psychic
lileep,345,1,Rock
lileep,345,2,Grass
cradily,346,1,Rock
cradily,346,2,Grass
anorith,347,1,Rock
anorith,347,2,Bug
armaldo,348,1,Rock
armaldo,348,2,Bug
feebas,349,1,Water
milotic,350,1,Water
castform,351,1,Normal
kecleon,352,1,Normal
shuppet,353,1,Ghost
banette,354,1,Ghost
duskull,355,1,Ghost
dusclops,356,1,Ghost
tropius,357,1,Grass
tropius,357,2,Flying
chimecho,358,1,Psychic
absol,359,1,Dark
wynaut,360,1,Psychic
snorunt,361,1,Ice
glalie,362,1,Ice
spheal,363,1,Ice
spheal,363,2,Water
sealeo,364,1,Ice
sealeo,364,2,Water
walrein,365,1,Ice
walrein,365,2,Water
clamperl,366,1,Water
huntail,367,1,Water
gorebyss,368,1,Water
relicanth,369,1,Water
relicanth,369,2,Rock
luvdisc,370,1,Water
bagon,371,1,Dragon
shelgon,372,1,Dragon
salamence,373,1,Dragon
salamence,373,2,Flying
beldum,374,1,Steel
beldum,374,2,Psychic
metang,375,1,Steel
metang,375,2,Psychic
metagross,376,1,Steel
metagross,376,2,Psychic
regirock,377,1,Rock
regice,378,1,Ice
registeel,379,1,Steel
latias,380,1,Dragon
latias,380,2,Psychic
latios,381,1,Dragon
latios,381,2,Psychic
kyogre,382,1,Water
groudon,383,1,Ground
rayquaza,384,1,Dragon
rayquaza,384,2,Flying
jirachi,385,1,Steel
jirachi,385,2,Psychic
deoxys-normal,386,1,Psychic
turtwig,387,1,Grass
grotle,388,1,Grass
torterra,389,1,Grass
torterra,389,2,Ground
chimchar,390,1,Fire
monferno,391,1,Fire
monferno,391,2,Fighting
infernape,392,1,Fire
infernape,392,2,Fighting
piplup,393,1,Water
prinplup,394,1,Water
empoleon,395,1,Water
empoleon,395,2,Steel
starly,396,1,Normal
starly,396,2,Flying
staravia,397,1,Normal
staravia,397,2,Flying
staraptor,398,1,Normal
staraptor,398,2,Flying
bidoof,399,1,Normal
bibarel,400,1,Normal
bibarel,400,2,Water
kricketot,401,1,Bug
kricketune,402,1,Bug
shinx,403,1,Electric
luxio,404,1,Electric
luxray,405,1,Electric
budew,406,1,Grass
budew,406,2,Poison
roserade,407,1,Grass
roserade,407,2,Poison
cranidos,408,1,Rock
rampardos,409,1,Rock
shieldon,410,1,Rock
shieldon,410,2,Steel
bastiodon,411,1,Rock
bastiodon,411,2,Steel
burmy,412,1,Bug
wormadam-plant,413,1,Bug
wormadam-plant,413,2,Grass
mothim,414,1,Bug
mothim,414,2,Flying
combee,415,1,Bug
combee,415,2,Flying
vespiquen,416,1,Bug
vespiquen,416,2,Flying
pachirisu,417,1,Electric
buizel,418,1,Water
floatzel,419,1,Water
cherubi,420,1,Grass
cherrim,421,1,Grass
shellos,422,1,Water
gastrodon,423,1,Water
gastrodon,423,2,Ground
ambipom,424,1,Normal
drifloon,425,1,Ghost
drifloon,425,2,Flying
drifblim,426,1,Ghost
drifblim,426,2,Flying
buneary,427,1,Normal
lopunny,428,1,Normal
mismagius,429,1,Ghost
honchkrow,430,1,Dark
honchkrow,430,2,Flying
glameow,431,1,Normal
purugly,432,1,Normal
chingling,433,1,Psychic
stunky,434,1,Poison
stunky,434,2,Dark
skuntank,435,1,Poison
skuntank,435,2,Dark
bronzor,436,1,Steel
bronzor,436,2,Psychic
bronzong,437,1,Steel
bronzong,437,2,Psychic
bonsly,438,1,Rock
mime-jr,439,1,Psychic
mime-jr,439,2,Fairy
happiny,440,1,Normal
chatot,441,1,Normal
chatot,441,2,Flying
spiritomb,442,1,Ghost
spiritomb,442,2,Dark
gible,443,1,Dragon
gible,443,2,Ground
gabite,444,1,Dragon
gabite,444,2,Ground
garchomp,445,1,Dragon
garchomp,445,2,Ground
munchlax,446,1,Normal
riolu,447,1,Fighting
lucario,448,1,Fighting
lucario,448,2,Steel
hippopotas,449,1,Ground
hippowdon,450,1,Ground
skorupi,451,1,Poison
skorupi,451,2,Bug
drapion,452,1,Poison
drapion,452,2,Dark
croagunk,453,1,Poison
croagunk,453,2,Fighting
toxicroak,454,1,Poison
toxicroak,454,2,Fighting
carnivine,455,1,Grass
finneon,456,1,Water
lumineon,457,1,Water
mantyke,458,1,Water
mantyke,458,2,Flying
snover,459,1,Grass
snover,459,2,Ice
abomasnow,460,1,Grass
abomasnow,460,2,Ice
weavile,461,1,Dark
weavile,461,2,Ice
magnezone,462,1,Electric
magnezone,462,2,Steel
lickilicky,463,1,Normal
rhyperior,464,1,Ground
rhyperior,464,2,Rock
tangrowth,465,1,Grass
electivire,466,1,Electric
magmortar,467,1,Fire
togekiss,468,1,Fairy
togekiss,468,2,Flying
yanmega,469,1,Bug
yanmega,469,2,Flying
leafeon,470,1,Grass
glaceon,471,1,Ice
gliscor,472,1,Ground
gliscor,472,2,Flying
mamoswine,473,1,Ice
mamoswine,473,2,Ground
porygon-z,474,1,Normal
gallade,475,1,Psychic
gallade,475,2,Fighting
probopass,476,1,Rock
probopass,476,2,Steel
dusknoir,477,1,Ghost
froslass,478,1,Ice
froslass,478,2,Ghost
rotom,479,1,Electric
rotom,479,2,Ghost
uxie,480,1,Psychic
mesprit,481,1,Psychic
azelf,482,1,Psychic
dialga,483,1,Steel
dialga,483,2,Dragon
palkia,484,1,Water
palkia,484,2,Dragon
heatran,485,1,Fire
heatran,485,2,Steel
regigigas,486,1,Normal
giratina-altered,487,1,Ghost
giratina-altered,487,2,Dragon
cresselia,488,1,Psychic
phione,489,1,Water
manaphy,490,1,Water
darkrai,491,1,Dark
shaymin-land,492,1,Grass
arceus,493,1,Normal
victini,494,1,Psychic
victini,494,2,Fire
snivy,495,1,Grass
servine,496,1,Grass
serperior,497,1,Grass
tepig,498,1,Fire
pignite,499,1,Fire
pignite,499,2,Fighting
emboar,500,1,Fire
emboar,500,2,Fighting
oshawott,501,1,Water
dewott,502,1,Water
samurott,503,1,Water
patrat,504,1,Normal
watchog,505,1,Normal
lillipup,506,1,Normal
herdier,507,1,Normal
stoutland,508,1,Normal
purrloin,509,1,Dark
liepard,510,1,Dark
pansage,511,1,Grass
simisage,512,1,Grass
pansear,513,1,Fire
simisear,514,1,Fire
panpour,515,1,Water
simipour,516,1,Water
munna,517,1,Psychic
musharna,518,1,Psychic
pidove,519,1,Normal
pidove,519,2,Flying
tranquill,520,1,Normal
tranquill,520,2,Flying
unfezant,521,1,Normal
unfezant,521,2,Flying
blitzle,522,1,Electric
zebstrika,523,1,Electric
roggenrola,524,1,Rock
boldore,525,1,Rock
gigalith,526,1,Rock
woobat,527,1,Psychic
woobat,527,2,Flying
swoobat,528,1,Psychic
swoobat,528,2,Flying
drilbur,529,1,Ground
excadrill,530,1,Ground
excadrill,530,2,Steel
audino,531,1,Normal
timburr,532,1,Fighting
gurdurr,533,1,Fighting
conkeldurr,534,1,Fighting
tympole,535,1,Water
palpitoad,536,1,Water
palpitoad,536,2,Ground
seismitoad,537,1,Water
seismitoad,537,2,Ground
throh,538,1,Fighting
sawk,539,1,Fighting
sewaddle,540,1,Bug
sewaddle,540,2,Grass
swadloon,541,1,Bug
swadloon,541,2,Grass
leavanny,542,1,Bug
leavanny,542,2,Grass
venipede,543,1,Bug
venipede,543,2,Poison
whirlipede,544,1,Bug
whirlipede,544,2,Poison
scolipede,545,1,Bug
scolipede,545,2,Poison
cottonee,546,1,Grass
cottonee,546,2,Fairy
whimsicott,547,1,Grass
whimsicott,547,2,Fairy
petilil,548,1,Grass
lilligant,549,1,Grass
basculin-red-striped,550,1,Water
sandile,551,1,Ground
sandile,551,2,Dark
krokorok,552,1,Ground
krokorok,552,2,Dark
krookodile,553,1,Ground
krookodile,553,2,Dark
darumaka,554,1,Fire
darmanitan-standard,555,1,Fire
maractus,556,1,Grass
dwebble,557,1,Bug
dwebble,557,2,Rock
crustle,558,1,Bug
crustle,558,2,Rock
scraggy,559,1,Dark
scraggy,559,2,Fighting
scrafty,560,1,Dark
scrafty,560,2,Fighting
sigilyph,561,1,Psychic
sigilyph,561,2,Flying
yamask,562,1,Ghost
cofagrigus,563,1,Ghost
tirtouga,564,1,Water
tirtouga,564,2,Rock
carracosta,565,1,Water
carracosta,565,2,Rock
archen,566,1,Rock
archen,566,2,Flying
archeops,567,1,Rock
archeops,567,2,Flying
trubbish,568,1,Poison
garbodor,569,1,Poison
zorua,570,1,Dark
zoroark,571,1,Dark
minccino,572,1,Normal
cinccino,573,1,Normal
gothita,574,1,Psychic
gothorita,575,1,Psychic
gothitelle,576,1,Psychic
solosis,577,1,Psychic
duosion,578,1,Psychic
reuniclus,579,1,Psychic
ducklett,580,1,Water
ducklett,580,2,Flying
swanna,581,1,Water
swanna,581,2,Flying
vanillite,582,1,Ice
vanillish,583,1,Ice
vanilluxe,584,1,Ice
deerling,585,1,Normal
deerling,585,2,Grass
sawsbuck,586,1,Normal
sawsbuck,586,2,Grass
emolga,587,1,Electric
emolga,587,2,Flying
karrablast,588,1,Bug
escavalier,589,1,Bug
escavalier,589,2,Steel
foongus,590,1,Grass
foongus,590,2,Poison
amoonguss,591,1,Grass
amoonguss,591,2,Poison
frillish-male,592,1,Water
frillish-male,592,2,Ghost
jellicent-male,593,1,Water
jellicent-male,593,2,Ghost
alomomola,594,1,Water
joltik,595,1,Bug
joltik,595,2,Electric
galvantula,596,1,Bug
galvantula,596,2,Electric
ferroseed,597,1,Grass
ferroseed,597,2,Steel
ferrothorn,598,1,Grass
ferrothorn,598,2,Steel
klink,599,1,Steel
klang,600,1,Steel
klinklang,601,1,Steel
tynamo,602,1,Electric
eelektrik,603,1,Electric
eelektross,604,1,Electric
elgyem,605,1,Psychic
beheeyem,606,1,Psychic
litwick,607,1,Ghost
litwick,607,2,Fire
lampent,608,1,Ghost
lampent,608,2,Fire
chandelure,609,1,Ghost
chandelure,609,2,Fire
axew,610,1,Dragon
fraxure,611,1,Dragon
haxorus,612,1,Dragon
cubchoo,613,1,Ice
beartic,614,1,Ice
cryogonal,615,1,Ice
shelmet,616,1,Bug
accelgor,617,1,Bug
stunfisk,618,1,Ground
stunfisk,618,2,Electric
mienfoo,619,1,Fighting
mienshao,620,1,Fighting
druddigon,621,1,Dragon
golett,622,1,Ground
golett,622,2,Ghost
golurk,623,1,Ground
golurk,623,2,Ghost
pawniard,624,1,Dark
pawniard,624,2,Steel
bisharp,625,1,Dark
bisharp,625,2,Steel
bouffalant,626,1,Normal
rufflet,627,1,Normal
rufflet,627,2,Flying
braviary,628,1,Normal
braviary,628,2,Flying
vullaby,629,1,Dark
vullaby,629,2,Flying
mandibuzz,630,1,Dark
mandibuzz,630,2,Flying
heatmor,631,1,Fire
durant,632,1,Bug
durant,632,2,Steel
deino,633,1,Dark
deino,633,2,Dragon
zweilous,634,1,Dark
zweilous,634,2,Dragon
hydreigon,635,1,Dark
hydreigon,635,2,Dragon
larvesta,636,1,Bug
larvesta,636,2,Fire
volcarona,637,1,Bug
volcarona,637,2,Fire
cobalion,638,1,Steel
cobalion,638,2,Fighting
terrakion,639,1,Rock
terrakion,639,2,Fighting
virizion,640,1,Grass
virizion,640,2,Fighting
tornadus-incarnate,641,1,Flying
thundurus-incarnate,642,1,Electric
thundurus-incarnate,642,2,Flying
reshiram,643,1,Dragon
reshiram,643,2,Fire
zekrom,644,1,Dragon
zekrom,644,2,Electric
landorus-incarnate,645,1,Ground
landorus-incarnate,645,2,Flying
kyurem,646,1,Dragon
kyurem,646,2,Ice
keldeo-ordinary,647,1,Water
keldeo-ordinary,647,2,Fighting
meloetta-aria,648,1,Normal
meloetta-aria,648,2,Psychic
genesect,649,1,Bug
genesect,649,2,Steel
chespin,650,1,Grass
quilladin,651,1,Grass
chesnaught,652,1,Grass
chesnaught,652,2,Fighting
fennekin,653,1,Fire
braixen,654,1,Fire
delphox,655,1,Fire
delphox,655,2,Psychic
froakie,656,1,Water
frogadier,657,1,Water
greninja,658,1,Water
greninja,658,2,Dark
bunnelby,659,1,Normal
diggersby,660,1,Normal
diggersby,660,2,Ground
fletchling,661,1,Normal
fletchling,661,2,Flying
fletchinder,662,1,Fire
fletchinder,662,2,Flying
talonflame,663,1,Fire
talonflame,663,2,Flying
scatterbug,664,1,Bug
spewpa,665,1,Bug
vivillon,666,1,Bug
vivillon,666,2,Flying
litleo,667,1,Fire
litleo,667,2,Normal
pyroar-male,668,1,Fire
pyroar-male,668,2,Normal
flabebe,669,1,Fairy
floette,670,1,Fairy
florges,671,1,Fairy
skiddo,672,1,Grass
gogoat,673,1,Grass
pancham,674,1,Fighting
pangoro,675,1,Fighting
pangoro,675,2,Dark
furfrou,676,1,Normal
espurr,677,1,Psychic
meowstic-male,678,1,Psychic
honedge,679,1,Steel
honedge,679,2,Ghost
doublade,680,1,Steel
doublade,680,2,Ghost
aegislash-shield,681,1,Steel
aegislash-shield,681,2,Ghost
spritzee,682,1,Fairy
aromatisse,683,1,Fairy
swirlix,684,1,Fairy
slurpuff,685,1,Fairy
inkay,686,1,Dark
inkay,686,2,Psychic
malamar,687,1,Dark
malamar,687,2,Psychic
binacle,688,1,Rock
binacle,688,2,Water
barbaracle,689,1,Rock
barbaracle,689,2,Water
skrelp,690,1,Poison
skrelp,690,2,Water
dragalge,691,1,Poison
dragalge,691,2,Dragon
clauncher,692,1,Water
clawitzer,693,1,Water
helioptile,694,1,Electric
helioptile,694,2,Normal
heliolisk,695,1,Electric
heliolisk,695,2,Normal
tyrunt,696,1,Rock
tyrunt,696,2,Dragon
tyrantrum,697,1,Rock
tyrantrum,697,2,Dragon
amaura,698,1,Rock
amaura,698,2,Ice
aurorus,699,1,Rock
aurorus,699,2,Ice
sylveon,700,1,Fairy
hawlucha,701,1,Fighting
hawlucha,701,2,Flying
dedenne,702,1,Electric
dedenne,702,2,Fairy
carbink,703,1,Rock
carbink,703,2,Fairy
goomy,704,1,Dragon
sliggoo,705,1,Dragon
goodra,706,1,Dragon
klefki,707,1,Steel
klefki,707,2,Fairy
phantump,708,1,Ghost
phantump,708,2,Grass
trevenant,709,1,Ghost
trevenant,709,2,Grass
pumpkaboo-average,710,1,Ghost
pumpkaboo-average,710,2,Grass
gourgeist-average,711,1,Ghost
gourgeist-average,711,2,Grass
bergmite,712,1,Ice
avalugg,713,1,Ice
noibat,714,1,Flying
noibat,714,2,Dragon
noivern,715,1,Flying
noivern,715,2,Dragon
xerneas,716,1,Fairy
yveltal,717,1,Dark
yveltal,717,2,Flying
zygarde-50,718,1,Dragon
zygarde-50,718,2,Ground
diancie,719,1,Rock
diancie,719,2,Fairy
hoopa,720,1,Psychic
hoopa,720,2,Ghost
volcanion,721,1,Fire
volcanion,721,2,Water
rowlet,722,1,Grass
rowlet,722,2,Flying
dartrix,723,1,Grass
dartrix,723,2,Flying
decidueye,724,1,Grass
decidueye,724,2,Ghost
litten,725,1,Fire
torracat,726,1,Fire
incineroar,727,1,Fire
incineroar,727,2,Dark
popplio,728,1,Water
