evolution_chain_id,from_species_slug,to_species_slug,from_stage,to_stage,trigger,min_level,item,held_item,known_move,time_of_day
57,mr-mime,mr-rime,1,2,level-up,42.0,,,,
58,scyther,scizor,0,1,trade,,,metal-coat,,
58,scyther,kleavor,0,1,use-item,,black-augurite,,,
59,smoochum,jynx,0,1,level-up,30.0,,,,
60,elekid,electabuzz,0,1,level-up,30.0,,,,
60,electabuzz,electivire,1,2,trade,,,electirizer,,
61,magby,magmar,0,1,level-up,30.0,,,,
61,magmar,magmortar,1,2,trade,,,magmarizer,,
64,magikarp,gyarados,0,1,level-up,20.0,,,,
67,eevee,vaporeon,0,1,use-item,,water-stone,,,
67,eevee,jolteon,0,1,use-item,,thunder-stone,,,
67,eevee,flareon,0,1,use-item,,fire-stone,,,
67,eevee,espeon,0,1,level-up,,,,,day
67,eevee,umbreon,0,1,level-up,,,,,night
67,eevee,leafeon,0,1,level-up,,,,,
67,eevee,glaceon,0,1,level-up,,,,,
67,eevee,sylveon,0,1,level-up,,,,,
68,porygon,porygon2,0,1,trade,,,up-grade,,
68,porygon2,porygon-z,1,2,trade,,,dubious-disc,,
69,omanyte,omastar,0,1,level-up,40.0,,,,
70,kabuto,kabutops,0,1,level-up,40.0,,,,
72,munchlax,snorlax,0,1,level-up,,,,,
76,dratini,dragonair,0,1,level-up,30.0,,,,
76,dragonair,dragonite,1,2,level-up,55.0,,,,
79,chikorita,bayleef,0,1,level-up,16.0,,,,
79,bayleef,meganium,1,2,level-up,32.0,,,,
80,cyndaquil,quilava,0,1,level-up,14.0,,,,
80,quilava,typhlosion,1,2,level-up,36.0,,,,
81,totodile,croconaw,0,1,level-up,18.0,,,,
81,croconaw,feraligatr,1,2,level-up,30.0,,,,
82,sentret,furret,0,1,level-up,15.0,,,,
83,hoothoot,noctowl,0,1,level-up,20.0,,,,
84,ledyba,ledian,0,1,level-up,18.0,,,,
85,spinarak,ariados,0,1,level-up,22.0,,,,
86,chinchou,lanturn,0,1,level-up,27.0,,,,
87,togepi,togetic,0,1,level-up,,,,,
87,togetic,togekiss,1,2,use-item,,shiny-stone,,,
88,natu,xatu,0,1,level-up,25.0,,,,
89,mareep,flaaffy,0,1,level-up,15.0,,,,
89,flaaffy,ampharos,1,2,level-up,30.0,,,,
90,azurill,marill,0,1,level-up,,,,,
90,marill,azumarill,1,2,level-up,18.0,,,,
91,bonsly,sudowoodo,0,1,level-up,,,,mimic,
92,hoppip,skiploom,0,1,level-up,18.0,,,,
92,skiploom,jumpluff,1,2,level-up,27.0,,,,
93,aipom,ambipom,0,1,level-up,,,,double-hit,
94,sunkern,sunflora,0,1,use-item,,sun-stone,,,
95,yanma,yanmega,0,1,level-up,,,,ancient-power,
96,wooper,quagsire,0,1,level-up,20.0,,,,
96,wooper,clodsire,0,1,level-up,20.0,,,,
97,murkrow,honchkrow,0,1,use-item,,dusk-stone,,,
98,misdreavus,mismagius,0,1,use-item,,dusk-stone,,,
100,wynaut,wobbuffet,0,1,level-up,15.0,,,,
101,girafarig,farigiraf,0,1,level-up,,,,twin-beam,
102,pineco,forretress,0,1,level-up,31.0,,,,
103,dunsparce,dudunsparce,0,1,level-up,,,,hyper-drill,
104,gligar,gliscor,0,1,level-up,,,razor-fang,,night
105,snubbull,granbull,0,1,level-up,23.0,,,,
106,qwilfish,overqwil,0,1,strong-style-move,,,,,
109,sneasel,weavile,0,1,level-up,,,razor-claw,,night
109,sneasel,sneasler,0,1,level-up,,,razor-claw,,day
110,teddiursa,ursaring,0,1,level-up,30.0,,,,
110,ursaring,ursaluna,1,2,use-item,,peat-block,,,full-moon
111,slugma,magcargo,0,1,level-up,38.0,,,,
112,swinub,piloswine,0,1,level-up,33.0,,,,
112,piloswine,mamoswine,1,2,level-up,,,,ancient-power,
113,corsola,cursola,0,1,level-up,38.0,,,,
114,remoraid,octillery,0,1,level-up,25.0,,,,
116,mantyke,mantine,0,1,level-up,,,,,
118,houndour,houndoom,0,1,level-up,24.0,,,,
119,phanpy,donphan,0,1,level-up,25.0,,,,
120,stantler,wyrdeer,0,1,agile-style-move,,,,,
126,larvitar,pupitar,0,1,level-up,30.0,,,,
126,pupitar,tyranitar,1,2,level-up,55.0,,,,
130,treecko,grovyle,0,1,level-up,16.0,,,,
130,grovyle,sceptile,1,2,level-up,36.0,,,,
131,torchic,combusken,0,1,level-up,16.0,,,,
131,combusken,blaziken,1,2,level-up,36.0,,,,
132,mudkip,marshtomp,0,1,level-up,16.0,,,,
132,marshtomp,swampert,1,2,level-up,36.0,,,,
133,poochyena,mightyena,0,1,level-up,18.0,,,,
134,zigzagoon,linoone,0,1,level-up,20.0,,,,
134,linoone,obstagoon,1,2,level-up,35.0,,,,night
135,wurmple,silcoon,0,1,level-up,7.0,,,,
135,wurmple,cascoon,0,1,level-up,7.0,,,,
135,silcoon,beautifly,1,2,level-up,10.0,,,,
135,cascoon,dustox,1,2,level-up,10.0,,,,
136,lotad,lombre,0,1,level-up,14.0,,,,
136,lombre,ludicolo,1,2,use-item,,water-stone,,,
137,seedot,nuzleaf,0,1,level-up,14.0,,,,
137,nuzleaf,shiftry,1,2,use-item,,leaf-stone,,,
138,taillow,swellow,0,1,level-up,22.0,,,,
139,wingull,pelipper,0,1,level-up,25.0,,,,
140,ralts,kirlia,0,1,level-up,20.0,,,,
140,kirlia,gardevoir,1,2,level-up,30.0,,,,
140,kirlia,gallade,1,2,use-item,,dawn-stone,,,
141,surskit,masquerain,0,1,level-up,22.0,,,,
142,shroomish,breloom,0,1,level-up,23.0,,,,
143,slakoth,vigoroth,0,1,level-up,18.0,,,,
143,vigoroth,slaking,1,2,level-up,36.0,,,,
144,nincada,ninjask,0,1,level-up,20.0,,,,
144,nincada,shedinja,0,1,shed,,,,,
145,whismur,loudred,0,1,level-up,20.0,,,,
145,loudred,exploud,1,2,level-up,40.0,,,,
146,makuhita,hariyama,0,1,level-up,24.0,,,,
147,nosepass,probopass,0,1,level-up,,,,,
148,skitty,delcatty,0,1,use-item,,moon-stone,,,
151,aron,lairon,0,1,level-up,32.0,,,,
151,lairon,aggron,1,2,level-up,42.0,,,,
152,meditite,medicham,0,1,level-up,37.0,,,,
153,electrike,manectric,0,1,level-up,26.0,,,,
158,budew,roselia,0,1,level-up,,,,,day
158,roselia,roserade,1,2,use-item,,shiny-stone,,,
159,gulpin,swalot,0,1,level-up,26.0,,,,
160,carvanha,sharpedo,0,1,level-up,30.0,,,,
161,wailmer,wailord,0,1,level-up,40.0,,,,
162,numel,camerupt,0,1,level-up,33.0,,,,
164,spoink,grumpig,0,1,level-up,32.0,,,,
166,trapinch,vibrava,0,1,level-up,35.0,,,,
166,vibrava,flygon,1,2,level-up,45.0,,,,
167,cacnea,cacturne,0,1,level-up,32.0,,,,
168,swablu,altaria,0,1,level-up,35.0,,,,
173,barboach,whiscash,0,1,level-up,30.0,,,,
174,corphish,crawdaunt,0,1,level-up,30.0,,,,
175,baltoy,claydol,0,1,level-up,36.0,,,,
176,lileep,cradily,0,1,level-up,40.0,,,,
177,anorith,armaldo,0,1,level-up,40.0,,,,
178,feebas,milotic,0,1,level-up,,,,,
181,shuppet,banette,0,1,level-up,37.0,,,,
182,duskull,dusclops,0,1,level-up,37.0,,,,
182,dusclops,dusknoir,1,2,trade,,,reaper-cloth,,
184,chingling,chimecho,0,1,level-up,,,,,night
186,snorunt,glalie,0,1,level-up,42.0,,,,
186,snorunt,froslass,0,1,use-item,,dawn-stone,,,
187,spheal,sealeo,0,1,level-up,32.0,,,,
187,sealeo,walrein,1,2,level-up,44.0,,,,
188,clamperl,huntail,0,1,trade,,,deep-sea-tooth,,
188,clamperl,gorebyss,0,1,trade,,,deep-sea-scale,,
191,bagon,shelgon,0,1,level-up,30.0,,,,
191,shelgon,salamence,1,2,level-up,50.0,,,,
192,beldum,metang,0,1,level-up,20.0,,,,
192,metang,metagross,1,2,level-up,45.0,,,,
203,turtwig,grotle,0,1,level-up,18.0,,,,
203,grotle,torterra,1,2,level-up,32.0,,,,
204,chimchar,monferno,0,1,level-up,14.0,,,,
204,monferno,infernape,1,2,level-up,36.0,,,,
205,piplup,prinplup,0,1,level-up,16.0,,,,
205,prinplup,empoleon,1,2,level-up,36.0,,,,
206,starly,staravia,0,1,level-up,14.0,,,,
206,staravia,staraptor,1,2,level-up,34.0,,,,
207,bidoof,bibarel,0,1,level-up,15.0,,,,
208,kricketot,kricketune,0,1,level-up,10.0,,,,
209,shinx,luxio,0,1,level-up,15.0,,,,
209,luxio,luxray,1,2,level-up,30.0,,,,
211,cranidos,rampardos,0,1,level-up,30.0,,,,
212,shieldon,bastiodon,0,1,level-up,30.0,,,,
213,burmy,wormadam,0,1,level-up,20.0,,,,
213,burmy,mothim,0,1,level-up,20.0,,,,
214,combee,vespiquen,0,1,level-up,21.0,,,,
216,buizel,floatzel,0,1,level-up,26.0,,,,
217,cherubi,cherrim,0,1,level-up,25.0,,,,
218,shellos,gastrodon,0,1,level-up,30.0,,,,
219,drifloon,drifblim,0,1,level-up,28.0,,,,
220,buneary,lopunny,0,1,level-up,,,,,
221,glameow,purugly,0,1,level-up,38.0,,,,
223,stunky,skuntank,0,1,level-up,34.0,,,,
224,bronzor,bronzong,0,1,level-up,33.0,,,,
230,gible,gabite,0,1,level-up,24.0,,,,
230,gabite,garchomp,1,2,level-up,48.0,,,,
232,riolu,lucario,0,1,level-up,,,,,day
233,hippopotas,hippowdon,0,1,level-up,34.0,,,,
234,skorupi,drapion,0,1,level-up,40.0,,,,
235,croagunk,toxicroak,0,1,level-up,37.0,,,,
237,finneon,lumineon,0,1,level-up,31.0,,,,
239,snover,abomasnow,0,1,level-up,40.0,,,,
250,phione,manaphy,0,1,unknown,,,,,
256,snivy,servine,0,1,level-up,17.0,,,,
256,servine,serperior,1,2,level-up,36.0,,,,
257,tepig,pignite,0,1,level-up,17.0,,,,
257,pignite,emboar,1,2,level-up,36.0,,,,
258,oshawott,dewott,0,1,level-up,17.0,,,,
258,dewott,samurott,1,2,level-up,36.0,,,,
259,patrat,watchog,0,1,level-up,20.0,,,,
260,lillipup,herdier,0,1,level-up,16.0,,,,
260,herdier,stoutland,1,2,level-up,32.0,,,,
261,purrloin,liepard,0,1,level-up,20.0,,,,
262,pansage,simisage,0,1,use-item,,leaf-stone,,,
263,pansear,simisear,0,1,use-item,,fire-stone,,,
264,panpour,simipour,0,1,use-item,,water-stone,,,
265,munna,musharna,0,1,use-item,,moon-stone,,,
266,pidove,tranquill,0,1,level-up,21.0,,,,
266,tranquill,unfezant,1,2,level-up,32.0,,,,
267,blitzle,zebstrika,0,1,level-up,27.0,,,,
268,roggenrola,boldore,0,1,level-up,25.0,,,,
268,boldore,gigalith,1,2,trade,,,,,
269,woobat,swoobat,0,1,level-up,,,,,
270,drilbur,excadrill,0,1,level-up,31.0,,,,
272,timburr,gurdurr,0,1,level-up,25.0,,,,
272,gurdurr,conkeldurr,1,2,trade,,,,,
273,tympole,palpitoad,0,1,level-up,25.0,,,,
273,palpitoad,seismitoad,1,2,level-up,36.0,,,,
276,sewaddle,swadloon,0,1,level-up,20.0,,,,
276,swadloon,leavanny,1,2,level-up,,,,,
277,venipede,whirlipede,0,1,level-up,22.0,,,,
277,whirlipede,scolipede,1,2,level-up,30.0,,,,
278,cottonee,whimsicott,0,1,use-item,,sun-stone,,,
279,petilil,lilligant,0,1,use-item,,sun-stone,,,
280,basculin,basculegion,0,1,recoil-damage,,,,,
281,sandile,krokorok,0,1,level-up,29.0,,,,
281,krokorok,krookodile,1,2,level-up,40.0,,,,
282,darumaka,darmanitan,0,1,level-up,35.0,,,,
284,dwebble,crustle,0,1,level-up,34.0,,,,
285,scraggy,scrafty,0,1,level-up,39.0,,,,
287,yamask,cofagrigus,0,1,level-up,34.0,,,,
287,yamask,runerigus,0,1,take-damage,,,,,
288,tirtouga,carracosta,0,1,level-up,37.0,,,,
289,archen,archeops,0,1,level-up,37.0,,,,
290,trubbish,garbodor,0,1,level-up,36.0,,,,
291,zorua,zoroark,0,1,level-up,30.0,,,,
292,minccino,cinccino,0,1,use-item,,shiny-stone,,,
293,gothita,gothorita,0,1,level-up,32.0,,,,
293,gothorita,gothitelle,1,2,level-up,41.0,,,,
294,solosis,duosion,0,1,level-up,32.0,,,,
294,duosion,reuniclus,1,2,level-up,41.0,,,,
295,ducklett,swanna,0,1,level-up,35.0,,,,
296,vanillite,vanillish,0,1,level-up,35.0,,,,
296,vanillish,vanilluxe,1,2,level-up,47.0,,,,
297,deerling,sawsbuck,0,1,level-up,34.0,,,,
299,karrablast,escavalier,0,1,trade,,,,,
300,foongus,amoonguss,0,1,level-up,39.0,,,,
301,frillish,jellicent,0,1,level-up,40.0,,,,
303,joltik,galvantula,0,1,level-up,36.0,,,,
304,ferroseed,ferrothorn,0,1,level-up,40.0,,,,
305,klink,klang,0,1,level-up,38.0,,,,
305,klang,klinklang,1,2,level-up,49.0,,,,
306,tynamo,eelektrik,0,1,level-up,39.0,,,,
306,eelektrik,eelektross,1,2,use-item,,thunder-stone,,,
307,elgyem,beheeyem,0,1,level-up,42.0,,,,
308,litwick,lampent,0,1,level-up,41.0,,,,
308,lampent,chandelure,1,2,use-item,,dusk-stone,,,
309,axew,fraxure,0,1,level-up,38.0,,,,
309,fraxure,haxorus,1,2,level-up,48.0,,,,
310,cubchoo,beartic,0,1,level-up,37.0,,,,
312,shelmet,accelgor,0,1,trade,,,,,
314,mienfoo,mienshao,0,1,level-up,50.0,,,,
316,golett,golurk,0,1,level-up,43.0,,,,
317,pawniard,bisharp,0,1,level-up,52.0,,,,
317,bisharp,kingambit,1,2,three-defeated-bisharp,,,,,
319,rufflet,braviary,0,1,level-up,54.0,,,,
320,vullaby,mandibuzz,0,1,level-up,54.0,,,,
323,deino,zweilous,0,1,level-up,50.0,,,,
323,zweilous,hydreigon,1,2,level-up,64.0,,,,
324,larvesta,volcarona,0,1,level-up,59.0,,,,
337,chespin,quilladin,0,1,level-up,16.0,,,,
337,quilladin,chesnaught,1,2,level-up,36.0,,,,
338,fennekin,braixen,0,1,level-up,16.0,,,,
338,braixen,delphox,1,2,level-up,36.0,,,,
339,froakie,frogadier,0,1,level-up,16.0,,,,
339,frogadier,greninja,1,2,level-up,36.0,,,,
340,bunnelby,diggersby,0,1,level-up,20.0,,,,
341,fletchling,fletchinder,0,1,level-up,17.0,,,,
341,fletchinder,talonflame,1,2,level-up,35.0,,,,
342,scatterbug,spewpa,0,1,level-up,9.0,,,,
342,spewpa,vivillon,1,2,level-up,12.0,,,,
343,litleo,pyroar,0,1,level-up,35.0,,,,
344,flabebe,floette,0,1,level-up,19.0,,,,
344,floette,florges,1,2,use-item,,shiny-stone,,,
345,skiddo,gogoat,0,1,level-up,32.0,,,,
346,pancham,pangoro,0,1,level-up,32.0,,,,
348,espurr,meowstic,0,1,level-up,25.0,,,,
349,honedge,doublade,0,1,level-up,35.0,,,,
349,doublade,aegislash,1,2,use-item,,dusk-stone,,,
350,spritzee,aromatisse,0,1,trade,,,sachet,,
351,swirlix,slurpuff,0,1,trade,,,whipped-dream,,
352,inkay,malamar,0,1,level-up,30.0,,,,
353,binacle,barbaracle,0,1,level-up,39.0,,,,
354,skrelp,dragalge,0,1,level-up,48.0,,,,
355,clauncher,clawitzer,0,1,level-up,37.0,,,,
356,helioptile,heliolisk,0,1,use-item,,sun-stone,,,
357,tyrunt,tyrantrum,0,1,level-up,39.0,,,,day
358,amaura,aurorus,0,1,level-up,39.0,,,,night
362,goomy,sliggoo,0,1,level-up,40.0,,,,
362,sliggoo,goodra,1,2,level-up,50.0,,,,
364,phantump,trevenant,0,1,trade,,,,,
365,pumpkaboo,gourgeist,0,1,trade,,,,,
366,bergmite,avalugg,0,1,level-up,37.0,,,,
367,noibat,noivern,0,1,level-up,48.0,,,,
374,rowlet,dartrix,0,1,level-up,17.0,,,,
374,dartrix,decidueye,1,2,level-up,34.0,,,,
375,litten,torracat,0,1,level-up,17.0,,,,
375,torracat,incineroar,1,2,level-up,34.0,,,,
376,popplio,brionne,0,1,level-up,17.0,,,,
376,brionne,primarina,1,2,level-up,34.0,,,,
377,pikipek,trumbeak,0,1,level-up,14.0,,,,
377,trumbeak,toucannon,1,2,level-up,28.0,,,,
378,yungoos,gumshoos,0,1,level-up,20.0,,,,day
379,grubbin,charjabug,0,1,level-up,20.0,,,,
379,charjabug,vikavolt,1,2,level-up,,,,,
380,crabrawler,crabominable,0,1,level-up,,,,,
382,cutiefly,ribombee,0,1,level-up,25.0,,,,
383,rockruff,lycanroc,0,1,level-up,25.0,,,,day
385,mareanie,toxapex,0,1,level-up,38.0,,,,
386,mudbray,mudsdale,0,1,level-up,30.0,,,,
387,dewpider,araquanid,0,1,level-up,22.0,,,,
388,fomantis,lurantis,0,1,level-up,34.0,,,,day
389,morelull,shiinotic,0,1,level-up,24.0,,,,
390,salandit,salazzle,0,1,level-up,33.0,,,,
391,stufful,bewear,0,1,level-up,27.0,,,,
392,bounsweet,steenee,0,1,level-up,18.0,,,,
392,steenee,tsareena,1,2,level-up,,,,stomp,
396,wimpod,golisopod,0,1,level-up,30.0,,,,
397,sandygast,palossand,0,1,level-up,42.0,,,,
399,type-null,silvally,0,1,level-up,,,,,
408,jangmo-o,hakamo-o,0,1,level-up,35.0,,,,
408,hakamo-o,kommo-o,1,2,level-up,45.0,,,,
413,cosmog,cosmoem,0,1,level-up,43.0,,,,
413,cosmoem,solgaleo,1,2,level-up,53.0,,,,
413,cosmoem,lunala,1,2,level-up,53.0,,,,
424,poipole,naganadel,0,1,level-up,,,,dragon-pulse,
430,grookey,thwackey,0,1,level-up,16.0,,,,
430,thwackey,rillaboom,1,2,level-up,35.0,,,,
431,scorbunny,raboot,0,1,level-up,16.0,,,,
431,raboot,cinderace,1,2,level-up,35.0,,,,
432,sobble,drizzile,0,1,level-up,16.0,,,,
432,drizzile,inteleon,1,2,level-up,35.0,,,,
433,skwovet,greedent,0,1,level-up,24.0,,,,
434,rookidee,corvisquire,0,1,level-up,18.0,,,,
434,corvisquire,corviknight,1,2,level-up,38.0,,,,
435,blipbug,dottler,0,1,level-up,10.0,,,,
435,dottler,orbeetle,1,2,level-up,30.0,,,,
436,nickit,thievul,0,1,level-up,18.0,,,,
437,gossifleur,eldegoss,0,1,level-up,20.0,,,,
438,wooloo,dubwool,0,1,level-up,24.0,,,,
439,chewtle,drednaw,0,1,level-up,22.0,,,,
440,yamper,boltund,0,1,level-up,25.0,,,,
441,rolycoly,carkol,0,1,level-up,18.0,,,,
441,carkol,coalossal,1,2,level-up,34.0,,,,
442,applin,flapple,0,1,use-item,,tart-apple,,,
442,applin,appletun,0,1,use-item,,sweet-apple,,,
442,applin,dipplin,0,1,unknown,,,,,
442,dipplin,hydrapple,1,2,unknown,,,,,
443,silicobra,sandaconda,0,1,level-up,36.0,,,,
445,arrokuda,barraskewda,0,1,level-up,26.0,,,,
446,toxel,toxtricity,0,1,level-up,30.0,,,,
447,sizzlipede,centiskorch,0,1,level-up,28.0,,,,
448,clobbopus,grapploct,0,1,level-up,,,,taunt,
449,sinistea,polteageist,0,1,use-item,,cracked-pot,,,
450,hatenna,hattrem,0,1,level-up,32.0,,,,
450,hattrem,hatterene,1,2,level-up,42.0,,,,
451,impidimp,morgrem,0,1,level-up,32.0,,,,
451,morgrem,grimmsnarl,1,2,level-up,42.0,,,,
452,milcery,alcremie,0,1,spin,,,,,
455,snom,frosmoth,0,1,level-up,,,,,night
460,cufant,copperajah,0,1,level-up,34.0,,,,
465,duraludon,archaludon,0,1,unknown,,,,,
466,dreepy,drakloak,0,1,level-up,50.0,,,,
466,drakloak,dragapult,1,2,level-up,60.0,,,,
470,kubfu,urshifu,0,1,tower-of-darkness,,,,,
478,sprigatito,floragato,0,1,level-up,16.0,,,,
478,floragato,meowscarada,1,2,level-up,36.0,,,,
479,fuecoco,crocalor,0,1,level-up,16.0,,,,
479,crocalor,skeledirge,1,2,level-up,36.0,,,,
480,quaxly,quaxwell,0,1,level-up,16.0,,,,
480,quaxwell,quaquaval,1,2,level-up,36.0,,,,
481,lechonk,oinkologne,0,1,level-up,18.0,,,,
482,tarountula,spidops,0,1,level-up,15.0,,,,
483,nymble,lokix,0,1,level-up,24.0,,,,
484,pawmi,pawmo,0,1,level-up,18.0,,,,
484,pawmo,pawmot,1,2,level-up,,,,,
485,tandemaus,maushold,0,1,other,25.0,,,,
486,fidough,dachsbun,0,1,level-up,26.0,,,,
487,smoliv,dolliv,0,1,level-up,25.0,,,,
487,dolliv,arboliva,1,2,level-up,35.0,,,,
489,nacli,naclstack,0,1,level-up,24.0,,,,
489,naclstack,garganacl,1,2,level-up,38.0,,,,
490,charcadet,armarouge,0,1,use-item,,auspicious-armor,,,
490,charcadet,ceruledge,0,1,use-item,,malicious-armor,,,
491,tadbulb,bellibolt,0,1,use-item,,thunder-stone,,,
492,wattrel,kilowattrel,0,1,level-up,25.0,,,,
493,maschiff,mabosstiff,0,1,level-up,30.0,,,,
494,shroodle,grafaiai,0,1,level-up,28.0,,,,
495,bramblin,brambleghast,0,1,level-up,,,,,
496,toedscool,toedscruel,0,1,level-up,30.0,,,,
498,capsakid,scovillain,0,1,use-item,,fire-stone,,,
499,rellor,rabsca,0,1,level-up,,,,,
500,flittle,espathra,0,1,level-up,35.0,,,,
501,tinkatink,tinkatuff,0,1,level-up,24.0,,,,
501,tinkatuff,tinkaton,1,2,level-up,38.0,,,,
502,wiglett,wugtrio,0,1,level-up,26.0,,,,
504,finizen,palafin,0,1,level-up,38.0,,,,
505,varoom,revavroom,0,1,level-up,40.0,,,,
508,glimmet,glimmora,0,1,level-up,35.0,,,,
509,greavard,houndstone,0,1,level-up,30.0,,,,night
511,cetoddle,cetitan,0,1,use-item,,ice-stone,,,
527,frigibax,arctibax,0,1,level-up,35.0,,,,
527,arctibax,baxcalibur,1,2,level-up,54.0,,,,
528,gimmighoul,gholdengo,0,1,gimmmighoul-coins,,,,,
539,poltchageist,sinistcha,0,1,unknown,,,,,
