canonical_slug,display_name,dexnum_int,official_artwork_url,artwork_variant_url,sprite_url,image_url,official_pokedex_url,official_reference_scope,validated_at,official_artwork_http_status,validation_status,mismatch_fields,validation_notes
butterfree,Butterfree,12,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,https://www.pokemon.com/us/pokedex/butterfree,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
butterfree-gmax,Butterfree Gmax,12,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10198.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10198.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10198.png,https://www.pokemon.com/us/pokedex/butterfree,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
weedle,Weedle,13,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,https://www.pokemon.com/us/pokedex/weedle,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
kakuna,Kakuna,14,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,https://www.pokemon.com/us/pokedex/kakuna,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
beedrill,Beedrill,15,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,https://www.pokemon.com/us/pokedex/beedrill,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
beedrill-mega,Beedrill maleega,15,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10090.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10090.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10090.png,https://www.pokemon.com/us/pokedex/beedrill,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pidgey,Pidgey,16,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,https://www.pokemon.com/us/pokedex/pidgey,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pidgeotto,Pidgeotto,17,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,https://www.pokemon.com/us/pokedex/pidgeotto,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pidgeot,Pidgeot,18,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,https://www.pokemon.com/us/pokedex/pidgeot,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pidgeot-mega,Pidgeot maleega,18,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10073.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10073.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10073.png,https://www.pokemon.com/us/pokedex/pidgeot,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
rattata,Rattata,19,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,https://www.pokemon.com/us/pokedex/rattata,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
rattata-alola,Rattata Alola,19,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10091.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10091.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10091.png,https://www.pokemon.com/us/pokedex/rattata,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
raticate,Raticate,20,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,https://www.pokemon.com/us/pokedex/raticate,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
raticate-alola,Raticate Alola,20,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10092.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10092.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10092.png,https://www.pokemon.com/us/pokedex/raticate,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
raticate-totem-alola,Raticate Totem Alola,20,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10093.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10093.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10093.png,https://www.pokemon.com/us/pokedex/raticate,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
spearow,Spearow,21,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,https://www.pokemon.com/us/pokedex/spearow,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
fearow,Fearow,22,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,https://www.pokemon.com/us/pokedex/fearow,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
ekans,Ekans,23,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,https://www.pokemon.com/us/pokedex/ekans,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
arbok,Arbok,24,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,https://www.pokemon.com/us/pokedex/arbok,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu,Pikachu,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-alola-cap,Pikachu Alola Cap,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10099.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10099.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10099.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-belle,Pikachu Belle,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10081.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10081.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10081.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-cosplay,Pikachu Cosplay,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10085.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10085.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10085.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-gmax,Pikachu Gmax,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10199.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10199.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10199.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-hoenn-cap,Pikachu Hoenn Cap,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10095.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10095.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10095.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-kalos-cap,Pikachu Kalos Cap,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10098.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10098.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10098.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-libre,Pikachu Libre,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10084.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10084.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10084.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-original-cap,Pikachu Original Cap,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10094.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10094.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10094.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-partner-cap,Pikachu Partner Cap,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10148.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10148.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10148.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-phd,Pikachu Phd,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10083.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10083.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10083.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pikachu-pop-star,Pikachu Pop Star,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10082.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10082.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10082.png,https://www.pokemon.com/us/pokedex/pikachu,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
