species_slug,species_display_name,dexnum_int,generation,gender_rate,capture_rate,base_happiness,hatch_counter,is_baby,is_legendary,is_mythical,color,shape,habitat,generation_name,growth_rate,egg_group1,egg_group2,percent_male,percent_female,evolution_chain_id,genus_en
raichu,Raichu,26,1,4,75,70,10,0,0,0,Yellow,Upright,Forest,generation-i,Medium,Ground,Fairy,50.0,50.0,10,Mouse Pokémon
sandshrew,Sandshrew,27,1,4,255,70,20,0,0,0,Yellow,Upright,Rough Terrain,generation-i,Medium,Ground,Unknown,50.0,50.0,11,Mouse Pokémon
sandslash,Sandslash,28,1,4,90,70,20,0,0,0,Yellow,Upright,Rough Terrain,generation-i,Medium,Ground,Unknown,50.0,50.0,11,Mouse Pokémon
nidoran-f,Nidoran♀,29,1,8,235,70,20,0,0,0,Blue,Quadruped,Grassland,generation-i,Medium Slow,Monster,Ground,0.0,100.0,12,Poison Pin Pokémon
nidorina,Nidorina,30,1,8,120,70,20,0,0,0,Blue,Quadruped,Grassland,generation-i,Medium Slow,No Eggs,Unknown,0.0,100.0,12,Poison Pin Pokémon
nidoqueen,Nidoqueen,31,1,8,45,70,20,0,0,0,Blue,Upright,Grassland,generation-i,Medium Slow,No Eggs,Unknown,0.0,100.0,12,Drill Pokémon
nidoran-m,Nidoran♂,32,1,0,235,70,20,0,0,0,Purple,Quadruped,Grassland,generation-i,Medium Slow,Monster,Ground,100.0,0.0,13,Poison Pin Pokémon
nidorino,Nidorino,33,1,0,120,70,20,0,0,0,Purple,Quadruped,Grassland,generation-i,Medium Slow,Monster,Ground,100.0,0.0,13,Poison Pin Pokémon
nidoking,Nidoking,34,1,0,45,70,20,0,0,0,Purple,Upright,Grassland,generation-i,Medium Slow,Monster,Ground,100.0,0.0,13,Drill Pokémon
clefairy,Clefairy,35,1,6,150,140,10,0,0,0,Pink,Upright,Mountain,generation-i,Fast,Fairy,Unknown,25.0,75.0,14,Fairy Pokémon
clefable,Clefable,36,1,6,25,140,10,0,0,0,Pink,Upright,Mountain,generation-i,Fast,Fairy,Unknown,25.0,75.0,14,Fairy Pokémon
vulpix,Vulpix,37,1,6,190,70,20,0,0,0,Brown,Quadruped,Grassland,generation-i,Medium,Ground,Unknown,25.0,75.0,15,Fox Pokémon
ninetales,Ninetales,38,1,6,75,70,20,0,0,0,Yellow,Quadruped,Grassland,generation-i,Medium,Ground,Unknown,25.0,75.0,15,Fox Pokémon
jigglypuff,Jigglypuff,39,1,6,170,70,10,0,0,0,Pink,Humanoid,Grassland,generation-i,Fast,Fairy,Unknown,25.0,75.0,16,Balloon Pokémon
wigglytuff,Wigglytuff,40,1,6,50,70,10,0,0,0,Pink,Humanoid,Grassland,generation-i,Fast,Fairy,Unknown,25.0,75.0,16,Balloon Pokémon
zubat,Zubat,41,1,4,255,70,15,0,0,0,Purple,Wings,Cave,generation-i,Medium,Flying,Unknown,50.0,50.0,17,Bat Pokémon
golbat,Golbat,42,1,4,90,70,15,0,0,0,Purple,Wings,Cave,generation-i,Medium,Flying,Unknown,50.0,50.0,17,Bat Pokémon
oddish,Oddish,43,1,4,255,70,20,0,0,0,Blue,Legs,Grassland,generation-i,Medium Slow,Plant,Unknown,50.0,50.0,18,Weed Pokémon
gloom,Gloom,44,1,4,120,70,20,0,0,0,Blue,Humanoid,Grassland,generation-i,Medium Slow,Plant,Unknown,50.0,50.0,18,Weed Pokémon
vileplume,Vileplume,45,1,4,45,70,20,0,0,0,Red,Humanoid,Grassland,generation-i,Medium Slow,Plant,Unknown,50.0,50.0,18,Flower Pokémon
paras,Paras,46,1,4,190,70,20,0,0,0,Red,Armor,Forest,generation-i,Medium,Bug,Plant,50.0,50.0,19,Mushroom Pokémon
parasect,Parasect,47,1,4,75,70,20,0,0,0,Red,Armor,Forest,generation-i,Medium,Bug,Plant,50.0,50.0,19,Mushroom Pokémon
venonat,Venonat,48,1,4,190,70,20,0,0,0,Purple,Humanoid,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,20,Insect Pokémon
venomoth,Venomoth,49,1,4,75,70,20,0,0,0,Purple,Bug Wings,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,20,Poison Moth Pokémon
diglett,Diglett,50,1,4,255,70,20,0,0,0,Brown,Blob,Cave,generation-i,Medium,Ground,Unknown,50.0,50.0,21,Mole Pokémon
dugtrio,Dugtrio,51,1,4,50,70,20,0,0,0,Brown,Heads,Cave,generation-i,Medium,Ground,Unknown,50.0,50.0,21,Mole Pokémon
meowth,Meowth,52,1,4,255,70,20,0,0,0,Yellow,Quadruped,Urban,generation-i,Medium,Ground,Unknown,50.0,50.0,22,Scratch Cat Pokémon
persian,Persian,53,1,4,90,70,20,0,0,0,Yellow,Quadruped,Urban,generation-i,Medium,Ground,Unknown,50.0,50.0,22,Classy Cat Pokémon
psyduck,Psyduck,54,1,4,190,70,20,0,0,0,Yellow,Upright,Waters Edge,generation-i,Medium,Water1,Ground,50.0,50.0,23,Duck Pokémon
golduck,Golduck,55,1,4,75,70,20,0,0,0,Blue,Upright,Waters Edge,generation-i,Medium,Water1,Ground,50.0,50.0,23,Duck Pokémon
mankey,Mankey,56,1,4,190,70,20,0,0,0,Brown,Upright,Mountain,generation-i,Medium,Ground,Unknown,50.0,50.0,24,Pig Monkey Pokémon
primeape,Primeape,57,1,4,75,70,20,0,0,0,Brown,Upright,Mountain,generation-i,Medium,Ground,Unknown,50.0,50.0,24,Pig Monkey Pokémon
growlithe,Growlithe,58,1,2,190,70,20,0,0,0,Brown,Quadruped,Grassland,generation-i,Slow,Ground,Unknown,75.0,25.0,25,Puppy Pokémon
arcanine,Arcanine,59,1,2,75,70,20,0,0,0,Brown,Quadruped,Grassland,generation-i,Slow,Ground,Unknown,75.0,25.0,25,Legendary Pokémon
poliwag,Poliwag,60,1,4,255,70,20,0,0,0,Blue,Legs,Waters Edge,generation-i,Medium Slow,Water1,Unknown,50.0,50.0,26,Tadpole Pokémon
poliwhirl,Poliwhirl,61,1,4,120,70,20,0,0,0,Blue,Humanoid,Waters Edge,generation-i,Medium Slow,Water1,Unknown,50.0,50.0,26,Tadpole Pokémon
poliwrath,Poliwrath,62,1,4,45,70,20,0,0,0,Blue,Humanoid,Waters Edge,generation-i,Medium Slow,Water1,Unknown,50.0,50.0,26,Tadpole Pokémon
abra,Abra,63,1,2,200,70,20,0,0,0,Brown,Upright,Urban,generation-i,Medium Slow,Humanshape,Unknown,75.0,25.0,27,Psi Pokémon
kadabra,Kadabra,64,1,2,100,70,20,0,0,0,Brown,Upright,Urban,generation-i,Medium Slow,Humanshape,Unknown,75.0,25.0,27,Psi Pokémon
alakazam,Alakazam,65,1,2,50,70,20,0,0,0,Brown,Humanoid,Urban,generation-i,Medium Slow,Humanshape,Unknown,75.0,25.0,27,Psi Pokémon
machop,Machop,66,1,2,180,70,20,0,0,0,Gray,Upright,Mountain,generation-i,Medium Slow,Humanshape,Unknown,75.0,25.0,28,Superpower Pokémon
machoke,Machoke,67,1,2,90,70,20,0,0,0,Gray,Humanoid,Mountain,generation-i,Medium Slow,Humanshape,Unknown,75.0,25.0,28,Superpower Pokémon
machamp,Machamp,68,1,2,45,70,20,0,0,0,Gray,Humanoid,Mountain,generation-i,Medium Slow,Humanshape,Unknown,75.0,25.0,28,Superpower Pokémon
bellsprout,Bellsprout,69,1,4,255,70,20,0,0,0,Green,Humanoid,Forest,generation-i,Medium Slow,Plant,Unknown,50.0,50.0,29,Flower Pokémon
weepinbell,Weepinbell,70,1,4,120,70,20,0,0,0,Green,Blob,Forest,generation-i,Medium Slow,Plant,Unknown,50.0,50.0,29,Flycatcher Pokémon
victreebel,Victreebel,71,1,4,45,70,20,0,0,0,Green,Blob,Forest,generation-i,Medium Slow,Plant,Unknown,50.0,50.0,29,Flycatcher Pokémon
tentacool,Tentacool,72,1,4,190,70,20,0,0,0,Blue,Tentacles,Sea,generation-i,Slow,Water3,Unknown,50.0,50.0,30,Jellyfish Pokémon
tentacruel,Tentacruel,73,1,4,60,70,20,0,0,0,Blue,Tentacles,Sea,generation-i,Slow,Water3,Unknown,50.0,50.0,30,Jellyfish Pokémon
geodude,Geodude,74,1,4,255,70,15,0,0,0,Brown,Arms,Mountain,generation-i,Medium Slow,Mineral,Unknown,50.0,50.0,31,Rock Pokémon
graveler,Graveler,75,1,4,120,70,15,0,0,0,Brown,Humanoid,Mountain,generation-i,Medium Slow,Mineral,Unknown,50.0,50.0,31,Rock Pokémon
golem,Golem,76,1,4,45,70,15,0,0,0,Brown,Humanoid,Mountain,generation-i,Medium Slow,Mineral,Unknown,50.0,50.0,31,Megaton Pokémon
ponyta,Ponyta,77,1,4,190,70,20,0,0,0,Yellow,Quadruped,Grassland,generation-i,Medium,Ground,Unknown,50.0,50.0,32,Fire Horse Pokémon
rapidash,Rapidash,78,1,4,60,70,20,0,0,0,Yellow,Quadruped,Grassland,generation-i,Medium,Ground,Unknown,50.0,50.0,32,Fire Horse Pokémon
slowpoke,Slowpoke,79,1,4,190,70,20,0,0,0,Pink,Quadruped,Waters Edge,generation-i,Medium,Monster,Water1,50.0,50.0,33,Dopey Pokémon
slowbro,Slowbro,80,1,4,75,70,20,0,0,0,Pink,Upright,Waters Edge,generation-i,Medium,Monster,Water1,50.0,50.0,33,Hermit Crab Pokémon
magnemite,Magnemite,81,1,-1,190,70,20,0,0,0,Gray,Arms,Rough Terrain,generation-i,Medium,Mineral,Unknown,,,34,Magnet Pokémon
magneton,Magneton,82,1,-1,60,70,20,0,0,0,Gray,Heads,Rough Terrain,generation-i,Medium,Mineral,Unknown,,,34,Magnet Pokémon
farfetchd,Farfetch’d,83,1,4,45,70,20,0,0,0,Brown,Wings,Grassland,generation-i,Medium,Flying,Ground,50.0,50.0,35,Wild Duck Pokémon
doduo,Doduo,84,1,4,190,70,20,0,0,0,Brown,Legs,Grassland,generation-i,Medium,Flying,Unknown,50.0,50.0,36,Twin Bird Pokémon
dodrio,Dodrio,85,1,4,45,70,20,0,0,0,Brown,Legs,Grassland,generation-i,Medium,Flying,Unknown,50.0,50.0,36,Triple Bird Pokémon
seel,Seel,86,1,4,190,70,20,0,0,0,White,Fish,Sea,generation-i,Medium,Water1,Ground,50.0,50.0,37,Sea Lion Pokémon
dewgong,Dewgong,87,1,4,75,70,20,0,0,0,White,Fish,Sea,generation-i,Medium,Water1,Ground,50.0,50.0,37,Sea Lion Pokémon
grimer,Grimer,88,1,4,190,70,20,0,0,0,Purple,Arms,Urban,generation-i,Medium,Indeterminate,Unknown,50.0,50.0,38,Sludge Pokémon
muk,Muk,89,1,4,75,70,20,0,0,0,Purple,Arms,Urban,generation-i,Medium,Indeterminate,Unknown,50.0,50.0,38,Sludge Pokémon
shellder,Shellder,90,1,4,190,70,20,0,0,0,Purple,Ball,Sea,generation-i,Slow,Water3,Unknown,50.0,50.0,39,Bivalve Pokémon
cloyster,Cloyster,91,1,4,60,70,20,0,0,0,Purple,Ball,Sea,generation-i,Slow,Water3,Unknown,50.0,50.0,39,Bivalve Pokémon
gastly,Gastly,92,1,4,190,70,20,0,0,0,Purple,Ball,Cave,generation-i,Medium Slow,Indeterminate,Unknown,50.0,50.0,40,Gas Pokémon
haunter,Haunter,93,1,4,90,70,20,0,0,0,Purple,Arms,Cave,generation-i,Medium Slow,Indeterminate,Unknown,50.0,50.0,40,Gas Pokémon
gengar,Gengar,94,1,4,45,70,20,0,0,0,Purple,Upright,Cave,generation-i,Medium Slow,Indeterminate,Unknown,50.0,50.0,40,Shadow Pokémon
onix,Onix,95,1,4,45,70,25,0,0,0,Gray,Squiggle,Cave,generation-i,Medium,Mineral,Unknown,50.0,50.0,41,Rock Snake Pokémon
drowzee,Drowzee,96,1,4,190,70,20,0,0,0,Yellow,Humanoid,Grassland,generation-i,Medium,Humanshape,Unknown,50.0,50.0,42,Hypnosis Pokémon
hypno,Hypno,97,1,4,75,70,20,0,0,0,Yellow,Humanoid,Grassland,generation-i,Medium,Humanshape,Unknown,50.0,50.0,42,Hypnosis Pokémon
krabby,Krabby,98,1,4,225,70,20,0,0,0,Red,Armor,Waters Edge,generation-i,Medium,Water3,Unknown,50.0,50.0,43,River Crab Pokémon
kingler,Kingler,99,1,4,60,70,20,0,0,0,Red,Armor,Waters Edge,generation-i,Medium,Water3,Unknown,50.0,50.0,43,Pincer Pokémon
voltorb,Voltorb,100,1,-1,190,70,20,0,0,0,Red,Ball,Urban,generation-i,Medium,Mineral,Unknown,,,44,Ball Pokémon
electrode,Electrode,101,1,-1,60,70,20,0,0,0,Red,Ball,Urban,generation-i,Medium,Mineral,Unknown,,,44,Ball Pokémon
exeggcute,Exeggcute,102,1,4,90,70,20,0,0,0,Pink,Heads,Forest,generation-i,Slow,Plant,Unknown,50.0,50.0,45,Egg Pokémon
exeggutor,Exeggutor,103,1,4,45,70,20,0,0,0,Yellow,Legs,Forest,generation-i,Slow,Plant,Unknown,50.0,50.0,45,Coconut Pokémon
cubone,Cubone,104,1,4,190,70,20,0,0,0,Brown,Upright,Mountain,generation-i,Medium,Monster,Unknown,50.0,50.0,46,Lonely Pokémon
marowak,Marowak,105,1,4,75,70,20,0,0,0,Brown,Upright,Mountain,generation-i,Medium,Monster,Unknown,50.0,50.0,46,Bone Keeper Pokémon
hitmonlee,Hitmonlee,106,1,0,45,70,25,0,0,0,Brown,Humanoid,Urban,generation-i,Medium,Humanshape,Unknown,100.0,0.0,47,Kicking Pokémon
hitmonchan,Hitmonchan,107,1,0,45,70,25,0,0,0,Brown,Humanoid,Urban,generation-i,Medium,Humanshape,Unknown,100.0,0.0,47,Punching Pokémon
lickitung,Lickitung,108,1,4,45,70,20,0,0,0,Pink,Upright,Grassland,generation-i,Medium,Monster,Unknown,50.0,50.0,48,Licking Pokémon
koffing,Koffing,109,1,4,190,70,20,0,0,0,Purple,Ball,Urban,generation-i,Medium,Indeterminate,Unknown,50.0,50.0,49,Poison Gas Pokémon
weezing,Weezing,110,1,4,60,70,20,0,0,0,Purple,Heads,Urban,generation-i,Medium,Indeterminate,Unknown,50.0,50.0,49,Poison Gas Pokémon
rhyhorn,Rhyhorn,111,1,4,120,70,20,0,0,0,Gray,Quadruped,Rough Terrain,generation-i,Slow,Monster,Ground,50.0,50.0,50,Spikes Pokémon
rhydon,Rhydon,112,1,4,60,70,20,0,0,0,Gray,Upright,Rough Terrain,generation-i,Slow,Monster,Ground,50.0,50.0,50,Drill Pokémon
chansey,Chansey,113,1,8,30,140,40,0,0,0,Pink,Upright,Urban,generation-i,Fast,Fairy,Unknown,0.0,100.0,51,Egg Pokémon
tangela,Tangela,114,1,4,45,70,20,0,0,0,Blue,Legs,Grassland,generation-i,Medium,Plant,Unknown,50.0,50.0,52,Vine Pokémon
kangaskhan,Kangaskhan,115,1,8,45,70,20,0,0,0,Brown,Upright,Grassland,generation-i,Medium,Monster,Unknown,0.0,100.0,53,Parent Pokémon
horsea,Horsea,116,1,4,225,70,20,0,0,0,Blue,Blob,Sea,generation-i,Medium,Water1,Dragon,50.0,50.0,54,Dragon Pokémon
seadra,Seadra,117,1,4,75,70,20,0,0,0,Blue,Blob,Sea,generation-i,Medium,Water1,Dragon,50.0,50.0,54,Dragon Pokémon
goldeen,Goldeen,118,1,4,225,70,20,0,0,0,Red,Fish,Waters Edge,generation-i,Medium,Water2,Unknown,50.0,50.0,55,Goldfish Pokémon
seaking,Seaking,119,1,4,60,70,20,0,0,0,Red,Fish,Waters Edge,generation-i,Medium,Water2,Unknown,50.0,50.0,55,Goldfish Pokémon
staryu,Staryu,120,1,-1,225,70,20,0,0,0,Brown,Blob,Sea,generation-i,Slow,Water3,Unknown,,,56,Star Shape Pokémon
starmie,Starmie,121,1,-1,60,70,20,0,0,0,Purple,Blob,Sea,generation-i,Slow,Water3,Unknown,,,56,Mysterious Pokémon
mr-mime,Mr. Mime,122,1,4,45,70,25,0,0,0,Pink,Humanoid,Urban,generation-i,Medium,Humanshape,Unknown,50.0,50.0,57,Barrier Pokémon
scyther,Scyther,123,1,4,45,70,25,0,0,0,Green,Bug Wings,Grassland,generation-i,Medium,Bug,Unknown,50.0,50.0,58,Mantis Pokémon
jynx,Jynx,124,1,8,45,70,25,0,0,0,Red,Humanoid,Urban,generation-i,Medium,Humanshape,Unknown,0.0,100.0,59,Human Shape Pokémon
electabuzz,Electabuzz,125,1,2,45,70,25,0,0,0,Yellow,Upright,Grassland,generation-i,Medium,Humanshape,Unknown,75.0,25.0,60,Electric Pokémon
magmar,Magmar,126,1,2,45,70,25,0,0,0,Red,Upright,Mountain,generation-i,Medium,Humanshape,Unknown,75.0,25.0,61,Spitfire Pokémon
pinsir,Pinsir,127,1,4,45,70,25,0,0,0,Brown,Humanoid,Forest,generation-i,Slow,Bug,Unknown,50.0,50.0,62,Stag Beetle Pokémon
tauros,Tauros,128,1,0,45,70,20,0,0,0,Brown,Quadruped,Grassland,generation-i,Slow,Ground,Unknown,100.0,0.0,63,Wild Bull Pokémon
magikarp,Magikarp,129,1,4,255,70,5,0,0,0,Red,Fish,Waters Edge,generation-i,Slow,Water2,Dragon,50.0,50.0,64,Fish Pokémon
gyarados,Gyarados,130,1,4,45,70,5,0,0,0,Blue,Squiggle,Waters Edge,generation-i,Slow,Water2,Dragon,50.0,50.0,64,Atrocious Pokémon
lapras,Lapras,131,1,4,45,70,40,0,0,0,Blue,Fish,Sea,generation-i,Slow,Monster,Water1,50.0,50.0,65,Transport Pokémon
ditto,Ditto,132,1,-1,35,70,20,0,0,0,Purple,Ball,Urban,generation-i,Medium,Ditto,Unknown,,,66,Transform Pokémon
eevee,Eevee,133,1,1,45,70,35,0,0,0,Brown,Quadruped,Urban,generation-i,Medium,Ground,Unknown,87.5,12.5,67,Evolution Pokémon
vaporeon,Vaporeon,134,1,1,45,70,35,0,0,0,Blue,Quadruped,Urban,generation-i,Medium,Ground,Unknown,87.5,12.5,67,Bubble Jet Pokémon
jolteon,Jolteon,135,1,1,45,70,35,0,0,0,Yellow,Quadruped,Urban,generation-i,Medium,Ground,Unknown,87.5,12.5,67,Lightning Pokémon
flareon,Flareon,136,1,1,45,70,35,0,0,0,Red,Quadruped,Urban,generation-i,Medium,Ground,Unknown,87.5,12.5,67,Flame Pokémon
porygon,Porygon,137,1,-1,45,70,20,0,0,0,Pink,Legs,Urban,generation-i,Medium,Mineral,Unknown,,,68,Virtual Pokémon
omanyte,Omanyte,138,1,1,45,70,30,0,0,0,Blue,Tentacles,Sea,generation-i,Medium,Water1,Water3,87.5,12.5,69,Spiral Pokémon
omastar,Omastar,139,1,1,45,70,30,0,0,0,Blue,Tentacles,Sea,generation-i,Medium,Water1,Water3,87.5,12.5,69,Spiral Pokémon
kabuto,Kabuto,140,1,1,45,70,30,0,0,0,Brown,Armor,Sea,generation-i,Medium,Water1,Water3,87.5,12.5,70,Shellfish Pokémon
kabutops,Kabutops,141,1,1,45,70,30,0,0,0,Brown,Upright,Sea,generation-i,Medium,Water1,Water3,87.5,12.5,70,Shellfish Pokémon
aerodactyl,Aerodactyl,142,1,1,45,70,35,0,0,0,Purple,Wings,Mountain,generation-i,Slow,Flying,Unknown,87.5,12.5,71,Fossil Pokémon
snorlax,Snorlax,143,1,1,25,70,40,0,0,0,Black,Humanoid,Mountain,generation-i,Slow,Monster,Unknown,87.5,12.5,72,Sleeping Pokémon
articuno,Articuno,144,1,-1,3,35,80,0,1,0,Blue,Wings,Rare,generation-i,Slow,No Eggs,Unknown,,,73,Freeze Pokémon
zapdos,Zapdos,145,1,-1,3,35,80,0,1,0,Yellow,Wings,Rare,generation-i,Slow,No Eggs,Unknown,,,74,Electric Pokémon
moltres,Moltres,146,1,-1,3,35,80,0,1,0,Yellow,Wings,Rare,generation-i,Slow,No Eggs,Unknown,,,75,Flame Pokémon
dratini,Dratini,147,1,4,45,35,40,0,0,0,Blue,Squiggle,Waters Edge,generation-i,Slow,Water1,Dragon,50.0,50.0,76,Dragon Pokémon
dragonair,Dragonair,148,1,4,45,35,40,0,0,0,Blue,Squiggle,Waters Edge,generation-i,Slow,Water1,Dragon,50.0,50.0,76,Dragon Pokémon
dragonite,Dragonite,149,1,4,45,35,40,0,0,0,Brown,Upright,Waters Edge,generation-i,Slow,Water1,Dragon,50.0,50.0,76,Dragon Pokémon
mewtwo,Mewtwo,150,1,-1,3,0,120,0,1,0,Purple,Upright,Rare,generation-i,Slow,No Eggs,Unknown,,,77,Genetic Pokémon
mew,Mew,151,1,-1,45,100,120,0,0,1,Pink,Upright,Rare,generation-i,Medium Slow,No Eggs,Unknown,,,78,New Species Pokémon
chikorita,Chikorita,152,2,1,45,70,20,0,0,0,Green,Quadruped,Grassland,generation-ii,Medium Slow,Monster,Plant,87.5,12.5,79,Leaf Pokémon
bayleef,Bayleef,153,2,1,45,70,20,0,0,0,Green,Quadruped,Grassland,generation-ii,Medium Slow,Monster,Plant,87.5,12.5,79,Leaf Pokémon
meganium,Meganium,154,2,1,45,70,20,0,0,0,Green,Quadruped,Grassland,generation-ii,Medium Slow,Monster,Plant,87.5,12.5,79,Herb Pokémon
cyndaquil,Cyndaquil,155,2,1,45,70,20,0,0,0,Yellow,Humanoid,Grassland,generation-ii,Medium Slow,Ground,Unknown,87.5,12.5,80,Fire Mouse Pokémon
quilava,Quilava,156,2,1,45,70,20,0,0,0,Yellow,Quadruped,Grassland,generation-ii,Medium Slow,Ground,Unknown,87.5,12.5,80,Volcano Pokémon
typhlosion,Typhlosion,157,2,1,45,70,20,0,0,0,Yellow,Quadruped,Grassland,generation-ii,Medium Slow,Ground,Unknown,87.5,12.5,80,Volcano Pokémon
totodile,Totodile,158,2,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-ii,Medium Slow,Monster,Water1,87.5,12.5,81,Big Jaw Pokémon
croconaw,Croconaw,159,2,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-ii,Medium Slow,Monster,Water1,87.5,12.5,81,Big Jaw Pokémon
feraligatr,Feraligatr,160,2,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-ii,Medium Slow,Monster,Water1,87.5,12.5,81,Big Jaw Pokémon
sentret,Sentret,161,2,4,255,70,15,0,0,0,Brown,Quadruped,Grassland,generation-ii,Medium,Ground,Unknown,50.0,50.0,82,Scout Pokémon
furret,Furret,162,2,4,90,70,15,0,0,0,Brown,Quadruped,Grassland,generation-ii,Medium,Ground,Unknown,50.0,50.0,82,Long Body Pokémon
hoothoot,Hoothoot,163,2,4,255,70,15,0,0,0,Brown,Wings,Forest,generation-ii,Medium,Flying,Unknown,50.0,50.0,83,Owl Pokémon
noctowl,Noctowl,164,2,4,90,70,15,0,0,0,Brown,Wings,Forest,generation-ii,Medium,Flying,Unknown,50.0,50.0,83,Owl Pokémon
ledyba,Ledyba,165,2,4,255,70,15,0,0,0,Red,Wings,Forest,generation-ii,Fast,Bug,Unknown,50.0,50.0,84,Five Star Pokémon
ledian,Ledian,166,2,4,90,70,15,0,0,0,Red,Wings,Forest,generation-ii,Fast,Bug,Unknown,50.0,50.0,84,Five Star Pokémon
spinarak,Spinarak,167,2,4,255,70,15,0,0,0,Green,Armor,Forest,generation-ii,Fast,Bug,Unknown,50.0,50.0,85,String Spit Pokémon
ariados,Ariados,168,2,4,90,70,15,0,0,0,Red,Armor,Forest,generation-ii,Fast,Bug,Unknown,50.0,50.0,85,Long Leg Pokémon
