move_name,move_display_name,move_type,damage_class,power,accuracy,pp
branch-poke,Branch Poke,Grass,physical,40.0,100.0,40
brave-bird,Brave Bird,Flying,physical,120.0,100.0,15
breaking-swipe,Breaking Swipe,Dragon,physical,60.0,100.0,15
brick-break,Brick Break,Fighting,physical,75.0,100.0,15
brine,Brine,Water,special,65.0,100.0,10
brutal-swing,Brutal Swing,Dark,physical,60.0,100.0,20
bubble,Bubble,Water,special,40.0,100.0,30
bubble-beam,Bubble Beam,Water,special,65.0,100.0,20
bug-bite,Bug Bite,Bug,physical,60.0,100.0,20
bug-buzz,Bug Buzz,Bug,special,90.0,100.0,10
bulk-up,Bulk Up,Fighting,status,,,20
bulldoze,Bulldoze,Ground,physical,60.0,100.0,20
bullet-punch,Bullet Punch,Steel,physical,40.0,100.0,30
bullet-seed,Bullet Seed,Grass,physical,25.0,100.0,30
burn-up,Burn Up,Fire,special,130.0,100.0,5
burning-bulwark,Burning Bulwark,Fire,status,0.0,0.0,10
burning-jealousy,Burning Jealousy,Fire,special,70.0,100.0,5
buzzy-buzz,Buzzy Buzz,Electric,special,60.0,100.0,20
calm-mind,Calm Mind,Psychic,status,,,20
camouflage,Camouflage,Normal,status,,,20
captivate,Captivate,Normal,status,,100.0,20
ceaseless-edge,Ceaseless Edge,Dark,physical,65.0,90.0,15
charge,Charge,Electric,status,,,20
charge-beam,Charge Beam,Electric,special,50.0,90.0,10
charm,Charm,Fairy,status,,100.0,20
chatter,Chatter,Flying,special,65.0,100.0,20
chilling-water,Chilling Water,Water,special,50.0,100.0,20
chilly-reception,Chilly Reception,Ice,status,0.0,,10
chip-away,Chip Away,Normal,physical,70.0,100.0,20
chloroblast,Chloroblast,Grass,special,150.0,95.0,5
circle-throw,Circle Throw,Fighting,physical,60.0,90.0,10
clamp,Clamp,Water,physical,35.0,85.0,15
clanging-scales,Clanging Scales,Dragon,special,110.0,100.0,5
clangorous-soul,Clangorous Soul,Dragon,status,,100.0,5
clear-smog,Clear Smog,Poison,special,50.0,,15
close-combat,Close Combat,Fighting,physical,120.0,100.0,5
coaching,Coaching,Fighting,status,,,10
coil,Coil,Poison,status,,,20
collision-course,Collision Course,Fighting,physical,100.0,100.0,5
comet-punch,Comet Punch,Normal,physical,18.0,85.0,15
comeuppance,Comeuppance,Dark,physical,1.0,100.0,10
confide,Confide,Normal,status,,,20
confuse-ray,Confuse Ray,Ghost,status,,100.0,10
confusion,Confusion,Psychic,special,50.0,100.0,25
constrict,Constrict,Normal,physical,10.0,100.0,35
conversion,Conversion,Normal,status,,,30
conversion-2,Conversion 2,Normal,status,,,30
copycat,Copycat,Normal,status,,,20
core-enforcer,Core Enforcer,Dragon,special,100.0,100.0,10
corrosive-gas,Corrosive Gas,Poison,status,,100.0,40
cosmic-power,Cosmic Power,Psychic,status,,,20
cotton-guard,Cotton Guard,Grass,status,,,10
cotton-spore,Cotton Spore,Grass,status,,100.0,40
counter,Counter,Fighting,physical,,100.0,20
court-change,Court Change,Normal,status,,100.0,10
covet,Covet,Normal,physical,60.0,100.0,25
crabhammer,Crabhammer,Water,physical,100.0,90.0,10
crafty-shield,Crafty Shield,Fairy,status,,,10
cross-chop,Cross Chop,Fighting,physical,100.0,80.0,5
cross-poison,Cross Poison,Poison,physical,70.0,100.0,20
crunch,Crunch,Dark,physical,80.0,100.0,15
crush-claw,Crush Claw,Normal,physical,75.0,95.0,10
crush-grip,Crush Grip,Normal,physical,,100.0,5
curse,Curse,Ghost,status,,,10
cut,Cut,Normal,physical,50.0,95.0,30
dark-pulse,Dark Pulse,Dark,special,80.0,100.0,15
dark-void,Dark Void,Dark,status,,50.0,10
darkest-lariat,Darkest Lariat,Dark,physical,85.0,100.0,10
dazzling-gleam,Dazzling Gleam,Fairy,special,80.0,100.0,10
decorate,Decorate,Fairy,status,,,15
defend-order,Defend Order,Bug,status,,,10
defense-curl,Defense Curl,Normal,status,,,40
defog,Defog,Flying,status,,,15
destiny-bond,Destiny Bond,Ghost,status,,,5
detect,Detect,Fighting,status,,,5
diamond-storm,Diamond Storm,Rock,physical,100.0,95.0,5
dig,Dig,Ground,physical,80.0,100.0,10
dire-claw,Dire Claw,Poison,physical,80.0,100.0,15
disable,Disable,Normal,status,,100.0,20
disarming-voice,Disarming Voice,Fairy,special,40.0,,15
discharge,Discharge,Electric,special,80.0,100.0,15
dive,Dive,Water,physical,80.0,100.0,10
dizzy-punch,Dizzy Punch,Normal,physical,70.0,100.0,10
doodle,Doodle,Normal,status,0.0,100.0,10
doom-desire,Doom Desire,Steel,special,140.0,100.0,5
double-edge,Double-Edge,Normal,physical,120.0,100.0,15
double-hit,Double Hit,Normal,physical,35.0,90.0,10
double-iron-bash,Double Iron Bash,Steel,physical,60.0,100.0,5
double-kick,Double Kick,Fighting,physical,30.0,100.0,30
double-shock,Double Shock,Electric,physical,120.0,100.0,5
double-slap,Double Slap,Normal,physical,15.0,85.0,10
double-team,Double Team,Normal,status,,,15
draco-meteor,Draco Meteor,Dragon,special,130.0,90.0,5
dragon-ascent,Dragon Ascent,Flying,physical,120.0,100.0,5
dragon-breath,Dragon Breath,Dragon,special,60.0,100.0,20
dragon-cheer,Dragon Cheer,Dragon,status,0.0,0.0,15
dragon-claw,Dragon Claw,Dragon,physical,80.0,100.0,15
dragon-dance,Dragon Dance,Dragon,status,,,20
dragon-darts,Dragon Darts,Dragon,physical,50.0,100.0,10
dragon-energy,Dragon Energy,Dragon,special,150.0,100.0,5
dragon-hammer,Dragon Hammer,Dragon,physical,90.0,100.0,15
dragon-pulse,Dragon Pulse,Dragon,special,85.0,100.0,10
dragon-rage,Dragon Rage,Dragon,special,,100.0,10
dragon-rush,Dragon Rush,Dragon,physical,100.0,75.0,10
dragon-tail,Dragon Tail,Dragon,physical,60.0,90.0,10
drain-punch,Drain Punch,Fighting,physical,75.0,100.0,10
draining-kiss,Draining Kiss,Fairy,special,50.0,100.0,10
dream-eater,Dream Eater,Psychic,special,100.0,100.0,15
drill-peck,Drill Peck,Flying,physical,80.0,100.0,20
drill-run,Drill Run,Ground,physical,80.0,95.0,10
drum-beating,Drum Beating,Grass,physical,80.0,100.0,10
dual-chop,Dual Chop,Dragon,physical,40.0,90.0,15
dual-wingbeat,Dual Wingbeat,Flying,physical,40.0,90.0,10
dynamax-cannon,Dynamax Cannon,Dragon,special,100.0,100.0,5
dynamic-punch,Dynamic Punch,Fighting,physical,100.0,50.0,5
earth-power,Earth Power,Ground,special,90.0,100.0,10
earthquake,Earthquake,Ground,physical,100.0,100.0,10
echoed-voice,Echoed Voice,Normal,special,40.0,100.0,15
eerie-impulse,Eerie Impulse,Electric,status,,100.0,15
eerie-spell,Eerie Spell,Psychic,special,80.0,100.0,5
egg-bomb,Egg Bomb,Normal,physical,100.0,75.0,10
electric-terrain,Electric Terrain,Electric,status,,,10
electrify,Electrify,Electric,status,,,20
electro-ball,Electro Ball,Electric,special,,100.0,10
electro-drift,Electro Drift,Electric,special,100.0,100.0,5
electro-shot,Electro Shot,Electric,special,130.0,100.0,10
electroweb,Electroweb,Electric,special,55.0,95.0,15
embargo,Embargo,Dark,status,,100.0,15
ember,Ember,Fire,special,40.0,100.0,25
encore,Encore,Normal,status,,100.0,5
endeavor,Endeavor,Normal,physical,,100.0,5
endure,Endure,Normal,status,,,10
energy-ball,Energy Ball,Grass,special,90.0,100.0,10
entrainment,Entrainment,Normal,status,,100.0,15
eruption,Eruption,Fire,special,150.0,100.0,5
esper-wing,Esper Wing,Psychic,special,80.0,100.0,10
eternabeam,Eternabeam,Dragon,special,160.0,90.0,5
expanding-force,Expanding Force,Psychic,special,80.0,100.0,10
explosion,Explosion,Normal,physical,250.0,100.0,5
extrasensory,Extrasensory,Psychic,special,80.0,100.0,20
extreme-speed,Extreme Speed,Normal,physical,80.0,100.0,5
facade,Facade,Normal,physical,70.0,100.0,20
fairy-lock,Fairy Lock,Fairy,status,,,10
fairy-wind,Fairy Wind,Fairy,special,40.0,100.0,30
fake-out,Fake Out,Normal,physical,40.0,100.0,10
fake-tears,Fake Tears,Dark,status,,100.0,20
false-surrender,False Surrender,Dark,physical,80.0,,10
false-swipe,False Swipe,Normal,physical,40.0,100.0,40
feather-dance,Feather Dance,Flying,status,,100.0,15
feint,Feint,Normal,physical,30.0,100.0,10
feint-attack,Feint Attack,Dark,physical,60.0,,20
fell-stinger,Fell Stinger,Bug,physical,50.0,100.0,25
fickle-beam,Fickle Beam,Dragon,special,80.0,100.0,5
fiery-dance,Fiery Dance,Fire,special,80.0,100.0,10
fiery-wrath,Fiery Wrath,Dark,special,90.0,100.0,10
fillet-away,Fillet Away,Normal,status,0.0,,10
final-gambit,Final Gambit,Fighting,special,,100.0,5
fire-blast,Fire Blast,Fire,special,110.0,85.0,5
fire-fang,Fire Fang,Fire,physical,65.0,95.0,15
fire-lash,Fire Lash,Fire,physical,80.0,100.0,15
fire-pledge,Fire Pledge,Fire,special,80.0,100.0,10
fire-punch,Fire Punch,Fire,physical,75.0,100.0,15
fire-spin,Fire Spin,Fire,special,35.0,85.0,15
first-impression,First Impression,Bug,physical,90.0,100.0,10
fishious-rend,Fishious Rend,Water,physical,85.0,100.0,10
fissure,Fissure,Ground,physical,,30.0,5
flail,Flail,Normal,physical,,100.0,15
flame-burst,Flame Burst,Fire,special,70.0,100.0,15
flame-charge,Flame Charge,Fire,physical,50.0,100.0,20
flame-wheel,Flame Wheel,Fire,physical,60.0,100.0,25
flamethrower,Flamethrower,Fire,special,90.0,100.0,15
flare-blitz,Flare Blitz,Fire,physical,120.0,100.0,15
flash,Flash,Normal,status,,100.0,20
flash-cannon,Flash Cannon,Steel,special,80.0,100.0,10
flatter,Flatter,Dark,status,,100.0,15
fleur-cannon,Fleur Cannon,Fairy,special,130.0,90.0,5
fling,Fling,Dark,physical,,100.0,10
flip-turn,Flip Turn,Water,physical,60.0,100.0,20
floaty-fall,Floaty Fall,Flying,physical,90.0,95.0,15
floral-healing,Floral Healing,Fairy,status,,,10
flower-shield,Flower Shield,Fairy,status,,,10
flower-trick,Flower Trick,Grass,physical,70.0,,10
fly,Fly,Flying,physical,90.0,95.0,15
flying-press,Flying Press,Fighting,physical,100.0,95.0,10
focus-blast,Focus Blast,Fighting,special,120.0,70.0,5
focus-energy,Focus Energy,Normal,status,,,30
focus-punch,Focus Punch,Fighting,physical,150.0,100.0,20
follow-me,Follow Me,Normal,status,,,20
force-palm,Force Palm,Fighting,physical,60.0,100.0,10
foresight,Foresight,Normal,status,,,40
forests-curse,Forest’s Curse,Grass,status,,100.0,20
foul-play,Foul Play,Dark,physical,95.0,100.0,15
freeze-dry,Freeze-Dry,Ice,special,70.0,100.0,20
freeze-shock,Freeze Shock,Ice,physical,140.0,90.0,5
freezing-glare,Freezing Glare,Psychic,special,90.0,100.0,10
freezy-frost,Freezy Frost,Ice,special,100.0,90.0,10
frenzy-plant,Frenzy Plant,Grass,special,150.0,90.0,5
frost-breath,Frost Breath,Ice,special,60.0,90.0,10
frustration,Frustration,Normal,physical,,100.0,20
fury-attack,Fury Attack,Normal,physical,15.0,85.0,20
fury-cutter,Fury Cutter,Bug,physical,40.0,95.0,20
fury-swipes,Fury Swipes,Normal,physical,18.0,80.0,15
fusion-bolt,Fusion Bolt,Electric,physical,100.0,100.0,5
fusion-flare,Fusion Flare,Fire,special,100.0,100.0,5
future-sight,Future Sight,Psychic,special,120.0,100.0,10
gastro-acid,Gastro Acid,Poison,status,,100.0,10
gear-grind,Gear Grind,Steel,physical,50.0,85.0,15
gear-up,Gear Up,Steel,status,,,20
geomancy,Geomancy,Fairy,status,,,10
giga-drain,Giga Drain,Grass,special,75.0,100.0,10
giga-impact,Giga Impact,Normal,physical,150.0,90.0,5
gigaton-hammer,Gigaton Hammer,Steel,physical,160.0,100.0,5
glacial-lance,Glacial Lance,Ice,physical,120.0,100.0,5
glaciate,Glaciate,Ice,special,65.0,95.0,10
glaive-rush,Glaive Rush,Dragon,physical,120.0,100.0,5
glare,Glare,Normal,status,,100.0,30
glitzy-glow,Glitzy Glow,Psychic,special,80.0,95.0,15
grass-knot,Grass Knot,Grass,special,,100.0,20
grass-pledge,Grass Pledge,Grass,special,80.0,100.0,10
grass-whistle,Grass Whistle,Grass,status,,55.0,15
grassy-glide,Grassy Glide,Grass,physical,55.0,100.0,20
grassy-terrain,Grassy Terrain,Grass,status,,,10
grav-apple,Grav Apple,Grass,physical,80.0,100.0,10
gravity,Gravity,Psychic,status,,,5
growl,Growl,Normal,status,,100.0,40
growth,Growth,Normal,status,,,20
grudge,Grudge,Ghost,status,,,5
guard-split,Guard Split,Psychic,status,,,10
guard-swap,Guard Swap,Psychic,status,,,10
guillotine,Guillotine,Normal,physical,,30.0,5
gunk-shot,Gunk Shot,Poison,physical,120.0,80.0,5
gust,Gust,Flying,special,40.0,100.0,35
gyro-ball,Gyro Ball,Steel,physical,,100.0,5
hail,Hail,Ice,status,,,10
hammer-arm,Hammer Arm,Fighting,physical,100.0,90.0,10
hard-press,Hard Press,Steel,physical,0.0,100.0,10
harden,Harden,Normal,status,,,30
haze,Haze,Ice,status,,,30
head-charge,Head Charge,Normal,physical,120.0,100.0,15
head-smash,Head Smash,Rock,physical,150.0,80.0,5
headbutt,Headbutt,Normal,physical,70.0,100.0,15
headlong-rush,Headlong Rush,Ground,physical,120.0,100.0,5
heal-bell,Heal Bell,Normal,status,,,5
heal-block,Heal Block,Psychic,status,,100.0,15
heal-order,Heal Order,Bug,status,,,10
heal-pulse,Heal Pulse,Psychic,status,,,10
healing-wish,Healing Wish,Psychic,status,,,10
heart-stamp,Heart Stamp,Psychic,physical,60.0,100.0,25
heart-swap,Heart Swap,Psychic,status,,,10
heat-crash,Heat Crash,Fire,physical,,100.0,10
heat-wave,Heat Wave,Fire,special,95.0,90.0,10
heavy-slam,Heavy Slam,Steel,physical,,100.0,10
helping-hand,Helping Hand,Normal,status,,,20
hex,Hex,Ghost,special,65.0,100.0,10
hidden-power,Hidden Power,Normal,special,60.0,100.0,15
high-horsepower,High Horsepower,Ground,physical,95.0,95.0,10
high-jump-kick,High Jump Kick,Fighting,physical,130.0,90.0,10
hone-claws,Hone Claws,Dark,status,,,15
horn-attack,Horn Attack,Normal,physical,65.0,100.0,25
horn-drill,Horn Drill,Normal,physical,,30.0,5
horn-leech,Horn Leech,Grass,physical,75.0,100.0,10
howl,Howl,Normal,status,,,40
hurricane,Hurricane,Flying,special,110.0,70.0,10
hydro-cannon,Hydro Cannon,Water,special,150.0,90.0,5
hydro-pump,Hydro Pump,Water,special,110.0,80.0,5
hydro-steam,Hydro Steam,Water,special,80.0,100.0,15
hyper-beam,Hyper Beam,Normal,special,150.0,90.0,5
hyper-drill,Hyper Drill,Normal,physical,100.0,100.0,5
hyper-fang,Hyper Fang,Normal,physical,80.0,90.0,15
hyper-voice,Hyper Voice,Normal,special,90.0,100.0,10
hyperspace-fury,Hyperspace Fury,Dark,physical,100.0,,5
hyperspace-hole,Hyperspace Hole,Psychic,special,80.0,,5
hypnosis,Hypnosis,Psychic,status,,60.0,20
ice-ball,Ice Ball,Ice,physical,30.0,90.0,20
ice-beam,Ice Beam,Ice,special,90.0,100.0,10
ice-burn,Ice Burn,Ice,special,140.0,90.0,5
ice-fang,Ice Fang,Ice,physical,65.0,95.0,15
ice-hammer,Ice Hammer,Ice,physical,100.0,90.0,10
ice-punch,Ice Punch,Ice,physical,75.0,100.0,15
ice-shard,Ice Shard,Ice,physical,40.0,100.0,30
ice-spinner,Ice Spinner,Ice,physical,80.0,100.0,15
icicle-crash,Icicle Crash,Ice,physical,85.0,90.0,10
icicle-spear,Icicle Spear,Ice,physical,25.0,100.0,30
icy-wind,Icy Wind,Ice,special,55.0,95.0,15
imprison,Imprison,Psychic,status,,,10
incinerate,Incinerate,Fire,special,60.0,100.0,15
infernal-parade,Infernal Parade,Ghost,special,60.0,100.0,15
inferno,Inferno,Fire,special,100.0,50.0,5
infestation,Infestation,Bug,special,20.0,100.0,20
ingrain,Ingrain,Grass,status,,,20
instruct,Instruct,Psychic,status,,,15
ion-deluge,Ion Deluge,Electric,status,,,25
iron-defense,Iron Defense,Steel,status,,,15
iron-head,Iron Head,Steel,physical,80.0,100.0,15
iron-tail,Iron Tail,Steel,physical,100.0,75.0,15
ivy-cudgel,Ivy Cudgel,Grass,physical,100.0,100.0,10
jaw-lock,Jaw Lock,Dark,physical,80.0,100.0,10
jet-punch,Jet Punch,Water,physical,60.0,100.0,15
judgment,Judgment,Normal,special,100.0,100.0,10
jump-kick,Jump Kick,Fighting,physical,100.0,95.0,10
jungle-healing,Jungle Healing,Grass,status,,,10
karate-chop,Karate Chop,Fighting,physical,50.0,100.0,25
kinesis,Kinesis,Psychic,status,,80.0,15
kings-shield,King’s Shield,Steel,status,,,10
knock-off,Knock Off,Dark,physical,65.0,100.0,20
kowtow-cleave,Kowtow Cleave,Dark,physical,85.0,,10
lands-wrath,Land’s Wrath,Ground,physical,90.0,100.0,10
laser-focus,Laser Focus,Normal,status,,,30
lash-out,Lash Out,Dark,physical,75.0,100.0,5
last-resort,Last Resort,Normal,physical,140.0,100.0,5
last-respects,Last Respects,Ghost,physical,50.0,100.0,10
lava-plume,Lava Plume,Fire,special,80.0,100.0,15
leaf-blade,Leaf Blade,Grass,physical,90.0,100.0,15
leaf-storm,Leaf Storm,Grass,special,130.0,90.0,5
leaf-tornado,Leaf Tornado,Grass,special,65.0,90.0,10
leafage,Leafage,Grass,physical,40.0,100.0,40
leech-life,Leech Life,Bug,physical,80.0,100.0,10
leech-seed,Leech Seed,Grass,status,,90.0,10
leer,Leer,Normal,status,,100.0,30
lick,Lick,Ghost,physical,30.0,100.0,30
life-dew,Life Dew,Water,status,,,10
light-of-ruin,Light of Ruin,Fairy,special,140.0,90.0,5
light-screen,Light Screen,Psychic,status,,,30
liquidation,Liquidation,Water,physical,85.0,100.0,10
lock-on,Lock-On,Normal,status,,,5
lovely-kiss,Lovely Kiss,Normal,status,,75.0,10
low-kick,Low Kick,Fighting,physical,,100.0,20
low-sweep,Low Sweep,Fighting,physical,65.0,100.0,20
lucky-chant,Lucky Chant,Normal,status,,,30
lumina-crash,Lumina Crash,Psychic,special,80.0,100.0,10
lunar-blessing,Lunar Blessing,Psychic,status,0.0,,5
lunar-dance,Lunar Dance,Psychic,status,,,10
lunge,Lunge,Bug,physical,80.0,100.0,15
luster-purge,Luster Purge,Psychic,special,95.0,100.0,5
mach-punch,Mach Punch,Fighting,physical,40.0,100.0,30
magic-coat,Magic Coat,Psychic,status,,,15
magic-powder,Magic Powder,Psychic,status,,100.0,20
magic-room,Magic Room,Psychic,status,,,10
magical-leaf,Magical Leaf,Grass,special,60.0,,20
magma-storm,Magma Storm,Fire,special,100.0,75.0,5
magnet-bomb,Magnet Bomb,Steel,physical,60.0,,20
magnet-rise,Magnet Rise,Electric,status,,,10
magnetic-flux,Magnetic Flux,Electric,status,,,20
magnitude,Magnitude,Ground,physical,,100.0,30
make-it-rain,Make It Rain,Steel,special,120.0,100.0,5
malignant-chain,Malignant Chain,Poison,special,100.0,100.0,5
mat-block,Mat Block,Fighting,status,,,10
matcha-gotcha,Matcha Gotcha,Grass,special,80.0,90.0,15
me-first,Me First,Normal,status,,,20
mean-look,Mean Look,Normal,status,,,5
meditate,Meditate,Psychic,status,,,40
mega-drain,Mega Drain,Grass,special,40.0,100.0,15
mega-kick,Mega Kick,Normal,physical,120.0,75.0,5
mega-punch,Mega Punch,Normal,physical,80.0,85.0,20
megahorn,Megahorn,Bug,physical,120.0,85.0,10
memento,Memento,Dark,status,,100.0,10
metal-burst,Metal Burst,Steel,physical,,100.0,10
metal-claw,Metal Claw,Steel,physical,50.0,95.0,35
metal-sound,Metal Sound,Steel,status,,85.0,40
meteor-assault,Meteor Assault,Fighting,physical,150.0,100.0,5
meteor-beam,Meteor Beam,Rock,special,120.0,90.0,10
meteor-mash,Meteor Mash,Steel,physical,90.0,90.0,10
metronome,Metronome,Normal,status,,,10
mighty-cleave,Mighty Cleave,Rock,physical,95.0,100.0,5
milk-drink,Milk Drink,Normal,status,,,5
mimic,Mimic,Normal,status,,,10
mind-blown,Mind Blown,Fire,special,150.0,100.0,5
mind-reader,Mind Reader,Normal,status,,,5
minimize,Minimize,Normal,status,,,10
miracle-eye,Miracle Eye,Psychic,status,,,40
mirror-coat,Mirror Coat,Psychic,special,,100.0,20
mirror-move,Mirror Move,Flying,status,,,20
mirror-shot,Mirror Shot,Steel,special,65.0,85.0,10
mist,Mist,Ice,status,,,30
mist-ball,Mist Ball,Psychic,special,95.0,100.0,5
misty-explosion,Misty Explosion,Fairy,special,100.0,100.0,5
misty-terrain,Misty Terrain,Fairy,status,,,10
moonblast,Moonblast,Fairy,special,95.0,100.0,15
moongeist-beam,Moongeist Beam,Ghost,special,100.0,100.0,5
moonlight,Moonlight,Fairy,status,,,5
morning-sun,Morning Sun,Normal,status,,,5
mortal-spin,Mortal Spin,Poison,physical,30.0,100.0,15
mountain-gale,Mountain Gale,Ice,physical,100.0,85.0,10
mud-bomb,Mud Bomb,Ground,special,65.0,85.0,10
mud-shot,Mud Shot,Ground,special,55.0,95.0,15
mud-slap,Mud-Slap,Ground,special,20.0,100.0,10
mud-sport,Mud Sport,Ground,status,,,15
muddy-water,Muddy Water,Water,special,90.0,85.0,10
multi-attack,Multi-Attack,Normal,physical,120.0,100.0,10
mystical-fire,Mystical Fire,Fire,special,75.0,100.0,10
mystical-power,Mystical Power,Psychic,special,70.0,90.0,10
nasty-plot,Nasty Plot,Dark,status,,,20
natural-gift,Natural Gift,Normal,physical,,100.0,15
nature-power,Nature Power,Normal,status,,,20
natures-madness,Nature’s Madness,Fairy,special,,90.0,10
needle-arm,Needle Arm,Grass,physical,60.0,100.0,15
night-daze,Night Daze,Dark,special,85.0,95.0,10
night-shade,Night Shade,Ghost,special,,100.0,15
night-slash,Night Slash,Dark,physical,70.0,100.0,15
nightmare,Nightmare,Ghost,status,,100.0,15
no-retreat,No Retreat,Fighting,status,,,5
noble-roar,Noble Roar,Normal,status,,100.0,30
nuzzle,Nuzzle,Electric,physical,20.0,100.0,20
oblivion-wing,Oblivion Wing,Flying,special,80.0,100.0,10
obstruct,Obstruct,Dark,status,,100.0,10
octazooka,Octazooka,Water,special,65.0,85.0,10
octolock,Octolock,Fighting,status,,100.0,15
odor-sleuth,Odor Sleuth,Normal,status,,,40
ominous-wind,Ominous Wind,Ghost,special,60.0,100.0,5
order-up,Order Up,Dragon,physical,80.0,100.0,10
origin-pulse,Origin Pulse,Water,special,110.0,85.0,10
outrage,Outrage,Dragon,physical,120.0,100.0,10
overdrive,Overdrive,Electric,special,80.0,100.0,10
overheat,Overheat,Fire,special,130.0,90.0,5
pain-split,Pain Split,Normal,status,,,20
parabolic-charge,Parabolic Charge,Electric,special,65.0,100.0,20
parting-shot,Parting Shot,Dark,status,,100.0,20
pay-day,Pay Day,Normal,physical,40.0,100.0,20
payback,Payback,Dark,physical,50.0,100.0,10
peck,Peck,Flying,physical,35.0,100.0,35
perish-song,Perish Song,Normal,status,,,5
petal-blizzard,Petal Blizzard,Grass,physical,90.0,100.0,15
petal-dance,Petal Dance,Grass,special,120.0,100.0,10
phantom-force,Phantom Force,Ghost,physical,90.0,100.0,10
photon-geyser,Photon Geyser,Psychic,special,100.0,100.0,5
pin-missile,Pin Missile,Bug,physical,25.0,95.0,20
plasma-fists,Plasma Fists,Electric,physical,100.0,100.0,15
play-nice,Play Nice,Normal,status,,,20
play-rough,Play Rough,Fairy,physical,90.0,90.0,10
pluck,Pluck,Flying,physical,60.0,100.0,20
poison-fang,Poison Fang,Poison,physical,50.0,100.0,15
