canonical_slug,pokemon_id,species_slug,display_name,form_display_name,is_default,is_mega,is_battle_only,form_order,region_tag,form_group
togetic,176,togetic,Togetic,Default Form,1,0,0,269,None,Standard
natu,177,natu,Natu,Default Form,1,0,0,271,None,Standard
xatu,178,xatu,Xatu,Default Form,1,0,0,272,None,Standard
mareep,179,mareep,Mareep,Default Form,1,0,0,273,None,Standard
flaaffy,180,flaaffy,Flaaffy,Default Form,1,0,0,274,None,Standard
ampharos,181,ampharos,Ampharos,Default Form,1,0,0,275,None,Standard
bellossom,182,bellossom,Bellossom,Default Form,1,0,0,79,None,Standard
marill,183,marill,Marill,Default Form,1,0,0,278,None,Standard
azumarill,184,azumarill,Azumarill,Default Form,1,0,0,279,None,Standard
sudowoodo,185,sudowoodo,Sudowoodo,Default Form,1,0,0,281,None,Standard
politoed,186,politoed,Politoed,Default Form,1,0,0,102,None,Standard
hoppip,187,hoppip,Hoppip,Default Form,1,0,0,282,None,Standard
skiploom,188,skiploom,Skiploom,Default Form,1,0,0,283,None,Standard
jumpluff,189,jumpluff,Jumpluff,Default Form,1,0,0,284,None,Standard
aipom,190,aipom,Aipom,Default Form,1,0,0,285,None,Standard
sunkern,191,sunkern,Sunkern,Default Form,1,0,0,287,None,Standard
sunflora,192,sunflora,Sunflora,Default Form,1,0,0,288,None,Standard
yanma,193,yanma,Yanma,Default Form,1,0,0,289,None,Standard
wooper,194,wooper,Wooper,Default Form,1,0,0,291,None,Standard
quagsire,195,quagsire,Quagsire,Default Form,1,0,0,292,None,Standard
espeon,196,espeon,Espeon,Default Form,1,0,0,220,None,Standard
umbreon,197,umbreon,Umbreon,Default Form,1,0,0,221,None,Standard
murkrow,198,murkrow,Murkrow,Default Form,1,0,0,293,None,Standard
slowking,199,slowking,Slowking,Default Form,1,0,0,130,None,Standard
misdreavus,200,misdreavus,Misdreavus,Default Form,1,0,0,295,None,Standard
unown,201,unown,Unown,Default Form,1,0,0,297,None,Standard
wobbuffet,202,wobbuffet,Wobbuffet,Default Form,1,0,0,299,None,Standard
girafarig,203,girafarig,Girafarig,Default Form,1,0,0,300,None,Standard
pineco,204,pineco,Pineco,Default Form,1,0,0,301,None,Standard
forretress,205,forretress,Forretress,Default Form,1,0,0,302,None,Standard
dunsparce,206,dunsparce,Dunsparce,Default Form,1,0,0,303,None,Standard
gligar,207,gligar,Gligar,Default Form,1,0,0,304,None,Standard
steelix,208,steelix,Steelix,Default Form,1,0,0,152,None,Standard
snubbull,209,snubbull,Snubbull,Default Form,1,0,0,306,None,Standard
granbull,210,granbull,Granbull,Default Form,1,0,0,307,None,Standard
qwilfish,211,qwilfish,Qwilfish,Default Form,1,0,0,308,None,Standard
scizor,212,scizor,Scizor,Default Form,1,0,0,197,None,Standard
shuckle,213,shuckle,Shuckle,Default Form,1,0,0,309,None,Standard
heracross,214,heracross,Heracross,Default Form,1,0,0,310,None,Standard
sneasel,215,sneasel,Sneasel,Default Form,1,0,0,312,None,Standard
teddiursa,216,teddiursa,Teddiursa,Default Form,1,0,0,314,None,Standard
ursaring,217,ursaring,Ursaring,Default Form,1,0,0,315,None,Standard
slugma,218,slugma,Slugma,Default Form,1,0,0,316,None,Standard
magcargo,219,magcargo,Magcargo,Default Form,1,0,0,317,None,Standard
swinub,220,swinub,Swinub,Default Form,1,0,0,318,None,Standard
piloswine,221,piloswine,Piloswine,Default Form,1,0,0,319,None,Standard
corsola,222,corsola,Corsola,Default Form,1,0,0,321,None,Standard
remoraid,223,remoraid,Remoraid,Default Form,1,0,0,323,None,Standard
octillery,224,octillery,Octillery,Default Form,1,0,0,324,None,Standard
delibird,225,delibird,Delibird,Default Form,1,0,0,325,None,Standard
mantine,226,mantine,Mantine,Default Form,1,0,0,327,None,Standard
skarmory,227,skarmory,Skarmory,Default Form,1,0,0,328,None,Standard
houndour,228,houndour,Houndour,Default Form,1,0,0,329,None,Standard
houndoom,229,houndoom,Houndoom,Default Form,1,0,0,330,None,Standard
kingdra,230,kingdra,Kingdra,Default Form,1,0,0,188,None,Standard
phanpy,231,phanpy,Phanpy,Default Form,1,0,0,332,None,Standard
donphan,232,donphan,Donphan,Default Form,1,0,0,333,None,Standard
porygon2,233,porygon2,Porygon2,Default Form,1,0,0,226,None,Standard
stantler,234,stantler,Stantler,Default Form,1,0,0,334,None,Standard
smeargle,235,smeargle,Smeargle,Default Form,1,0,0,335,None,Standard
tyrogue,236,tyrogue,Tyrogue,Default Form,1,0,0,167,None,Standard
hitmontop,237,hitmontop,Hitmontop,Default Form,1,0,0,170,None,Standard
smoochum,238,smoochum,Smoochum,Default Form,1,0,0,199,None,Standard
elekid,239,elekid,Elekid,Default Form,1,0,0,201,None,Standard
magby,240,magby,Magby,Default Form,1,0,0,204,None,Standard
miltank,241,miltank,Miltank,Default Form,1,0,0,336,None,Standard
blissey,242,blissey,Blissey,Default Form,1,0,0,181,None,Standard
raikou,243,raikou,Raikou,Default Form,1,0,0,337,None,Standard
entei,244,entei,Entei,Default Form,1,0,0,338,None,Standard
suicune,245,suicune,Suicune,Default Form,1,0,0,339,None,Standard
larvitar,246,larvitar,Larvitar,Default Form,1,0,0,340,None,Standard
pupitar,247,pupitar,Pupitar,Default Form,1,0,0,341,None,Standard
tyranitar,248,tyranitar,Tyranitar,Default Form,1,0,0,342,None,Standard
lugia,249,lugia,Lugia,Default Form,1,0,0,344,None,Standard
ho-oh,250,ho-oh,Ho Oh,Default Form,1,0,0,345,None,Standard
celebi,251,celebi,Celebi,Default Form,1,0,0,346,None,Standard
treecko,252,treecko,Treecko,Default Form,1,0,0,347,None,Standard
grovyle,253,grovyle,Grovyle,Default Form,1,0,0,348,None,Standard
sceptile,254,sceptile,Sceptile,Default Form,1,0,0,349,None,Standard
torchic,255,torchic,Torchic,Default Form,1,0,0,351,None,Standard
combusken,256,combusken,Combusken,Default Form,1,0,0,352,None,Standard
blaziken,257,blaziken,Blaziken,Default Form,1,0,0,353,None,Standard
mudkip,258,mudkip,Mudkip,Default Form,1,0,0,355,None,Standard
marshtomp,259,marshtomp,Marshtomp,Default Form,1,0,0,356,None,Standard
swampert,260,swampert,Swampert,Default Form,1,0,0,357,None,Standard
poochyena,261,poochyena,Poochyena,Default Form,1,0,0,359,None,Standard
mightyena,262,mightyena,Mightyena,Default Form,1,0,0,360,None,Standard
zigzagoon,263,zigzagoon,Zigzagoon,Default Form,1,0,0,361,None,Standard
linoone,264,linoone,Linoone,Default Form,1,0,0,363,None,Standard
wurmple,265,wurmple,Wurmple,Default Form,1,0,0,365,None,Standard
silcoon,266,silcoon,Silcoon,Default Form,1,0,0,366,None,Standard
beautifly,267,beautifly,Beautifly,Default Form,1,0,0,367,None,Standard
cascoon,268,cascoon,Cascoon,Default Form,1,0,0,368,None,Standard
dustox,269,dustox,Dustox,Default Form,1,0,0,369,None,Standard
lotad,270,lotad,Lotad,Default Form,1,0,0,370,None,Standard
lombre,271,lombre,Lombre,Default Form,1,0,0,371,None,Standard
ludicolo,272,ludicolo,Ludicolo,Default Form,1,0,0,372,None,Standard
seedot,273,seedot,Seedot,Default Form,1,0,0,373,None,Standard
nuzleaf,274,nuzleaf,Nuzleaf,Default Form,1,0,0,374,None,Standard
shiftry,275,shiftry,Shiftry,Default Form,1,0,0,375,None,Standard
taillow,276,taillow,Taillow,Default Form,1,0,0,376,None,Standard
swellow,277,swellow,Swellow,Default Form,1,0,0,377,None,Standard
wingull,278,wingull,Wingull,Default Form,1,0,0,378,None,Standard
pelipper,279,pelipper,Pelipper,Default Form,1,0,0,379,None,Standard
ralts,280,ralts,Ralts,Default Form,1,0,0,380,None,Standard
kirlia,281,kirlia,Kirlia,Default Form,1,0,0,381,None,Standard
gardevoir,282,gardevoir,Gardevoir,Default Form,1,0,0,382,None,Standard
surskit,283,surskit,Surskit,Default Form,1,0,0,386,None,Standard
masquerain,284,masquerain,Masquerain,Default Form,1,0,0,387,None,Standard
shroomish,285,shroomish,Shroomish,Default Form,1,0,0,388,None,Standard
breloom,286,breloom,Breloom,Default Form,1,0,0,389,None,Standard
slakoth,287,slakoth,Slakoth,Default Form,1,0,0,390,None,Standard
vigoroth,288,vigoroth,Vigoroth,Default Form,1,0,0,391,None,Standard
slaking,289,slaking,Slaking,Default Form,1,0,0,392,None,Standard
nincada,290,nincada,Nincada,Default Form,1,0,0,393,None,Standard
ninjask,291,ninjask,Ninjask,Default Form,1,0,0,394,None,Standard
shedinja,292,shedinja,Shedinja,Default Form,1,0,0,395,None,Standard
whismur,293,whismur,Whismur,Default Form,1,0,0,396,None,Standard
loudred,294,loudred,Loudred,Default Form,1,0,0,397,None,Standard
exploud,295,exploud,Exploud,Default Form,1,0,0,398,None,Standard
makuhita,296,makuhita,Makuhita,Default Form,1,0,0,399,None,Standard
hariyama,297,hariyama,Hariyama,Default Form,1,0,0,400,None,Standard
azurill,298,azurill,Azurill,Default Form,1,0,0,277,None,Standard
nosepass,299,nosepass,Nosepass,Default Form,1,0,0,401,None,Standard
skitty,300,skitty,Skitty,Default Form,1,0,0,403,None,Standard
delcatty,301,delcatty,Delcatty,Default Form,1,0,0,404,None,Standard
sableye,302,sableye,Sableye,Default Form,1,0,0,405,None,Standard
mawile,303,mawile,Mawile,Default Form,1,0,0,407,None,Standard
aron,304,aron,Aron,Default Form,1,0,0,409,None,Standard
lairon,305,lairon,Lairon,Default Form,1,0,0,410,None,Standard
aggron,306,aggron,Aggron,Default Form,1,0,0,411,None,Standard
meditite,307,meditite,Meditite,Default Form,1,0,0,413,None,Standard
medicham,308,medicham,Medicham,Default Form,1,0,0,414,None,Standard
electrike,309,electrike,Electrike,Default Form,1,0,0,416,None,Standard
manectric,310,manectric,Manectric,Default Form,1,0,0,417,None,Standard
plusle,311,plusle,Plusle,Default Form,1,0,0,419,None,Standard
minun,312,minun,Minun,Default Form,1,0,0,420,None,Standard
volbeat,313,volbeat,Volbeat,Default Form,1,0,0,421,None,Standard
illumise,314,illumise,Illumise,Default Form,1,0,0,422,None,Standard
roselia,315,roselia,Roselia,Default Form,1,0,0,424,None,Standard
gulpin,316,gulpin,Gulpin,Default Form,1,0,0,426,None,Standard
swalot,317,swalot,Swalot,Default Form,1,0,0,427,None,Standard
carvanha,318,carvanha,Carvanha,Default Form,1,0,0,428,None,Standard
sharpedo,319,sharpedo,Sharpedo,Default Form,1,0,0,429,None,Standard
wailmer,320,wailmer,Wailmer,Default Form,1,0,0,431,None,Standard
wailord,321,wailord,Wailord,Default Form,1,0,0,432,None,Standard
numel,322,numel,Numel,Default Form,1,0,0,433,None,Standard
camerupt,323,camerupt,Camerupt,Default Form,1,0,0,434,None,Standard
torkoal,324,torkoal,Torkoal,Default Form,1,0,0,436,None,Standard
spoink,325,spoink,Spoink,Default Form,1,0,0,437,None,Standard
grumpig,326,grumpig,Grumpig,Default Form,1,0,0,438,None,Standard
spinda,327,spinda,Spinda,Default Form,1,0,0,439,None,Standard
trapinch,328,trapinch,Trapinch,Default Form,1,0,0,440,None,Standard
vibrava,329,vibrava,Vibrava,Default Form,1,0,0,441,None,Standard
flygon,330,flygon,Flygon,Default Form,1,0,0,442,None,Standard
cacnea,331,cacnea,Cacnea,Default Form,1,0,0,443,None,Standard
cacturne,332,cacturne,Cacturne,Default Form,1,0,0,444,None,Standard
swablu,333,swablu,Swablu,Default Form,1,0,0,445,None,Standard
altaria,334,altaria,Altaria,Default Form,1,0,0,446,None,Standard
zangoose,335,zangoose,Zangoose,Default Form,1,0,0,448,None,Standard
seviper,336,seviper,Seviper,Default Form,1,0,0,449,None,Standard
lunatone,337,lunatone,Lunatone,Default Form,1,0,0,450,None,Standard
solrock,338,solrock,Solrock,Default Form,1,0,0,451,None,Standard
barboach,339,barboach,Barboach,Default Form,1,0,0,452,None,Standard
whiscash,340,whiscash,Whiscash,Default Form,1,0,0,453,None,Standard
corphish,341,corphish,Corphish,Default Form,1,0,0,454,None,Standard
crawdaunt,342,crawdaunt,Crawdaunt,Default Form,1,0,0,455,None,Standard
baltoy,343,baltoy,Baltoy,Default Form,1,0,0,456,None,Standard
claydol,344,claydol,Claydol,Default Form,1,0,0,457,None,Standard
lileep,345,lileep,Lileep,Default Form,1,0,0,458,None,Standard
cradily,346,cradily,Cradily,Default Form,1,0,0,459,None,Standard
anorith,347,anorith,Anorith,Default Form,1,0,0,460,None,Standard
armaldo,348,armaldo,Armaldo,Default Form,1,0,0,461,None,Standard
feebas,349,feebas,Feebas,Default Form,1,0,0,462,None,Standard
milotic,350,milotic,Milotic,Default Form,1,0,0,463,None,Standard
castform,351,castform,Castform,Default Form,1,0,0,464,None,Standard
kecleon,352,kecleon,Kecleon,Default Form,1,0,0,468,None,Standard
shuppet,353,shuppet,Shuppet,Default Form,1,0,0,469,None,Standard
banette,354,banette,Banette,Default Form,1,0,0,470,None,Standard
duskull,355,duskull,Duskull,Default Form,1,0,0,472,None,Standard
dusclops,356,dusclops,Dusclops,Default Form,1,0,0,473,None,Standard
tropius,357,tropius,Tropius,Default Form,1,0,0,475,None,Standard
chimecho,358,chimecho,Chimecho,Default Form,1,0,0,477,None,Standard
absol,359,absol,Absol,Default Form,1,0,0,478,None,Standard
wynaut,360,wynaut,Wynaut,Default Form,1,0,0,298,None,Standard
snorunt,361,snorunt,Snorunt,Default Form,1,0,0,480,None,Standard
glalie,362,glalie,Glalie,Default Form,1,0,0,481,None,Standard
spheal,363,spheal,Spheal,Default Form,1,0,0,484,None,Standard
sealeo,364,sealeo,Sealeo,Default Form,1,0,0,485,None,Standard
walrein,365,walrein,Walrein,Default Form,1,0,0,486,None,Standard
clamperl,366,clamperl,Clamperl,Default Form,1,0,0,487,None,Standard
huntail,367,huntail,Huntail,Default Form,1,0,0,488,None,Standard
gorebyss,368,gorebyss,Gorebyss,Default Form,1,0,0,489,None,Standard
relicanth,369,relicanth,Relicanth,Default Form,1,0,0,490,None,Standard
luvdisc,370,luvdisc,Luvdisc,Default Form,1,0,0,491,None,Standard
bagon,371,bagon,Bagon,Default Form,1,0,0,492,None,Standard
shelgon,372,shelgon,Shelgon,Default Form,1,0,0,493,None,Standard
salamence,373,salamence,Salamence,Default Form,1,0,0,494,None,Standard
beldum,374,beldum,Beldum,Default Form,1,0,0,496,None,Standard
metang,375,metang,Metang,Default Form,1,0,0,497,None,Standard
metagross,376,metagross,Metagross,Default Form,1,0,0,498,None,Standard
regirock,377,regirock,Regirock,Default Form,1,0,0,500,None,Standard
regice,378,regice,Regice,Default Form,1,0,0,501,None,Standard
registeel,379,registeel,Registeel,Default Form,1,0,0,502,None,Standard
latias,380,latias,Latias,Default Form,1,0,0,503,None,Standard
latios,381,latios,Latios,Default Form,1,0,0,505,None,Standard
kyogre,382,kyogre,Kyogre,Default Form,1,0,0,507,None,Standard
groudon,383,groudon,Groudon,Default Form,1,0,0,509,None,Standard
rayquaza,384,rayquaza,Rayquaza,Default Form,1,0,0,511,None,Standard
jirachi,385,jirachi,Jirachi,Default Form,1,0,0,513,None,Standard
deoxys-normal,386,deoxys,Deoxys Normal,Normal,1,0,0,514,None,Standard
